job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
e804c4e5adfad67c1ac5ec98b5bbcda4,jooble,Maestro(a) de Matemáticas para Noveno Grado- Arecibo,PARADISO COLLEGE PREPARATORY LLC,Puerto Rico,"&nbsp;...Job Description 
 Job Description  Descripción del Puesto 
 Estamos en busca de un(a) Maestro(a) de <b>Matemáticas </b>para Noveno Grado comprometido(a) y apasionado(a) por inspirar a los estudiantes y promover el desarrollo de habilidades analíticas y de resolución de problemas...&nbsp;",[],[],2025-06-06T00:00:00.0000000,https://jooble.org/away/-6077767117760296122,,[],2025-06-11
0f5cfa81eb135d452e37993869c3cc77,jooble,Maquinista,Flowserve,"Baton Rouge, LA","&nbsp;...fabricar y modificar piezas para reparar máquinas de herramienta o mantener máquinas industriales, aplicando conocimientos de mecánica, <b>matemáticas,</b> propiedades del metal, diseño y procedimientos de mecanizado.  
  Este es un rol de 2º turno (5:00pm - 3:30am)...&nbsp;",[],[],2025-06-10T04:22:49.2030000,https://jooble.org/jdp/-6231982199593579824,,[],2025-06-11
1a016e593641357bca034b0d07be761f,jooble,TEAM MEMBER,To Go Stores,Puerto Rico,"&nbsp;...tareas designadas por el gerente. 

 . 
 Requisitos Esenciales: 

# Cuarto año de Escuela Superior 
# Conocimientos básicos de <b>matemáticas:</b> sumar, restar, dividir y contar. 
# Disponibilidad de trabajar turnos rotativos y con disponibilidad los siete días de la...&nbsp;",[],[],2025-06-02T00:00:00.0000000,https://jooble.org/away/6105043132013653941,,[],2025-06-11
36d9dda0ad7c543be471161ed914f0b5,jooble,Acomodador,All American Quality Food Inc,"Acworth, GA","&nbsp;...revisa regularmente los fluidos y filtros de cualquier equipo de limpieza motorizado. 
-Otras tareas asignadas. 

 Habilidades: 
 <b>Matemáticas </b>básicas (contar), capacidad para seguir instrucciones. 

 Requisitos físicos del puesto: 
 Capaz de levantar 50 libras. El...&nbsp;",[],[],2025-05-21T00:00:00.0000000,https://jooble.org/away/5701545189670029182,,[],2025-06-11
eb6184922568842f3ebc18ed57cbf843,jooble,Cocinar,Denny's,"Arlington Heights, IL","&nbsp;...estatales, del condado o municipales relacionadas con el manejo de alimentos. 
 Tener al menos 18 años de edad 
 Tener habilidades <b>matemáticas </b>básicas 
 Mantener una higiene adecuada 
 Debe completar toda la capacitación, capacitación contra la discriminación y el acoso...&nbsp;",[],[],2025-06-11T00:00:00.0000000,https://jooble.org/jdp/-910076891795447742,,[],2025-06-11
12371dda87cdbd73a66f544a99200a54,jooble,Subgerente,Little Caesars,"Cabot, AR","&nbsp;...capacidad de aprobar con éxito los programas de capacitación requeridos para la certificación. 
 La capacidad de utilizar habilidades <b>matemáticas </b>para calcular indicadores clave de rendimiento. 
 Se prefiere experiencia en Microsoft Office (específicamente, Outlook, Excel y...&nbsp;",[],[],2025-06-08T00:00:00.0000000,https://jooble.org/jdp/-4328466434181153340,,[],2025-06-11
7cf6fbaf64dfe0827a391f2bedbf9117,jooble,Welder,"Tradesmen International, LLC","Milwaukee, WI","&nbsp;...aprobar una prueba de competencia y un examen físico, incluyendo una prueba de detección de drogas 
 Debe aprobar una prueba de <b>matemáticas </b>que incluya el uso de fracciones 

 Qualifications 
 Tradesmen International not only offers consistent work, top pay, and employment...&nbsp;",[],[],2025-06-04T00:00:00.0000000,https://jooble.org/away/2094343465671904112,,[],2025-06-11
e885d087552b1203f1b5d723680dfd2c,jooble,Cocinar,Sonic Drive-In,"San Marcos, CA","&nbsp;...todas las situaciones en función de las necesidades del negocio 
 Habilidades de comunicación efectiva; Habilidades básicas de <b>matemáticas </b>y lectura 
 Capacidad para seguir instrucciones 
 Disposición a cumplir con las normas de apariencia, uniforme e higiene en los...&nbsp;",[],[],2025-06-10T00:00:00.0000000,https://jooble.org/jdp/-9022648455889441923,,[],2025-06-11
d13ad925217f6c14e97280b801901e7a,jooble,Subgerente,Sonic Drive-In,"Missouri City, TX","&nbsp;...personalmente 
 Capacidad para priorizar y completar tareas en consecuencia 
 Habilidades de comunicación efectiva; Habilidades básicas de <b>matemáticas </b>y lectura 
 Disposición a trabajar en horarios irregulares, incluyendo noches, fines de semana y/o días festivos 
 Claro, los...&nbsp;",[],[],2025-06-08T00:00:00.0000000,https://jooble.org/jdp/6796893187202109401,,[],2025-06-11
3156640c667ff8aa70c591ea788f14a8,jooble,Cajero,Pie Five Pizza,"Oak Brook, IL","&nbsp;...ser un miembro exitoso de nuestro equipo divertido y enérgico. La experiencia previa es una ventaja, y las habilidades sólidas de <b>matemáticas </b>y multitarea son imprescindibles. 
 Requisitos: 
 
 Puntualidad (¡Llegue a tiempo, SIEMPRE!)  
 Confiabilidad (presentarse...&nbsp;",[],[],2025-06-08T00:00:00.0000000,https://jooble.org/jdp/-7612845926703196229,,[],2025-06-11
ae06cbcf5fb1ef5f8cba970b01e92bd9,jooble,Tripulante,Sucheros,"Nashville, TN","&nbsp;...capaz de seguir instrucciones y ser un miembro exitoso de nuestro equipo. La experiencia previa es una ventaja, y las habilidades <b>matemáticas </b>sólidas y multitarea son imprescindibles. 
 Responsabilidades de un Cajero: 
 Saludar a los clientes al entrar y salir del...&nbsp;",[],[],2025-05-31T00:00:00.0000000,https://jooble.org/jdp/3585853600850398893,,[],2025-06-11
c70514895211e984293e97c5828d9cf4,jooble,Tripulante,Sonic Drive-In,"Yuba City, CA","&nbsp;...situaciones en función de las necesidades del negocio de restaurantes 
 Habilidades de comunicación efectiva; Habilidades básicas de <b>matemáticas </b>y lectura 
 Voluntad de cumplir con las normas de apariencia, uniforme e higiene en los restaurantes Sonic Drive-In 
 Se...&nbsp;",[],[],2025-06-02T00:00:00.0000000,https://jooble.org/jdp/4044184672627222255,,[],2025-06-11
c600da93c84c440f406a572fea029132,jooble,Cajero,Freddy's Frozen Custard & Steakburgers,"Aubrey, TX","&nbsp;...Mantener una instalación limpia y segura que esté presentable para todos los huéspedes 
 Requisitos: 
 Sólidas habilidades <b>matemáticas </b>y de comunicación 
 Capacidad para trabajar en un entorno acelerado 
 Capacidad para recibir e implementar comentarios 
 Debe...&nbsp;",[],[],2025-06-05T00:00:00.0000000,https://jooble.org/jdp/3194315298388166528,,[],2025-06-11
c80935dfb6e38fd4c0967a9b082c6d66,jooble,Subgerente,Sonic Drive-In,"Edmond, OK","&nbsp;...de nivel de entrada. Experimente correr turnos sin supervisión   
 Habilidades de comunicación efectivas; Habilidades básicas de <b>matemáticas,</b> lectura y computación   
 Capacidad para seguir instrucciones y trabajar con autonomía una vez dadas instrucciones; Capacidad...&nbsp;",[],[],2025-05-24T00:00:00.0000000,https://jooble.org/jdp/-7026462330556822314,,[],2025-06-11
4b7517c8200a8d0cdb1e7659d83ff64e,jooble,Gerente General,Slim Chickens,"Weatherford, TX","&nbsp;...asociado o de 4 años. 
 De 2 a 5 años de experiencia en gestión o liderazgo de restaurantes. 
 Fuertes habilidades de comunicación y <b>matemáticas.</b> 
 Dominio del uso de computadoras. 
 Comportamiento profesional, personalidad extrovertida y actitud positiva. 
 Ubicación: {...&nbsp;",[],[],2025-06-08T00:00:00.0000000,https://jooble.org/jdp/258801515250675956,,[],2025-06-11
b03308e4d120bfd5aff6c05c92d3c918,jooble,Cajero,Popeyes,"Monroe, GA","&nbsp;...meticulosamente. 
 Comunicación: Capaz de comunicarse eficazmente con los miembros del equipo y los clientes. 
 Habilidades: 
 Habilidades <b>matemáticas </b>básicas para manejar transacciones en efectivo y medir ingredientes. 
 Capacidad para seguir instrucciones y adherirse a recetas...&nbsp;",[],[],2025-05-28T00:00:00.0000000,https://jooble.org/jdp/-2836347953423505761,,[],2025-06-11
9b3d3693ed13fffdb288c7349645796d,jooble,CNC Programmer,Belcan Corporation,"Irvine, CA","&nbsp;...mapeo de procesos, automatización del diseño a la producción).
* Capacidad para interpretar diversas instrucciones técnicas en forma <b>matemática </b>o de diagrama, y manejar diversas variables abstractas y concretas.
* Capacidad para investigar y analizar datos, elaborar...&nbsp;",[],[],2025-06-07T00:00:00.0000000,https://jooble.org/jdp/-5124949116414480544,,[],2025-06-11
c3cb552738409dfed778924edf4357a2,jooble,REPAIR,"Millwood, Inc.","Solon, OH","&nbsp;...grupos pequeños de situaciones para los clientes, clientes y otros empleados de la organización. 

 Math Ability: /Habilidad de las <b>Matemáticas:</b> 
 Ability to add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals....&nbsp;",[],[],2025-05-22T00:00:00.0000000,https://jooble.org/away/-4984810826141160747,,[],2025-06-11
f6f622766581ef90a93d3896605f2750,jooble,Subgerente,El Bolillo Bakery,"Houston, TX","&nbsp;...Diploma de escuela secundaria o equivalente de GED. 
 Capacidad para leer, escribir y comunicarse bien verbalmente. 
 Habilidades <b>matemáticas </b>competentes y comodidad con los números. 
 Conocimientos informáticos competentes. 
 Demuestra madurez y comportamiento...&nbsp;",[],[],2025-05-28T00:00:00.0000000,https://jooble.org/jdp/8969030186043561021,,[],2025-06-11
17b5a597bde191321a7fbfc7d2e5f4c4,jooble,Cocinero - Noche,Denny's,"Norridge, IL","&nbsp;...la salud relacionadas con la manipulación de alimentos. 
 Debe tener al menos 18 años de edad. 
 Debe tener algunas habilidades <b>matemáticas </b>básicas, incluida la comprensión de las unidades de medida. 
 Debe tener una higiene adecuada y mantener un ambiente limpio y...&nbsp;",[],[],2025-06-11T00:00:00.0000000,https://jooble.org/jdp/5285246703408050717,,[],2025-06-11
0b0346e655476e321db1a8c427563b50,jooble,Servidor tardío,Denny's,"Palisades, TX","&nbsp;...pie, levantar objetos, agacharse y las variaciones extremas de temperatura que acompañan al trabajo. 
 Se requieren habilidades <b>matemáticas </b>simples. 
 Debe cumplir con cualquier regulación estatal, del condado o municipal relacionada con las preocupaciones de riesgo para...&nbsp;",[],[],2025-06-01T00:00:00.0000000,https://jooble.org/jdp/-8550711663576184426,,[],2025-06-11
34b8e46fcf49b532ba07648a57a1a810,jooble,Production Worker,Talent Strategy,"Grand Rapids, MI","&nbsp;...previa en panadería o en producción de alimentos es una ventaja, pero no es obligatoria. 
 Habilidades: 
 Conocimientos básicos de <b>matemáticas </b>para medir ingredientes y calcular cantidades. 
 Capacidad para seguir instrucciones y recetas detalladamente. 
 Atención al...&nbsp;",[],[],2025-06-09T00:00:00.0000000,https://jooble.org/away/-4899136757096180043,,[],2025-06-11
648538395c771afd9edc231c84b8743d,jooble,FLEISSNER SUPPORT I,Bentley Mills,"La Puente, CA","&nbsp;...operaciones de tintorería. 
 Experiencia laboral con el proceso de teñido CDR (Fleissner). 
 Se requiere un excelente dominio de las <b>matemáticas </b>y experiencia previa con porcentajes. 
 Debe ser capaz de comunicarse en inglés, tanto escrito como oralmente, y comprender y...&nbsp;",[],[],2025-06-05T00:00:00.0000000,https://jooble.org/away/-2358150076531286662,,[],2025-06-11
6894d22daa8af3b65270c3a0ac999229,jooble,Associado de Almacén,CFS Brands LLC,"Houston, TX","&nbsp;...Siga todas las pautas, incluidos los procedimientos operativos estándar de envío y otros procedimientos. 
 Usar habilidades <b>matemáticas </b>básicas para garantizar la precisión. 
 Uso de escáner y conocimientos básicos de informática. 
 Opere una plataforma y/o una transpaleta...&nbsp;",[],[],2025-06-07T00:00:00.0000000,https://jooble.org/away/5015053223032596808,,[],2025-06-11
03e0cecde6f7045d2640fb99273b0132,jooble,Cajero,Cowboy Chicken,"Longview, TX","&nbsp;...servicio al cliente y habilidades de comunicación para interactuar con los huéspedes de una manera amable y profesional. 
 Habilidades <b>matemáticas </b>básicas para el manejo preciso de efectivo y procesamiento de transacciones. 
 Capacidad para trabajar en un entorno acelerado...&nbsp;",[],[],2025-05-25T02:57:46.0270000,https://jooble.org/jdp/6360305616082109946,,[],2025-06-11
1fa60b63c46c0962a1a08e0679db88d2,jooble,REGULAR TUTOR,Boys & Girls Club,"San Juan, TX","&nbsp;...instrucción para individuos y grupos, y la medición de los efectos de la formación. 
 Conocimiento abarcador en las materias de Ingles, <b>Matemáticas </b>y español. 
 Experiencia trabajando con jóvenes. 
 Conocimiento en la Teoría de Inteligencias Múltiples y Estilos de...&nbsp;",[],[],2025-06-03T00:00:00.0000000,https://jooble.org/away/899207783433852695,,[],2025-06-11
7e3e3d8756fb4db6fefbf59f99bce695,jooble,Service Champion,Taco Bell,"Katy, TX","&nbsp;...Asistencia y puntualidad imprescindibles 
 Operar la caja registradora según sea necesario y dar cambio a otros cajeros. 
 Habilidades <b>matemáticas </b>básicas 
 Certificación de formación completa 
 Entusiasmo y ganas de aprender. 
 Jugador de equipo 
 Compromiso con la...&nbsp;",[],[],2025-05-18T00:00:00.0000000,https://jooble.org/away/8719588735564821413,,[],2025-06-11
a814ac471acb9ec5daa8247f603006f7,jooble,Shift Manager,Taco Bell,"Richmond, TX","&nbsp;...Asistencia y puntualidad imprescindibles 
 Operar la caja registradora según sea necesario y dar cambio a otros cajeros. 
 Habilidades <b>matemáticas </b>básicas 
 Mantiene la satisfacción del cliente y se adhiere a los estándares de salud y seguridad. 
 Promueve y defiende la...&nbsp;",[],[],2025-05-18T00:00:00.0000000,https://jooble.org/away/7999145909017795513,,[],2025-06-11
befe9acef408b52b998822e8b2afdbf0,jooble,Cocinar,IHOP,"San Antonio, TX","&nbsp;...comprender instrucciones 
 Buenas habilidades de comunicación oral en inglés y capacidad para leer inglés o español 
 Habilidades <b>matemáticas </b>básicas para seguir recetas 
 Conocimiento de las directrices de seguridad alimentaria 
 Capacidad para realizar múltiples...&nbsp;",[],[],2025-05-21T00:00:00.0000000,https://jooble.org/jdp/-2591033157491774410,,[],2025-06-11
