job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
c0ec9d1d4f960401f2905a21eb56c29d,jooble,Electricista,Genera PR LLC,Puerto Rico,"&nbsp;...beneficiosos para todos en la isla. Juntos, podemos ayudar a Puerto Rico a alcanzar esta meta y lograr mucho más. 
 El Rol: 
 El  <b>Electricista </b> es responsable de proporcionar asistencia y apoyo técnico al Supervisor Mantenimiento para la implementación efectiva del...&nbsp;",[],Electricidad,2025-06-27T00:00:00.0000000,https://jooble.org/jdp/57808554832975097,,[],2025-07-18
d0ac9987dba733a1db9f13fbfc7a7ea4,jooble,Electricista,Liga Puertorriquena Contra el Cáncer,Puerto Rico,"&nbsp;...calidad de su profesión y en cumplimiento con las agencias reguladores y acreditadoras. 

 Requisitos 

# Grado Tecnico en <b>Electricista </b>de una Universidad acreditaria 
# Licencia de Electricista 
# Mínimo tres años de experiencia 
# Poseer licencia de Perito Electricista...&nbsp;",[],Electricidad,2025-07-15T00:00:00.0000000,https://jooble.org/jdp/4758042853463443605,,[],2025-07-18
44514b7bf12c4da38d3dda54009d578d,jooble,Electricista,Bella International,Puerto Rico," Bella Group Job Opportunity 
 Bella Group is the only 100% Puerto Rican company for the distribution and sale of cars on the island. We distribute Acura, Honda, and Mazda. Additionally, we manage the Flagship dealership network around the island, adding to our offerings...",[],Electricidad,2025-07-18T10:37:40.5130000,https://jooble.org/jdp/-3786990781846812451,,[],2025-07-18
74f5399e04fb521732acbdc06ea9b792,jooble,Licensed Electrician (Perito Electricista),Mentor Technical Group,Puerto Rico," Mentor Technical Group Job Post 
 Mentor Technical Group (MTG) provides a comprehensive portfolio of technical support and solutions for the FDA-regulated industry. As a world leader in life science engineering and technical solutions, MTG has the knowledge and experience...",[],Electricidad,2025-07-18T10:37:28.7070000,https://jooble.org/jdp/-4282928266049753683,,[],2025-07-18
3ee1d3c9fd74989b9cedf1e54c04c053,jooble,Electricista para Instalacin solar,Sunwave Energy Llc,"Orlando, FL","&nbsp;...Job Description 
 Job Description  Estamos contratando! 

 Eres  <b>electricista </b> y tienes experiencia en la  instalacin de paneles solares ? nete a nuestro equipo y forma parte del cambio hacia un futuro ms sostenible! 
 Lo que buscamos: 

 Experiencia comprobable...&nbsp;",[],Electricidad,2025-06-26T00:00:00.0000000,https://jooble.org/jdp/5902831259962082799,,[],2025-07-18
2f285d9f6905d8738ef9c1e2dc8db66d,jooble,Aprendiz de Electricista,CROWN CAPITAL MGMT LLC,"Fort Myers, FL","&nbsp;...Job Description 
 Job Description  Descripción del puesto: Aprendiz de <b>Electricista </b>
 Reporta a: Líder de equipo/Supervisor 
 Clasificación: No exento 
 Descripción general: 
 Como Aprendiz de Electricista, iniciarás un viaje de aprendizaje para adquirir experiencia...&nbsp;",[],Electricidad,2025-07-09T00:00:00.0000000,https://jooble.org/jdp/-3301075076042043839,,[],2025-07-18
995a0d8a1ad613fb78561eba5536379a,jooble,Auxiliar electricista PANAMÁ - Servicios Comerciales · Panamá,OCA Group,"Panama City, FL","&nbsp;...técnica en electricidad y ganas de unirte a un equipo dinámico en el sector energético? En Nuestra Empresa , buscamos Auxiliar <b>Electricista </b>con tarjeta IDONEIDAD vigente para integrarse en nuestro equipo, contribuyendo a garantizar la eficiencia y seguridad de nuestros...&nbsp;",[],Electricidad,2025-07-16T00:00:00.0000000,https://jooble.org/jdp/3367759344711715680,,[],2025-07-18
1a062b0004548a0b0fbdc28e4229363f,jooble,Electricista Automotriz . Bello e Itagüí,INTERASEO S.A.S E.S.P.,"Bell Gardens, CA","Se requiere Bachiller/Técnico en electricidad automotriz y/o afines, para desempeñarse como <b>Electricista </b>automotriz.
Propósito del cargo: Diagnosticar, reparar, ajustar y mantener en perfecto estado la parte eléctrica de los equipos y vehículos.
Requisitos: Experiencia...&nbsp;",[],Electricidad,2025-07-18T00:00:00.0000000,https://jooble.org/jdp/7741901694502110154,,[],2025-07-18
da9409ab55f05bb331920468a26c1b1f,jooble,Perito Electricista | Ciales,Conwastepr,Puerto Rico,"&nbsp;...envíe dinero para trabajar, tampoco ofrezca información personal, por teléfono o email. Evite el Fraude 
 Jobtracks 
 PERITO <b>ELECTRICISTA </b>| CIALES 
 Para trabajar la mayoríadel tiempo en: 
 Ciales 
 Construccion - Construccin - Otros 
 Si un anuncio parece demasiado...&nbsp;",[],Electricidad,2025-07-16T18:29:15.5700000,https://jooble.org/away/4972794015397986273,,[],2025-07-18
ecddc3813ea8e0c80fddb9794675c1dd,jooble,Electricista Certificado - Área de Los Ángeles - Medio Tiempo,Yalent,"Los Angeles, CA","&nbsp;...cortesía en cada sitio de trabajo   

 Requirements 

 Lo Que Necesitas 
 
~ Certificación vigente del Estado de California (<b>Electricista </b>General o Residencial). Se invita también a aplicar a titulares de tarjeta ET   
~5+ años de experiencia práctica en trabajos...&nbsp;",[],Electricidad,2025-06-26T21:49:06.3100000,https://jooble.org/jdp/-3796846894931486779,,[],2025-07-18
