job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
ef156c3707ab4707092b61d2e4a82b4b,jooble,Construccion Empleos,Conwastepr,"De Pere, WI","AVISO de ClasificadosOnline
Los patronos NO le piden dinero ni un depósito para trabajar, si lo piden es un negocio, inversión o Fraude.
NO envíe dinero para trabajar, tampoco ofrezca información personal, por teléfono o email. Evite el Fraude

CIC Construction Group
CONSTRUCCI...",[],Ingeniería Civil,2025-07-14T00:00:00.0000000,https://jooble.org/jdp/-3040156386006601243,,[],2025-07-18
6e455e4ddf25dc3dad09b150a4195e14,jooble,Aprendiz de Construccion,Tortorella Group,"Southampton, NY","¿Quieres unirte a una empresa con excelentes oportunidades de crecimiento? ¿Interesado en recibir capacitación laboral? ¿Quieres una carrera en la industria de piscinas? En el grupo Tortorella, creemos que un gran trabajo viene de una gran formación. Como aprendiz de construcci...",[],Ingeniería Civil,2025-07-13T00:00:00.0000000,https://jooble.org/jdp/-2959348278791939940,,[],2025-07-18
86a0a2647b36bb5fcd3b5b5d85fee3c0,jooble,Trabajador de Construccion,Ace Handyman Services,"Shelton, CT","Benefits: Dental insurance
Health insurance
Paid time off
¿Hablas español y tienes experiencia en construcción? ¡Eres perfecto para Ace Handyman Services!
Ofrecemos horario flexible durante toda la temporada. No trabajamos fines de semana ni noches. Buscamos empleados con...",[],Ingeniería Civil,2025-07-16T00:00:00.0000000,https://jooble.org/jdp/-7964645954465252593,,[],2025-07-18
f897ac6c0a06abecb4c1a9ba5112f09c,jooble,Trabajador de Construccion,Ace Handyman Services,"Shelton, WA","Join to apply for the Trabajador de <b>Construccion </b>role at Ace Handyman Services

3 days ago Be among the first 25 applicants

Benefits

Dental insurance

Health insurance

Paid time off

¿Hablas español y tienes experiencia trabajando en construcción?

¡Eres perfecto para...&nbsp;",[],Ingeniería Civil,2025-07-17T00:00:00.0000000,https://jooble.org/jdp/4867934709854535431,,[],2025-07-18
8100e600c2590795212c42732bd9438a,jooble,Ayudante de Construccion,Savard Personnel Group,"Mobile, AL","&nbsp;...Job Description 
 Job Description  $19 por hora. 
~¿Tienes pasión por la <b>construccion </b>y deseas formar parte de un equipo dinámico y profesional? ¡Esta es tu oportunidad! Estamos buscando personal para las siguientes posiciones: 

 Positiones: 
 ayudante de contruccion...&nbsp;",[],Ingeniería Civil,2025-06-15T00:00:00.0000000,https://jooble.org/jdp/-3793850032164253881,,[],2025-07-18
9176f1227c46beb68e3743ec4669bd7f,jooble,Trabajador de Construccion,Ace Handyman Services Kitsap Peninsula,"Shelton, WA"," Job Description 
 Job Description  Benefits: 
 Dental insurance 
 Health insurance 
 Paid time off 

 Hablas espaol y tienes experiencia trabajando en construccin?
 Eres perfecto para Ace Handyman Services!!!
 Tenemos horario flexible trabajo en toda temporada ...",[],Ingeniería Civil,2025-06-30T00:00:00.0000000,https://jooble.org/jdp/-2489382033649867941,,[],2025-07-18
b4270e2cbe0dcfc44ead3dc62ea5111c,jooble,Trabajadores Diestros de Construccion en Puerto Rico,Ram Jack,"San Juan, TX"," Nexo Tcnico: Ms Que Una Constructora, Somos Nexo Tcnico 
 En Nexo Tcnico, somos un equipo de especialistas apasionados por resolver retos complejos en estructuras y cimentaciones. Cuando otros dicen que ""no se puede"", nosotros encontramos la manera de hacerlo bien, con...",[],Ingeniería Civil,2025-07-18T10:38:08.3530000,https://jooble.org/jdp/4554081950058435035,,[],2025-07-18
460c084c3eff07ad4a48feb3e663b0f7,jooble,Ship Fitter,LaborOne Staffing,"Jacksonville, FL","&nbsp;...Estamos contrando Shipfitters/ Fitters de estructura para Shipyard en Florida. 
 Se debe de leer planos, tener experiencia en <b>construccion </b>de barcos. 


 Qualifications And Experience: 
 Ability to comprehend instructions, drawings, and general correspondence....&nbsp;",[],Ingeniería Civil,2025-07-04T06:32:37.9324080+00:00,https://jooble.org/jdp/1989345738317264340,,[],2025-07-18
d091f19cc830d9feed94374f804b838f,jooble,Commercial Roofing Service Technician II,Tecta America,"Louisville, KY","&nbsp;...modificado, TPO, PVC, Y pendinte. El conocimiento de estos sistemas es util pero no obligatorio. 
 La experiencia anterior en techado o <b>construccion </b>reidencial y/o comercial es una ventaja, per no es un requisite. 
 Las condiciones del trabajo:   
 Entorno fisico: Amiente de...&nbsp;",[],Ingeniería Civil,2025-07-03T00:00:00.0000000,https://jooble.org/jdp/-2332913656703314507,,[],2025-07-18
d069583610c584868c15bc7457256244,jooble,Commercial Roofer,Tecta & Schwickerts,"Fort Wayne, IN","&nbsp;...,PVC, Y pendiente bajas. El conocimiento de estos sistemas es util pero no obligatorio. 
 La experiencia anterior en techado o <b>construccion </b>residencial y/o comercial es una ventaja 
 Las condiciones de trabajo:   
 Entorno fisico: Ambiente de campo con exposicion a...&nbsp;",[],Ingeniería Civil,2025-07-02T00:00:00.0000000,https://jooble.org/jdp/-977459817490763199,,[],2025-07-18
