job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
c0944f14c8140c010a2a7191952155e3,jooble,"Pharmacy Technician - Sioux City, IA",Optum,"Sioux City, IA","&nbsp;...supervision of a Registered Pharmacist. 

\n  Hours:  Monday – Friday 8:30am – 5pm 

\n  Location: 625 Court St, Ste P, Sioux City, <b>IA </b>51101

\n  Primary Responsibilities: 

\n \n 
 Provide exceptional customer service to all consumers and members of the clinic...&nbsp;",[],Inteligencia Artificial,2025-07-06T00:00:00.0000000,https://jooble.org/jdp/-6823633165397873300,,[],2025-07-18
dc889f12b490a324e9623fccc18c4252,jooble,Job in IA for Cardiologist,Global Medical Staffing,"Des Moines, IA","Looking to reconnect and extend your personal and professional world? Just pick up the phone to get all the details of this assignment. 
 BC or BE required 
 Weekdays, Days, Call, Weekend call 
 Interventional cardiology coverage 
 EMR: Epic 
 STEMI and TEE required...",[],Inteligencia Artificial,2025-07-14T21:41:05.9670000,https://jooble.org/jdp/3143954615716482351,,[],2025-07-18
0ce82c369938a5febb911f1ac805f2e2,jooble,Arquitecto IA Generativa,DXC Technology Inc.,"Baltimore, MD","&nbsp;...distribuidos en trece localizaciones, con centros de excelencia en tecnologías de última generación como Cloud, Inteligencia de Negocio, <b>IA </b>o Automatización entre otras , que dan servicio a más de 200 clientes de todas las industrias tanto del sector público como privado....&nbsp;",[],Inteligencia Artificial,2025-07-16T00:00:00.0000000,https://jooble.org/jdp/7552732271284937983,,[],2025-07-18
b6f6841e5908f525147d76975c22847b,jooble,A Facility in IA Is Seeking a Anesthesiologist,Global Medical Staffing,"Des Moines, IA","This experience is the perfect opportunity to go far and do good - call us today. 
 BC required 
 Weekdays, Days, Call 
 Clinic and call coverage 
 Bread & butter anesthesia, no OB or heart 
 DEA needed 
 Competitive compensation 
 Pre-paid travel and housing 
 ...",[],Inteligencia Artificial,2025-07-14T21:40:57.2100000,https://jooble.org/jdp/-6928214337200953977,,[],2025-07-18
0c7c88c83e9c7798b803daed28d08bcf,jooble,Locums Job in IA for Obstetrics/Gynecologist,Weatherby Healthcare,"Des Moines, IA","Get in touch with a Weatherby consultant today to learn more about this and other opportunities available now. 
~24-hour in-house shifts, 6.5 shifts per month, 7am - 7am 
~1389 OBED visits annually, approximately 463 deliveries per year 
~ Experience with vaginal deliveries...",[],Inteligencia Artificial,2025-07-14T21:40:49.2470000,https://jooble.org/jdp/8726134932973023427,,[],2025-07-18
85ad41468ef285f1117bbafd711dfa69,jooble,"Sales Consultant (Davenport, IA)",1-800 Hansons LLC,"Davenport, IA","&nbsp;...for advancement quick internal growth 
 What youll be doing: 
 Run 1-3 appointments per day in a 60-mile radius of the Davenport, <b>IA </b>office 
 There is also extra opportunity to voluntarily run appointments as we also have offices in Cedar Rapids & Des Moines 
 You...&nbsp;",[],Inteligencia Artificial,2025-07-17T09:42:55.9770000,https://jooble.org/jdp/-2149202670182582915,,[],2025-07-18
348fdbc88b264a7a0f5527588e8353c5,jooble,A Locums Gastroenterologist Is Needed in IA,Global Medical Staffing,"Des Moines, IA","This experience is the perfect opportunity to go far and do good - call us today. 
~ BC required 
~ Call 
~5 - 10 patients per day 
~ ERCP and EUS required 
~ DEA needed 
~ Competitive compensation 
~ Pre-paid travel and housing 
~ Paid AAA-rated claims made malpractice...",[],Inteligencia Artificial,2025-07-14T21:40:56.1530000,https://jooble.org/jdp/8844827556937671586,,[],2025-07-18
06835a1d543fcfacf43b50492d5cdcdb,jooble,An Anesthesiologist Is Wanted for Help in IA,Global Medical Staffing,"Des Moines, IA","Looking to reconnect and extend your personal and professional world? Just pick up the phone to get all the details of this assignment. 
 BC required 
 Weekdays, Weekends, Call, Weekend call 
 OB heavy - VBAC, healthy pediatrics - ENT 
 DEA needed 
 Competitive compensation...",[],Inteligencia Artificial,2025-07-14T21:40:54.3170000,https://jooble.org/jdp/5037948856281837578,,[],2025-07-18
f8edee458ae7ef21086e9ad5e5b1ca97,jooble,Locums Hospitalist Is Wanted in IA,CompHealth,"Sioux City, IA","CompHealth exists to make the locums process easier. Not only will we search for jobs that fit your interests, we'll be here to handle all the details like credentialing, housing, travel arrangements, and so much more. So, relax and get back to helping patients, and let...",[],Inteligencia Artificial,2025-07-14T22:06:45.6000000,https://jooble.org/jdp/7973551692830139591,,[],2025-07-18
c46f613abcc48a3f982cf8266fba025b,jooble,Accountant - IA,Enterprise,"Davenport, IA"," Overview  Gain real-world business, accounting, and financial training that will teach you all aspects of financial management pertaining to running a successful business. Our program fully prepares you to become a Controller/VP of Finance of your own financial operation...",[],Inteligencia Artificial,2025-07-17T00:00:00.0000000,https://jooble.org/jdp/-8598996648230986274,,[],2025-07-18
d34991737fb1587300f0459b813ace01,jooble,IA-UIOWA-PM6-HCIS Project Manager,Novalink Solutions LLC,"Iowa City, IA","&nbsp;...Job Description 
 Job Description 
 Location:  University of Iowa Hospitals and Clinics, Iowa City, <b>IA </b>

 Contract Duration:  6 months with possible 6-month extensions 


 The PMO provides Project Management support for the University of Iowa Health Care community...&nbsp;",[],Inteligencia Artificial,2025-07-15T00:00:00.0000000,https://jooble.org/jdp/-5281231995886929082,,[],2025-07-18
877d77a119e24ff7f27412b91cf54cee,jooble,"Nurse Practitioner - Des Moines, IA",MPAC Healthcare,"Des Moines, IA"," Job Description 
 Job Description  MPAC Healthcare has been named one of  Crain’s Best Places to Work and Great Place to Work-Certified !! Our team is hardworking, fun-loving, and dedicated to patient-centered care, come join us!
 MPAC is looking for a Nurse Practitioner...",[],Inteligencia Artificial,2025-07-14T00:00:00.0000000,https://jooble.org/jdp/-4474597489235757861,,[],2025-07-18
