job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
9e0e6a84afb88feb0a4f9f475afca1cf,jooble,Manipulador de materiales,NFI,"Torrance, CA","Resumen

El Manipulador <b>de materiales </b>es responsable de mover materiales, suministros y productos terminados manualmente o en camiones de mano a los lugares designados en las instalaciones o en camiones. El puesto generalmente informa al supervisor o líder del almacén....&nbsp;",[],Materiales,2025-07-15T00:00:00.0000000,https://jooble.org/jdp/-242348047514396279,,[],2025-07-18
ca8bb4b93f64061625520f0bd4e1a06c,jooble,Manipulador de materiales,NFI Industries,"Jenks, OK","Overview:
The  Material Handler  is responsible for manually or by hand truck moving materials, supplies, and finished goods to designated places in the facility or onto trucks. Position typically reports to the Warehouse Supervisor or Lead.
Responsibilities:
 Manually ...",[],Materiales,2025-07-09T17:53:39.0930000,https://jooble.org/jdp/6771831403005941545,,[],2025-07-18
1ec40673898cd909f663556c9c7502f1,jooble,Manipulador de Materiales (New Albany),Loeb Electric,"New Albany, OH","&nbsp;...: 
¡Únase al poderoso distribuidor eléctrico en la industria <b>de </b>la construcción! En Loeb Electric, somos más que un simple distribuidor...&nbsp;&nbsp;...la exactitud, verificando la cantidad y la descripción de los <b>materiales </b>recibidos mediante la verificación de la mercancía con la lista...&nbsp;",[],Materiales,2025-06-24T00:00:00.0000000,https://jooble.org/jdp/7237562426426389017,,[],2025-07-18
5b4ead496c085af6e802ec5c05607dcc,jooble,Técnico de manipulación de materiales,NFI Industries,"Kutztown, PA","Overview:
 Under the direct supervision of the Shop Supervisor or Lead Technician the  Material Handling Technician  is responsible for performing periodic maintenance, repair, replacement and troubleshooting on various models of material handling equipment. Must be proficient...",[],Materiales,2025-06-20T18:49:01.5070000,https://jooble.org/jdp/-6146512424307194257,,[],2025-07-18
2dffe36f302aac986c39a6d8d591b2de,jooble,Manipulador de Materiales II,Builders FirstSource,"La Mesa, CA","Inicie su carrera en Builders FirstSource, el proveedor más grande <b>de materiales </b>de construcción, componentes de valor agregado y servicios de construcción para el mercado profesional de los Estados Unidos. Somos el número uno en nuestra industria y ayudamos a que el sue...&nbsp;",[],Materiales,2025-07-16T00:00:00.0000000,https://jooble.org/jdp/1810807042878457109,,[],2025-07-18
cf70b96aa70711f50fc76ee7b4281be1,jooble,Técnico de manipulación de materiales,NFI Industries,"Suffolk, VA","Resumen:
Bajo la supervisión directa del supervisor <b>de </b>taller o técnico principal, el técnico de manejo de <b>materiales </b>es responsable de realizar mantenimiento, reparación, reemplazo y resolución de problemas periódicos en varios modelos de equipos de manejo de materiales...&nbsp;",[],Materiales,2025-05-20T18:49:06.2530000,https://jooble.org/jdp/1192355323561703930,,[],2025-07-18
3d3ead4f58de2af27c0c32f6c08a7004,jooble,Operador de Envasado de Línea,5TH HQ,"Fort Lauderdale, FL","&nbsp;...Job Description 
 Job Description  Horario:  Lunes a Viernes, <b>de </b>9:30 p.m. a 5:15 a.m. 
 Salario:  $14.50 - $15.66 por hora 
 Ubicaci...&nbsp;&nbsp;...y apoyar procesos de producción, incluyendo almacenamiento de <b>materiales </b>y selección de materiales de empaque.. 
 Completar documentació...&nbsp;",[],Materiales,2025-07-14T00:00:00.0000000,https://jooble.org/jdp/-6427535098178381646,,[],2025-07-18
f28a5f77c63de9017a6128c4c683fcbc,jooble,Operador de Montacarga,5TH HQ,"Miami, FL","&nbsp;...Job Description 
 Job Description  Estamos buscando un  Operador <b>de </b>Montacargas certificado  para unirse a nuestro equipo de...&nbsp;&nbsp;...pallet jacks eléctricos 
 Cargar y descargar camiones, mover <b>materiales </b>dentro del almacén 
 Preparar productos para envío o almacenamiento...&nbsp;",[],Materiales,2025-06-16T00:00:00.0000000,https://jooble.org/jdp/3869131234763122258,,[],2025-07-18
e3f0e1420e47d04ef79b7e7dd2b732e6,jooble,Operador de Empaque (Nocturno),5TH HQ,"Fort Lauderdale, FL","&nbsp;...Job Description 
 Job Description  Horario:  Lunes a Viernes, <b>de </b>9:30 p.m. a 5:15 a.m. 
 Salario:  $14.50 - $15.66 por hora 
 Ubicaci...&nbsp;&nbsp;...procesos de producción, incluyendo almacenamiento, tipos de <b>materiales </b>y balance de personal. 
 Completar documentación requerida y...&nbsp;",[],Materiales,2025-06-24T00:00:00.0000000,https://jooble.org/jdp/-5925727013515388640,,[],2025-07-18
c0a63b89ec123e46f3a21ff2a5ae8bd8,jooble,Trabajadores de produccion,5TH AVENUE RECRUTING LLC,"Fort Lauderdale, FL","&nbsp;...Job Description 
 Actualmente estamos contratando Trabajadores <b>de </b>produccion para una manufactura en Davie. Contamos con diferentes...&nbsp;&nbsp;...: $14- $16 hr 
***DESCRIPCIÓN DEL TRABAJO***
 Pesar o medir <b>materiales,</b> ingredientes o productos para garantizar la conformidad con los...&nbsp;",[],Materiales,2025-07-10T00:00:00.0000000,https://jooble.org/jdp/-188682276764571457,,[],2025-07-18
