job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
9e6151ef1d9d5cece2b4d2ad713024a5,jooble,Jefe de Proyectos PMP Senior,Multiplica Talent,"Lima, OH","&nbsp;...digital del mercado. 
 Tenemos 20 años <b>de </b>experiencia reclutando a personas capacitadas...&nbsp;&nbsp;...los estándares del grupo en términos de <b>arquitectura,</b> infraestructura y aplicaciones....&nbsp;&nbsp;...aplicaciones de analítica de datos, desarrollo de <b>software,</b> seguridad de la información,...&nbsp;",[],Software,2025-04-11T23:29:40.3451364+00:00,https://jooble.org/jdp/569032929846725080,,[],2025-07-18
29bf0ffc43167504d7b30cf6ceac5c9a,jooble,Administrador de Sistemas (Infraestrutura),Axians Portugal,Portugal,"&nbsp;...o Digital. Poderá encontrar-nos em 37 países, contamos com mais <b>de </b>16.000 colaboradores e geramos mais de €3.6 biliões. 
Estamos à...&nbsp;&nbsp;...Services; 
 Implementação e suporte de  SCCM  para distribuição de <b>software </b>e gestão de atualizações; 
 Administração e manutenção das...&nbsp;",[],Software,2025-06-18T00:00:00.0000000,https://jooble.org/jdp/-5910965053818108565,,[],2025-07-18
b2c3981c08c8a0c8e48bf06469bbb431,jooble,"Sr Analyste, Développement de solutions CRM Dynamics 365 / D365 CE Solution Developer",Avanade Inc.,United States,"Chez Avanade, nous voyons comment le pouvoir <b>de </b>Dynamics 365 façonne l'avenir des entreprises chaque jour. En combinant nos connaissances...&nbsp;&nbsp;...en charge par le CRM.
* Utilisation d'environnements SaaS (<b>Software </b>as a Service), Microsoft SQL Server, HTML, Microsoft ASP,...&nbsp;",[],Software,2025-02-08T00:00:00.0000000,https://jooble.org/jdp/-3023038691345580387,,[],2025-07-18
b52d6fb76d1836c7fa1214fed2aa19c1,jooble,Administrador de Sistemas Microsoft,Axians Portugal,Portugal,"&nbsp;...o Digital. Poderá encontrar-nos em 37 países, contamos com mais <b>de </b>16.000 colaboradores e geramos mais de €3.6 biliões. 
Estamos à...&nbsp;&nbsp;...Services; 
 Implementação e suporte de  SCCM  para distribuição de <b>software,</b> gestão de atualizações e monitorização de dispositivos;...&nbsp;",[],Software,2025-06-18T00:00:00.0000000,https://jooble.org/jdp/2990183082794099627,,[],2025-07-18
80d3ea58c0348b85fe5e8bc70d9096b6,jooble,Pessoa Analista de Segurança da Informação Sênior (Cloud),"NTT America, Inc.",United States,"&nbsp;...Your day at NTT DATA**
**What you'll be doing**
Pessoa Analista <b>de </b>Segurança da Informação Sênior (Cloud)
**Your day at NTT DATA**...&nbsp;&nbsp;...tecnologia que integra, dentre seus serviços, o desenvolvimento de <b>software,</b> segurança, cloud e, principalmente, infraestrutura de TI....&nbsp;",[],Software,2025-04-25T00:00:00.0000000,https://jooble.org/jdp/8524028798884545602,,[],2025-07-18
029fb942cb2d13b3a820f3d929a2948b,jooble,Assistant(E) De Direction,Plan Group,"Ontario, CA","Lassistant(e) <b>de </b>direction fournira un soutien administratif de haut niveau aux dirigeants, en veillant ce que leurs activits quotidiennes se droulent de manire harmonieuse et efficace. Cette fonction implique la gestion dagendas complexes, la coordination des dplacements...&nbsp;",[],Software,2025-07-18T00:00:00.0000000,https://jooble.org/jdp/944809267464971968,,[],2025-07-18
646928a79fdc7c42db4ee3b9cdba3d18,jooble,Ingeniero de Datos en Azure Cloud,EX Squared LATAM,Remote,"&nbsp;...En EX Squared, buscamos un  Ingeniero <b>de </b>Datos especializado en Azure  que se una a nuestro equipo para construir soluciones de...&nbsp;&nbsp;...consumo como Estrella y Copo de Nieve. 
 Construir soluciones bajo <b>arquitectura </b>Lakehouse con enfoque en Data Mesh. 
 Colaborar con áreas de...&nbsp;",[],Software,2025-07-01T00:00:00.0000000,https://jooble.org/jdp/3837622423267717126,,[],2025-07-18
2c219e71b91621e6bd1687f4c6e986cf,jooble,"Desarrollador de Software dirigido a procesos de inspección en SAT, Guatemala",IESC,Abroad,"&nbsp;...Desarrollador <b>de Software </b>dirigido a procesos de inspección en SAT, Guatemala. 


 I.  Antecedentes 

 El Proyecto  ATraCSI  , financiado por el programa Food for Progress del Departamento de Agricultura de Estados Unidos (USDA) se centra en implementar medidas internacionales...&nbsp;",[],Software,2025-06-19T08:05:06.4556046+00:00,https://jooble.org/jdp/3741024619185589919,,[],2025-07-18
a2e7ad209deb1893bf0287bf583d23d9,jooble,Chargé(e) de projet web (stage) F/H,Teva Pharmaceutical Industries Ltd.,France,"&nbsp;...Qui est Teva Laboratoires?
 En France- Teva Santé se situe au 5ème rang des groupes pharmaceutiques pour le nombre <b>de </b>médicaments dispensés. Grâce à sa double expertise de médicaments génériques et de spécialités, Teva santé met ses médicaments à la disposition des patients...&nbsp;",[],Software,2025-04-23T11:21:05.5785418+00:00,https://jooble.org/jdp/329050114617778917,,[],2025-07-18
862cf49a46e9166a891f2056f837fbed,jooble,Consultor(a) de Testes Senior,Avanade Inc.,United States,"Estamos em busca <b>de </b>um(a) profissional com forte atuação em qualidade de <b>software,</b> que traga uma visão estratégica, capacidade de liderança técnica e experiência sólida em ambientes complexos e de alta criticidade.
O que você fará:
Liderar a definição de estratégias de...&nbsp;",[],Software,2025-05-16T00:00:00.0000000,https://jooble.org/jdp/-7131432892664975728,,[],2025-07-18
e9e10ad23f9f336bb51ee56a8527ef50,jooble,Gerente de Proyectos Entrega Alternativa | Alternative...,HEI Civil - Colorado,"Denver, CO","&nbsp;...ás, HEI ha sido un líder indiscutible en contrataciones por más <b>de </b>50 años, con operaciones en Colorado, las Carolinas y Texas....&nbsp;&nbsp;...lisis de datos y fórmulas complejas). 
 Conocimiento funcional de <b>software </b>de programación como Primavera P6 u otras plataformas similares....&nbsp;",[],Software,2025-05-18T10:02:02.3800000,https://jooble.org/jdp/2670161599803430804,,[],2025-07-18
6d0cf86727478f294db06ba04fde809a,jooble,Manager Systems Software and Middleware Engineering (MFT/Mulesoft) - Hybrid (PA/NJ/DE),Independence,"Philadelphia, PA","&nbsp;...innovation, and is open to exploring new ways to achieve our goals. You will lead a team of engineers and be part of both system <b>software </b>management and middleware modernization journeys. This role involves architecting, building, and scaling middle-tier infrastructure...&nbsp;",[],Software,2025-03-31T00:00:00.0000000,https://jooble.org/jdp/7373914315104940338,,[],2025-07-18
a980fdf39a69f5d5ad064e982239d00a,jooble,Gestionnaire de Compte | Account Executive,Fiserv,United States,"&nbsp;...scale, come make a difference at Fiserv.
**Job Title**
Gestionnaire <b>de </b>Compte | Account Executive
**À propos de Clover:**
Clover, une...&nbsp;&nbsp;.... (
Clover is taking over! From payments to point of sale <b>software,</b> Clover is the SMB platform that does it all. Our growth has become...&nbsp;",[],Software,2025-07-12T22:58:53.9270000,https://jooble.org/jdp/2746898773551048483,,[],2025-07-18
7ca0f56185a39c6ec9a1b46781d35b27,jooble,Technical Lead Full Stack (Madrid-Getafe),Avanade Inc.,United States,"Introducción 
Impulsa el futuro <b>de </b>la ingeniería de <b>software,</b> creando soluciones innovadoras y sostenibles que marcan la diferencia. 
Únete a nosotros...&nbsp;&nbsp;...continuo. Diseñarás y desarrollarás componentes de <b>arquitectura </b>técnica y aplicaciones, colaborando estrechamente con un...&nbsp;",[],Software,2025-05-24T00:00:00.0000000,https://jooble.org/jdp/-3908898067935146600,,[],2025-07-18
5de0198f1be583a2cc2f3286d203173d,jooble,Creador(a) de Contenido,trabajito,"Santa Cruz, CA","&nbsp;...Minoil S.A. Se Encuentra En Búsqueda <b>De </b>
 Creador(a) de Contenido 
   Ubicación  : Santa Cruz 
 Objetivo Del Puesto 
 Idear, planificar...&nbsp;&nbsp;...demuestre experiencia como Creador de Contenido 
 Dominio de <b>software </b>de edición (Adobe Creative Suite, Final Cut Pro)
 Entendimiento...&nbsp;",[],Software,2025-06-26T00:00:00.0000000,https://jooble.org/jdp/-7244829486016168879,,[],2025-07-18
2b9f3d5708f13afa30239cace47091d3,jooble,Ingeniero/a de sistemas Mobile Device Management (MDM) - Getafe,Avanade Inc.,United States,"&nbsp;...sistemas empresariales con tecnología avanzada y un fuerte sentido <b>de </b>negocio, ¡y moldeando el futuro juntos! Estamos buscando un...&nbsp;&nbsp;...their customers. 
To learn more about the types of projects our <b>Software </b>Engineering team works on check out this info:   
Modern Engineering...&nbsp;",[],Software,2025-04-26T00:00:00.0000000,https://jooble.org/jdp/4965864965759646462,,[],2025-07-18
9c67fec6fea91594524479b875a47239,jooble,Développeur.euse de logiciels sénior.e,Hasbro,California,"&nbsp;...notre mission est d’inspirer l’imagination des enfants tout comme des adultes. Nous croyons que les meilleures expériences naissent <b>de </b>personnes passionnées par leur travail, évoluant dans un environnement qui les valorise, eux et leurs idées. Nous veillons à ce que chacun...&nbsp;",[],Software,2025-07-17T00:00:00.0000000,https://jooble.org/jdp/4814840706155511939,,[],2025-07-18
bf0aa1beeb33a2fcf5972e370f502667,jooble,Desarrollador Senior para sistematización de procesos de tránsitos y control de mercancías a granel,IESC,Abroad,"&nbsp;...Desarrollador Senior  para sistematización <b>de </b>procesos de tránsitos y control de...&nbsp;&nbsp;...abordando aspectos específicos relevantes a la <b>arquitectura,</b> diseño, tecnologías a implementar,...&nbsp;&nbsp;...desde una perspectiva de desarrollo de <b>software,</b> haciendo un análisis y diseño, de las soluciones...&nbsp;",[],Software,2025-07-08T00:56:39.8565710+00:00,https://jooble.org/jdp/-1168290139793020616,,[],2025-07-18
5aaca144fdfe3685747e3c09734d9b1b,jooble,Sales Representative DE/PA-IS,"D.R. Horton, Inc","Smyrna, DE","&nbsp;...Horton, Inc.  is currently looking for a  Sales Representative (<b>DE/</b>PA)-IS  . The right candidates primary responsibility is to manage...&nbsp;&nbsp;...Licensing requirements vary by state 
 Prior CRM <b>software </b>experience 
 Previous sales experience, knowledge of industry preferred...&nbsp;",[],Software,2025-07-17T00:00:00.0000000,https://jooble.org/jdp/4787327861499522483,,[],2025-07-18
