job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
2a5e84c0c571a01739cf6e63ff42cff5,rapidapi1,Coordinador de Oficina / Asociado de Recepción,HealthSource Chiropractic of Crofton,"Crofton, US","Beneficios:
• PTO y otros grandes beneficios
• Formación clínica y empresarial continua
• CEU's pagados por la empresa
• Descuentos para empleados
• Uniformes gratuitos
• Tiempo libre remunerado

Si la salud y el bienestar son importantes para ti, y te apasiona ayudar a las personas a mejorar sus vidas y su salud, ¡este puede ser el puesto perfecto para ti!

Somos una clínica quiropráctica y de rehabilitación progresiva de ritmo rápido y optimista que ayuda a los pacientes a volver a hacer lo que aman a través de la atención quiropráctica, la rehabilitación progresiva (PT) y otros servicios de bienestar.

Si eres enérgico, amigable, divertido, impulsado por un propósito, motivado y un jugador de equipo, ¡deberíamos hablar! Y debido a que todo en nuestra oficina se mueve rápidamente y hay múltiples tareas por completar, sus sólidas habilidades con el teléfono, la computadora y las personas son vitales.

Estará involucrado en muchas áreas de la práctica, incluidas las comunicaciones promocionales, la ayuda a las personas, el servicio al cliente y el manejo de las finanzas.

¡Disfrutará de un excelente pago, la oportunidad de ganar bonos mensuales y beneficios!

Quién eres:
¿Tienes un don para conocer gente nueva y agradarles?

¿Las personas te buscan primero en busca de ayuda porque saben que se logrará?

¿Eres rápido para sonreír y tienes un entusiasmo contagioso?

¿Obtienes una gran cantidad de placer y fuerza de ¿Desarrollar relaciones profesionales con los clientes?

¿Tienes conciencia de hacer las cosas bien y seguir las tareas hasta su finalización?

Lo que harás:
• Verificaciones de seguros
• Crear hojas de trabajo financieras
• Entregar revisiones financieras con los pacientes
• Hacer recomendaciones de productos y suplementos según el plan de tratamiento del médico
• Escanee las EOB de seguros entrantes
• Ayudar con campañas de marketing, contenido creativo, alcance comunitario
• Informes semanales de los pacientes
• Mantener la confidencialidad en lo que respecta a las pautas de HIPAA
• Trabaje con el resto del equipo para mantener la clínica limpia y ordenada
• Gestione el flujo de pacientes entre el médico, la rehabilitación y la recepción para garantizar que la experiencia del paciente sea eficiente, divertida y eficaz
• Mantener las cuentas de los pacientes mediante la obtención, el registro y la actualización de la información personal y financiera
• Cobrar los cargos de los pacientes, controlar el crédito otorgado a los pacientes y presentar, recopilar y acelerar las reclamaciones de terceros
• Mantener el inventario de la oficina comercial
• Otras tareas administrativas

Lo que necesitas
• Se prefiere un título de dos años o más, pero no es obligatorio
• Se debe demostrar experiencia previa en atención al cliente
• Se requiere dominio de Microsoft Office y Windows

Si cree que encajaría perfectamente en nuestra oficina, ¡presente su solicitud! ¡Esperamos poder hablar con usted!",[],Administración de Empresas,,https://healthsource-chiropractic-of-crofton.careerplug.com/jobs/2789555?loc=es-US&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
fac6b782c04e852097beeaf5873033f1,rapidapi1,Coordinador de oficina,Schafer Sports Center,"Ewing Township, US","RESUMEN DE LA FUNCIÓN DEL COORDINADOR DE OFICINA
El rol de Coordinador de Oficina en Schafer Sports Center será responsable de todas las operaciones de back-office, que incluyen, entre otras, la administración de oficina, la administración de bases de datos de programas informáticos, la programación, la facturación, el inventario y las métricas de lecciones. A veces, se le pedirá al coordinador de la oficina que también realice tareas administrativas de recepción y comercialización ad hoc. Por lo general, este rol reporta al Gerente General.

REQUISITOS Y RESPONSABILIDADES DE LOS ROLES
Supervise y acumule los registros telefónicos diarios de la recepción, los informes de cierre, etc. en el correo electrónico de resumen ejecutivo para la alta dirección a diario
Revise el registro de llamadas de recepción pendientes a diario y responda a todas las llamadas y consultas de los clientes dentro de las 24 horas
Responsable de abordar el cambio de horario y recuperar las solicitudes de lecciones de la clientela
Asegúrese de que cualquier cambio realizado por la recepcionista u otro personal se tenga en cuenta y sea apropiado
Actuar como la persona de contacto para la facturación del cliente
Asegúrese de que la información de facturación del cliente esté actualizada
Asegurar que los cargos mensuales se procesen en el programa informático
Alertar al Gerente/Propietario cuando se requiere un pedido de suministros adicional
Hacer cumplir los procedimientos de la oficina del Centro Deportivo Schafer y buscar constantemente actualizar las mejores prácticas
Asegúrese de que el recepcionista / personal esté utilizando ""guiones"" apropiados para responder a las consultas de los clientes.

REQUISITOS
Diplomas de escuela secundaria con experiencia previa en administración de oficinas y / o ventas
Debe tener habilidades superiores de comunicación e interpersonales al tratar con la clientela
Debe tener un comportamiento y apariencia profesionales
Manténgase constantemente al tanto de las políticas y procedimientos de Schafer Sports Centers
La experiencia comprobada en múltiples tareas es imprescindible
Capacidad de ""sorprender"" constantemente a nuestros clientes

Member schools are independently owned and operated. Your application will go directly to the member school, and all hiring decisions will be made by the management of this school. All inquiries about employment at these schools should be made directly to the school location, and not to US Swim School Association.",[],Administración de Empresas,,https://schafer-sports-center.careerplug.com/jobs/1837266?loc=es-US&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
4d0c4a1e8011643ff86b846a76511b52,rapidapi1,Coordinador de Oficina,Carmel Music Academy,"Carmel, US","Beneficios:
• Bonificación basada en el rendimiento
• Salario competitivo
• Descuentos para empleados

Beneficios/Ventajas
• Compensación competitiva
• Tiempo libre remunerado
• Oportunidades de crecimiento profesional
• Bonificación basada en el rendimiento
• Formación y Desarrollo

Resumen del trabajo
Estamos buscando un coordinador de oficina motivado y extrovertido para unirse a nuestro equipo. En este rol, proporcionará una variedad de apoyo administrativo, administrativo y de oficina. Comunicarnos con nuestros padres, estudiantes y personal, asegurando que la oficina funcione sin problemas y de manera eficiente. Sus responsabilidades incluirán contestar el teléfono, hacer llamadas y redes sociales, saludar a los clientes, programar citas, planificar reuniones y escribir correspondencia. El candidato ideal es altamente organizado, con excelentes habilidades de comunicación escrita y verbal y un comportamiento amigable.

Responsabilidades
• Desarrollar, actualizar y mantener los procedimientos de oficina pertinentes
• Crear y mantener un sistema de archivo organizado
• Saludar y ayudar a los clientes a medida que llegan
• Responder llamadas telefónicas y mensajes de texto entrantes
• Programe citas y mantenga el calendario de la academia
• Redes Sociales
• Organice reuniones y tome actas precisas
• Escribir correos electrónicos, memorandos y cartas, y distribuirlos adecuadamente
• Habilidades de resolución de problemas con la capacidad de adaptarse al entorno
• Trabajar de forma independiente, así como en equipo
• Abordar y resolver las inquietudes de los clientes con una actitud profesional

Calificaciones
• Se requiere diploma de escuela secundaria / GED, título de asociado o capacitación administrativa es una ventaja
• Experiencia previa como Coordinador de Oficina, Asistente Administrativo o puesto similar
• El mantenimiento de registros y la información de seguimiento son una ventaja
• Familiaridad con el equipo y el software de oficina estándar, como Google, computadoras e impresoras.
• Excelentes habilidades informáticas y conocimientos de Google, Facebook, Instagram y Mailchimp
• Altamente organizado con excelentes habilidades de gestión del tiempo y la capacidad de priorizar proyectos
• Capacidad para tomar decisiones acertadas bajo presión",[],Administración de Empresas,,https://carmel-music-academy-1.careerplug.com/jobs/2861553?loc=es-US&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
392c2a1ec5eb8d34da366e4e98150f2e,rapidapi1,Coordinador de oficina,NFI Industries,"Scottsdale, US","Resumen:
El bajo Coordinador de Oficina supervisin general realiza una variedad de funciones administrativas y de apoyo de oficina difciles, responsables y especializadas; crea y mantiene informes, registros y archivos especializados necesarios en relacin con los procesos de trabajo del departamento.

Responsabilidades:
• Garantiza que se sigan los procesos de seguridad con respecto a la recepcin (registro de entrada del conductor y del visitante).
• Responde y enruta todas las llamadas telefnicas de manera educada, tomando mensajes y enrutando los a las personas adecuadas de manera oportuna.
• Proporciona la programacin de todos los fletes entrantes y salientes en los departamentos de operaciones y clientes de cumplimiento.
• Coordina la recepcin y envo de documentos verificando la precisin.
• Rene y mantiene todos los datos y registros relativos a las actividades de envo y recepcin.
• Verifica la precisin de las rdenes de envo y las cantidades de envo que coinciden con los documentos de recoleccin.
• Ayuda a resolver las discrepancias de los clientes.
• Recopila toda la documentacin para el flete entrante y la ruta a la unidad de mantenimiento de registros adecuada.
• Dirige y supervisa el programa de cambio y control de tarimas.
• Responsabilidades de facturas de proveedor y AR/AP de la instalacin.
• Responsable de ejecutar informes de clientes especficos y escanear facturas.
• Brinda asistencia en proyectos especiales a discrecin del Representante principal de servicio al cliente (CSR), el Supervisor de CSR o el Gerente de oficina.
• Puede estar involucrado en el cronometraje y otros informes de nmina.
• Presenta la documentacin apropiada para la instalacin segn sea necesario.
• Otras tareas administrativas segn las indicaciones de la gerencia local especficas para las necesidades de la instalacin.

Calificaciones:
• Diploma de escuela secundaria o equivalente
• 2 a 5 aos de experiencia en la oficina
• Conocimientos informticos competentes, incluidas todas las aplicaciones de MS Office
• Habilidades intermedias de mecanografa
• 10 teclas al tacto
• Sistemas de software de envo, incluidos UPS y Federal Express
• Excelentes habilidades de comunicacin oral y escrita
• Excelente gestin del tiempo, multitarea, elaboracin de informes y habilidades de servicio al cliente.
• Capacidad y disponibilidad para trabajar en horarios irregulares o extendidos, incluidas noches, fines de semana y feriados, segn sea necesario.

Empleador que ofrece Igualdad de Oportunidades/Veteranos Protegidos/Individuos con Discapacidades

El contratista no despedir ni discriminar de ninguna otra manera a los empleados o solicitantes porque hayan preguntado, discutido o revelado su propio salario o el salario de otro empleado o solicitante. Sin embargo, los empleados que tienen acceso a la informacin de compensacin de otros empleados o solicitantes como parte de sus funciones laborales esenciales no pueden revelar el salario de otros empleados o solicitantes a personas que de otro modo no tendran acceso a la informacin de compensacin, a menos que la divulgacin sea (a ) en respuesta a una queja o cargo formal, (b) en cumplimiento de una investigacin, procedimiento, audiencia o accin, incluida una investigacin realizada por el empleador, o (c) de conformidad con el deber legal del contratista de proporcionar informacin. 41 CFR 60-1.35(c)

Solicitantes del condado de Los ngeles: La Compaa considerar a los solicitantes calificados, incluidos aquellos con antecedentes penales, de manera consistente con las leyes estatales y locales aplicables.",[],Administración de Empresas,,https://talents.vaia.com/companies/nfi-industries/coordinador-de-oficina-7782770/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
f0912b2baec36fb3aee59e1770cf1008,rapidapi1,Asistente Administrativo - Coordinador de Oficina,Kelly Services,"New York, US","Puesto: Asistente administrativo/Coordinador de oficina
Ubicación: En el sitio | Midtown Manhattan, Nueva York
Compensación: $30-$2013 por hora | Temporal a contratación
Para postularse: Envíe su currículum a chrc35@kellyservices.com
¡Únase a una startup FinTech de ritmo rápido en el corazón de Nueva York!

Estamos buscando un asistente administrativo/oficina altamente organizado y agradable Coordinador para apoyar las operaciones diarias de la oficina y crear un ambiente acogedor para empleados e invitados. This is a great opportunity to get your foot in the door at an innovative, growing company and play a key role in keeping everything running smoothly behind the scenes.

What You’ll Do:
• Serve as the first point of contact for employees, guests, and vendors
• Manage reception duties including answering calls, handling deliveries, and greeting visitors
• Maintain office and kitchen supply inventory; place and track orders as needed
• Ensure the office is clean, organized, and running efficiently
• Provide general administrative support to staff and leadership
• Assist with onboarding logistics and workspace setup for new hires
• Help coordinate internal meetings, events, and vendor services

Who You Are:
• 1+ years of experience in an administrative, office coordination, or front desk role
• Known for your friendly demeanor, reliability, and ability to stay calm under pressure
• Strong communicator and multitasker with a can-do attitude
• Tech-savvy and comfortable with tools like Microsoft Office and Google Workspace
• Startup or fast-paced office experience a plus, but not required

Why You’ll Love This Role:
• Be part of a collaborative and high-energy FinTech team
• Temp-to-hire opportunity with strong potential for growth
• Hands-on exposure to multiple parts of the business
• Work in a modern Midtown office with a passionate team
• $30–$35/hr compensation and a pathway to full-time employment

Send resume to chrc511@kellyservices.com for immediate consideration and interview.","['1+ years of experience in an administrative, office coordination, or front desk role', 'Known for your friendly demeanor, reliability, and ability to stay calm under pressure', 'Strong communicator and multitasker with a can-do attitude', 'Tech-savvy and comfortable with tools like Microsoft Office and Google Workspace', 'Be part of a collaborative and high-energy FinTech team', 'Serve as the first point of contact for employees, guests, and vendors', 'Manage reception duties including answering calls, handling deliveries, and greeting visitors', 'Maintain office and kitchen supply inventory; place and track orders as needed', 'Ensure the office is clean, organized, and running efficiently', 'Provide general administrative support to staff and leadership', 'Assist with onboarding logistics and workspace setup for new hires', 'Help coordinate internal meetings, events, and vendor services']",Administración de Empresas,2025-07-07T00:00:00.000Z,https://www.mykelly.com/es/job/9889235-administrative-assistant-office-coordinator-new-york-ny-united-states/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
8e049029061983a4eddeec3ff3b22184,rapidapi1,Coordinador de Oficina (Permanente Tiempo Parcial),Carmel Music Academy,"Carmel, US","Beneficios:
• Bonificación basada en el rendimiento
• Fiestas de empresa
• Salario competitivo
• Descuentos para empleados
• Horario flexible
• Comida y bocadillos gratis
• Oportunidad de avance
• Formación y desarrollo

Sobre el rol:
Este papel sirve como el rostro acogedor, el latido del corazón y el pulso vibrante de la Academia, orquestando el ritmo de la educación musical con entusiasmo. Desde dar una cálida bienvenida a los estudiantes, hasta impulsar las ventas y desarrollar relaciones positivas. Desempeñarás un papel fundamental en la creación de experiencias excepcionales. Si te mueve la pasión, prosperas en un entorno orientado a las ventas y anhelas la emoción de contribuir a los viajes musicales, ¡estamos ansiosos por saber de ti!

Responsabilidades:
Apoyo Administrativo:
• Proporcionar asistencia administrativa integral a los directores y al personal, incluida la gestión de llamadas telefónicas,
correos electrónicos y consultas. Mantener y actualizar los registros, documentos y sistemas de archivo de la oficina, y garantizar
precisión y accesibilidad.
• Servicio al cliente:
Saludar y ayudar a los clientes que visitan la academia con una cara amable y un primer punto de contacto profesional.
Atender las consultas de los clientes y proporcionar información sobre nuestros programas de lecciones de música.
• Gestión de inventarios:
Mantenga los niveles de inventario de artículos de oficina, minoristas, suministros de limpieza, etc. ordenando según sea necesario.
Realice un seguimiento de los equipos y accesorios, para garantizar la disponibilidad para la academia, los profesores y los clientes.
• Entrada de datos e informes:
Introduzca datos en bases de datos y genere informes según sea necesario. Compile y analice datos para respaldar la toma de decisiones
y mejorar la eficiencia operativa.
• Comunicación:
Comunicarse de manera efectiva con los Directores, el Personal, los Maestros y los Socios de la Academia. Borrador y revisión
correspondencia, documentos e informes según sea necesario.",[],Administración de Empresas,,https://carmel-music-academy-1.careerplug.com/jobs/2861354?loc=es-US&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
393037a0bbea3dd5d4b73f58af9bfe5d,rapidapi1,Coordinadora de Oficina,TeamLogic IT of Northeast Massachusetts,"Woburn, US","Beneficios:
• Igualación de 401(k)
• Seguro de enfermedad
• Tiempo libre remunerado

Rol: Coordinador de Oficina
TeamLogic IT del noreste de Massachusetts

Sobre nosotros:

Somos un proveedor de servicios gestionados de TI ubicado en Woburn, MA, enfocado en brindar soporte a pequeñas y medianas empresas que buscan externalizar sus funciones de TI. La flexibilidad de las relaciones permite acuerdos de trabajo que se adaptan a diferentes niveles de servicio. Ya sea que se trate de TI totalmente subcontratada, TI complementaria o asistencia basada en proyectos.

Somos un miembro familiar de una red de franquicias de 100 ubicaciones de TeamLogic IT en todo el país. La fortaleza de nuestra red nos ha colocado en el puesto #45 en el MSPmentor.net Top 501 de los 501 principales proveedores de servicios gestionados.

Nuestra principal área geográfica de apoyo se extiende desde Boston y sus comunidades circundantes hasta la frontera de New Hampshire.

Este puesto está en nuestro lugar en nuestra oficina de Woburn, 5 días a la semana, de lunes a viernes.

RESPONSABILIDADES LABORALES

· Responda a las llamadas entrantes y clasifique al miembro del equipo adecuado.

· Abra tickets de soporte con el mayor detalle posible cuando se informen nuevos incidentes.

· Ayude a los técnicos de servicios remotos a obtener información adicional para el proceso de solución de problemas cuando lo soliciten.

· Programe visitas in situ para los tickets de rotura/reparación que requieren asistencia física y que han sido enviados por nuestros clientes y colegas.

· Responda a las preguntas e inquietudes de los clientes sobre los tickets que se asignaron o se volvieron a abrir si los ingenieros no están disponibles o en el sitio.
· Confirme citas mensuales, semanales o quincenales con los clientes.
· Confirme las visitas in situ con los ingenieros y bríndeles actualizaciones o cambios de citas/horarios en tiempo real.
· Trabaje con los directores de departamento para determinar la disponibilidad de recursos al programar proyectos y la disponibilidad técnica.
· Trabajar con el Director de Ingeniería y el Vicepresidente de Operaciones en la gestión de flotas de vehículos de la empresa.
· Ayudar con las responsabilidades administrativas generales, como pedidos de suministros, reabastecimiento, archivo, trituración, etc.

EXPERIENCIA Y HABILIDADES REQUERIDAS

· El candidato debe poseer sólidas habilidades de comunicación escrita y verbal.
· Experiencia en el uso de Microsoft Office Suite.
· Experiencia en el uso de un sistema de venta de entradas.
· Disposición para aprender nuevas tareas.

Tipo de trabajo: Jornada completa

Ubicación del trabajo: Woburn, MA

Experiencia preferida:

· +3 años de experiencia en programación de recursos
· Sólidas habilidades de servicio al cliente

Licencia o certificación requerida:

· Licencia de conducir

This franchise is independently owned and operated by a franchisee. Your application will go directly to the franchisee, and all hiring decisions will be made by the management of this franchisee. All inquiries about employment at this franchisee should be made directly to the franchise location, and not to TeamLogic IT Corporate.",[],Administración de Empresas,,https://teamlogic-it-careers.careerplug.com/jobs/2228663/apps/new?loc=es&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
cb42cba0af2c72db3067bbe7194c4e89,rapidapi1,Coordinador de Oficina de Temporada de Fin de Semana,Jackson Hewitt - 3222,"Kettering, US","ESTACIONAL:
Fecha de inicio: Diciembre
Fecha de finalización: abril o mayo

Fines
Sábados de 8:45 am a 6:30 pm
Domingos de 11:45 a.m. a 5:30 p.m.

Deberes y responsabilidades específicos:
Asistente del gerente de oficina
Apoyar las funciones diarias de la oficina
Conocer y saludar a los clientes
Responda las llamadas telefónicas entrantes para todas las ubicaciones de la oficina
Planifique y programe citas para todas las ubicaciones de la oficina
Copiar, ensamblar y enviar por correo los formularios de impuestos
Ingrese datos y números en Excel y software de impuestos
Escanear y archivar documentos
Clasificar y distribuir el correo para el departamento de impuestos
Editar y mantener archivos de bases de datos electrónicas
Campañas de llamadas
Mantener y realizar un seguimiento del inventario
Realizar todas las demás tareas de oficina
Responsable de ayudar con todas y cada una de las tareas de limpieza.

Cualificaciones y habilidades:
Debes ser extremadamente organizado, autogestionado y poseer grandes habilidades interpersonales.
Cálido y cariñoso debe describirte.
Aprendiz inteligente, rápido y eficaz
Organizado y detallista.
Fuerte ética de trabajo.
Actitud constructiva y positiva.
Gran atención al detalle.
Fuertes habilidades de entrada de datos y mecanografía.
Capacidad para trabajar de forma independiente.
Este puesto requiere una persona con mucha energía y fuertes habilidades de oficina
Nuestros numerosos clientes merecen nada menos que un excelente servicio al cliente.
Atención al cliente, tanto interno como externo.

PTIN Certification: Yes

By submitting this form, I hereby acknowledge that most Jackson Hewitt locations are operated by independent franchisees and not Jackson Hewitt or its affiliates. I further acknowledge that franchisees are independent employers and separate companies and employers from Jackson Hewitt Inc., and set their own employment policies and practices. Franchisees are the exclusive employer of their employees and as such are solely responsible for all employment-related matters and decisions in their locations. Specifically, with regard to employees of franchisees, such franchisees, and not Jackson Hewitt, will have exclusive control over all employment-related decisions, including decisions concerning hiring, firing, wages, conditions of employment, discipline, staffing, or any other day-to-day employment issue. Jackson Hewitt Inc. will have no obligation or right to control any franchise employment issue relating to employees of a Jackson Hewitt franchisee. By applying for a job at a franchise-operated location, I understand that the information I provide will be forwarded to the franchisee in order for that organization to reach out to me and process and evaluate my application. I acknowledge that Jackson Hewitt will not receive a copy of my employment application and will have no involvement in any employment decisions regarding me, including whether I receive an interview or whether I am hired to work for the franchisee. I understand that I need to contact the relevant franchisee for information about its privacy practices. Any communications opt-out that I submit in any franchisee’s job application process is specific to that franchisee and will not be communicated to any other entity.",[],Administración de Empresas,,https://jackson-hewitt-3222.careerplug.com/jobs/1839358/apps/new?loc=es&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
027746814498545fd2a1a03ad100f329,rapidapi1,Coordinador de oficina de temporada,Jackson Hewitt - 3222,"Kettering, US","ESTACIONAL:
Fecha de inicio: diciembre
Fecha de finalización: abril o mayo

De lunes a domingo
Fines de semana disponibles si es necesario

Deberes y responsabilidades específicos:
Ayudar al gerente de la oficina
Apoyar las funciones diarias de la oficina.
Conocer y saludar a los clientes
Responder llamadas telefónicas entrantes para todas las ubicaciones de oficina
Planificar y programar citas para todas las oficinas
Copiar, ensamblar y enviar por correo formularios de impuestos
Ingrese datos y números en Excel y software de impuestos
Escanear y archivar documentos
Ordenar y distribuir el correo para el departamento de Impuestos
Editar y mantener archivos de bases de datos electrónicas.
Campañas de llamadas
Mantener y rastrear el inventario
Realizar todas las demás tareas de la oficina.
Responsable de ayudar con cualquier y todos los deberes de limpieza.

Calificaciones y Habilidades:
Debe ser extremadamente bien organizado, autogestionado y poseer grandes habilidades con las personas.
Cálido y cariñoso debería describirte.
Aprendiz inteligente, rápido y efectivo
Organizado y detallista.
Fuerte ética de trabajo.
Actitud constructiva y positiva.
Fuerte atención al detalle.
Fuertes habilidades de digitación y entrada de datos.
Habilidad para trabajar de manera independiente.
Este puesto requiere una persona con mucha energía y fuertes habilidades de oficina.
Nuestros muchos clientes merecen nada menos que un excelente servicio al cliente.
Atención al cliente - tanto interno como externo.

PTIN Certification: Yes

By submitting this form, I hereby acknowledge that most Jackson Hewitt locations are operated by independent franchisees and not Jackson Hewitt or its affiliates. I further acknowledge that franchisees are independent employers and separate companies and employers from Jackson Hewitt Inc., and set their own employment policies and practices. Franchisees are the exclusive employer of their employees and as such are solely responsible for all employment-related matters and decisions in their locations. Specifically, with regard to employees of franchisees, such franchisees, and not Jackson Hewitt, will have exclusive control over all employment-related decisions, including decisions concerning hiring, firing, wages, conditions of employment, discipline, staffing, or any other day-to-day employment issue. Jackson Hewitt Inc. will have no obligation or right to control any franchise employment issue relating to employees of a Jackson Hewitt franchisee. By applying for a job at a franchise-operated location, I understand that the information I provide will be forwarded to the franchisee in order for that organization to reach out to me and process and evaluate my application. I acknowledge that Jackson Hewitt will not receive a copy of my employment application and will have no involvement in any employment decisions regarding me, including whether I receive an interview or whether I am hired to work for the franchisee. I understand that I need to contact the relevant franchisee for information about its privacy practices. Any communications opt-out that I submit in any franchisee’s job application process is specific to that franchisee and will not be communicated to any other entity.",[],Administración de Empresas,,https://jackson-hewitt-careers.careerplug.com/jobs/1839354/apps/new?loc=es&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
485dd0fc99a2e3d7b978816461f5aab5,rapidapi1,Coordinador de Logística - Transporte,NFI Industries,"Riverton, US","Resumen

El Coordinador de Logística brinda dirección general durante toda la operación de la Flota Dedicada y brinda asistencia operativa al Gerente de Proyecto cuando sea necesario.
Responsabilidades
• Mantiene relaciones de trabajo positivas y alentadoras con todos los conductores.
• Proporciona comunicaciones constantes de problemas de servicio al personal y departamentos apropiados, tanto internos (NFI) como externos (Cliente).
• Realiza tareas de planificación de carga, programación de conductores y despacho utilizando recursos de flota dedicada y de transporte común.
• Coordina la entrada diaria de datos en el sistema de gestión de pedidos patentado de NFI, TMW.
• Se coordina con el equipo de facturación de la oficina central para garantizar la finalización oportuna y precisa de las facturas semanales de los clientes.
• Garantiza la finalización precisa y oportuna de las tareas diarias y semanales.
• Proporciona informes semanales de KPI/datos de rendimiento a partes internas y externas.
• Coordina diariamente la programación del mantenimiento de camiones y remolques.
• Trabaja con el departamento de seguridad en DriveCam, cumplimiento del conductor y cuestiones de HOS
• Ayuda al Gerente de Proyecto con la implementación de las políticas laborales, de seguridad y de seguridad de NFI.
• Asiste y brinda cobertura en todos los departamentos durante las vacaciones, feriados si es necesario.
• Gestiona y mantiene la nómina de los conductores.
• Audita y aprueba los informes de gastos del conductor.
• Brinda asistencia al Gerente de Proyecto cuando sea necesario.

Calificaciones
• Experiencia mínima de 2-3 años en logística y/o transporte.
• Experiencia en aplicaciones informáticas, incluidos MS Office y TMW, muy deseada.
• Excelente servicio al cliente, capacidad de resolución de problemas, comunicación y toma de decisiones.
• Excelentes habilidades de comunicación oral y escrita
• Capacidad para trabajar de manera eficiente y realizar múltiples tareas.
• Capacidad y disponibilidad para trabajar en horario extendido si es necesario.

Empleador que ofrece Igualdad de Oportunidades/Veteranos Protegidos/Individuos con Discapacidades

El contratista no despedirá ni discriminará de ninguna otra manera a los empleados o solicitantes porque hayan preguntado, discutido o revelado su propio salario o el salario de otro empleado o solicitante. Sin embargo, los empleados que tienen acceso a la información de compensación de otros empleados o solicitantes como parte de sus funciones laborales esenciales no pueden revelar el salario de otros empleados o solicitantes a personas que de otro modo no tendrían acceso a la información de compensación, a menos que la divulgación sea (a ) en respuesta a una queja o cargo formal, (b) en cumplimiento de una investigación, procedimiento, audiencia o acción, incluida una investigación realizada por el empleador, o (c) de conformidad con el deber legal del contratista de proporcionar información. 41 CFR 60-1.35(c)

Solicitantes del condado de Los Ángeles: La Compañía considerará a los solicitantes calificados, incluidos aquellos con antecedentes penales, de manera consistente con las leyes estatales y locales aplicables.

Nos complace compartir que la tarifa base por hora para este puesto es $24.93 -$33.24/HORA. NFI toma en consideración las calificaciones, la experiencia, la educación y la ubicación geográfica de los solicitantes al determinar una tasa de pago inicial.

Los empleados también son elegibles para un sólido programa de beneficios, que incluye cobertura médica, dental, oftalmológica, de medicamentos recetados, plan 401k, programa de bienestar, seguro de vida, tiempo libre remunerado y licencia parental remunerada, entre otras opciones de planes de beneficios.

PC-301",[],Administración de Empresas,2025-07-10T00:00:00.000Z,"https://www.ziprecruiter.com/c/NFI-Industries/Job/Coordinador-de-Log%C3%ADstica-Transporte/-in-Riverton,NJ?jid=4dee03ddee519e6c&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,[],2025-07-18
