job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
f237f834985a5ad9a8e437c3d05fba92,rapidapi1,Ingeniero Eléctrico,"CASS, Inc.","McCarran, US","Respuesta RFI***

Es importante aclarar que seleccionamos 'No' a la supervisión en el punto F.a.3. Esto se debe a que el Ingeniero Eléctrico no tendrá la autoridad para contratar, despedir o recomendar promociones a ningún empleado. Su función será principalmente ofrecer experiencia y consultar con otros empleados a medida que realizan sus tareas.

Original F.a.2***

El Ingeniero Eléctrico liderará un proyecto de 10 meses centrado en la automatización de un sistema de apilamiento de lingotes de aluminio para la fabricación de lingotes de aluminio. El proyecto incluye la integración de dos robots, una línea de pesaje, un sistema de marcado láser y un equipo de flejado automático. El candidato seleccionado supervisará la programación de varios transportadores, robots y sistemas de control para garantizar una operación e integración perfectas dentro de la planta de fabricación de aluminio.

Diseñar, implementar, mantener o mejorar instrumentos, equipos, instalaciones, componentes, productos o sistemas eléctricos para fines industriales.

Supervisar los esfuerzos de producción del proyecto para garantizar que los proyectos se completen a tiempo y dentro del presupuesto.

Realice cálculos detallados para calcular y establecer estándares o especificaciones de fabricación e instalación.

Operar ingeniería asistida por computadora o diseñar software o equipo para realizar tareas de ingeniería.

Consulte con ingenieros, contratistas u otros para discutir proyectos o productos de ingeniería existentes o potenciales.

Inspeccione las instalaciones completadas y observe las operaciones para garantizar la conformidad con las especificaciones de diseño y equipo y el cumplimiento de las normas operativas y de seguridad.

Preparar planos técnicos, especificaciones de sistemas eléctricos o mapas topográficos para garantizar que la instalación y las operaciones cumplan con los estándares y los requisitos del cliente.

Compilar datos y escribir informes sobre estudios o proyectos de ingeniería eléctrica existentes o potenciales.

Preparar especificaciones para compras de materiales o equipos.

Planificar o implementar metodologías o procedimientos de investigación para aplicar los principios de la teoría eléctrica a proyectos de ingeniería.

Supervisar o capacitar a los miembros del equipo del proyecto, según sea necesario.

Ayudar en el desarrollo de programas de proyectos de capital para equipos nuevos o reparaciones importantes.

Desarrollar software para el control de sistemas eléctricos.

Planificar el trazado de plantas generadoras de energía eléctrica o líneas o estaciones de distribución.

Realizar encuestas de campo o estudiar mapas, gráficos, diagramas u otros datos para identificar y corregir problemas del sistema de energía.",[],Electrónica y Automatización,,https://seasonaljobs.dol.gov/es/jobs/H-400-24185-173174?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
914baf8f019394e3d665f865923cbecb,rapidapi1,Ingeniero Electrónico Superior,buscojobs España,"Seville, US","Para nuestra división de I+D buscamos un ingeniero electrónico apasionado por el diseño hardware electrónico. Te estamos esperando en nuestro equipo, si eres un convencido de que la electrónica no tiene límites sino retos que superar y estás acostumbrado a que tus diseños y desarrollos sean la demostración.

Actividad principal : Diseño y desarrollo de circuitos electrónicos con las últimas tecnologías y para crear los mejores productos del mercado de control de accesos, video intercomunicación y sistemas de muy alta seguridad.

Se valora experiencia demostrable en diseño, puesta en marcha e industrialización de circuitos electrónicos, incluyendo :
• Captura de esquemas electrónicos y diseño / revisión PCB.
• Puesta en marcha de circuitos electrónicos y medidas de límites.
• Pruebas y medidas de pre-certificación. Normativas EMI, EMC, y Radio europeas (EN) y americanas (UL).
• Electrónica analógica, acondicionamiento de señal, actuadores, protecciones, etc.
• Electrónica digital, microcontroladores y microprocesadores (ARM Cortex M / A y x86), memorias (DataFlash, SDRAM, DDR, NAND, eMMC, etc.), lógica discreta, etc.
• Trazado de alta velocidad y control de impedancia.
• Interfaces de comunicación alta velocidad y wireless.

Dominio de paquete de diseño electrónico Altium y manejo de instrumentación de laboratorio de electrónica.

Muy valorable la experiencia y conocimientos en :
• Desarrollo firmware sobre sistemas operativos RTOS y Linux.
• Diseño de circuitos de radio, módulos RF y antenas en PCB.
• Fuentes de alimentación y convertidores DC / DC y AC / DC y cargadores de baterías de Li y Pb.
• Audio : codecs de audio, Interfaces (I2S y PDM), Micrófonos MEMS, amplificadores, altavoces, etc.
• Video : sensores CMOS, interfaces (DVP, MIPI y CSI), displays LVDS y MIPI, touchscreens y backlight.

Características adicionales de la posición :
• Alta capacidad analítica y resolutiva.
• Innovador, con espíritu creativo y proactivo en las propuestas de soluciones.

Buscamos profesionales apasionados por la tecnología y la innovación, comprometidos con los resultados y acostumbrados a lograr el éxito. Ofrecemos :
• Formación específica y plan desarrollo profesional.
• Un excepcional ambiente de trabajo dentro de un entorno tecnológico.
• Formar parte de una empresa responsable y comprometida con la igualdad de oportunidades.
• Atractiva remuneración acorde a perfiles de alta cualificación

Crear una alerta de empleo para esta búsqueda

Ingeniero Superior
• Not Specified, Not Specified, España

Crear una alerta de empleo para esta búsqueda

Crear una alerta de empleo para esta búsqueda

Ingeniero Superior • Sevilla, Andalucía, España
#J-18808-Ljbffr",[],Electrónica y Automatización,2025-07-15T00:00:00.000Z,https://www.recruit.net/job/ingeniero-electronico-superior-jobs/9A1655F3831C8967?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
2d9046db7296a447d131a16069c50af4,rapidapi1,Ingeniero electrónico,Kelly Services,"Fallbrook, US","Ingeniero Electrónico de I+D

Resumen: Responsable del apoyo a los ingenieros en el proceso de pruebas electrónicas, planificación y coordinación del desarrollo y diseño de controles electrónicos para equipos de fabricación.",[],Electrónica y Automatización,2025-07-10T00:00:00.000Z,https://www.mykelly.com/es/job/9887848-electronics-engineer-fallbrook-ca-united-states/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
27acaa101c5b137f454329bc19245d48,rapidapi1,Ing. Electrónico / Tec. Electrónico Senior.,Dhz engineering group sac,"Los Olivos, US","Requisitos:

•Egresado de Carrera electrónica o a fines (2 a 3 años de experiencia en rubro similar)

•Manejo de equipo de trabajo / elaboración, ejecución de protocolos para el desarrollo del trabajo.

•Conocimiento de electrónica de potencia (IGBTS, SCR, DIODOS)

•Conocimiento en electrónica de control (Elementos SMD, Superficiales)

•Conocimiento electrónico de variadores de frecuencia.

•Experiencia en reparación de equipos electrónicos.

•Capacidad de desarrollo de informes, diagnósticos.

•Capacidad de resolución de problemas en campo.

Tipo de puesto: Tiempo completo

Sueldo: $2,000.00 - $4,000.00 al mes

Lugar de trabajo: Empleo presencial",[],Electrónica y Automatización,2025-07-07T00:00:00.000Z,https://www.indeed.com/viewjob?jk=222483314a6fea36&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
3aa4233cb8eb0e2d171f5a6cecf078a0,rapidapi1,Ingeniero eléctrico,Kelly Services,"Broomfield, US","Ingeniero de sustentabilidad de productos
Broomfield, CO

La responsabilidad principal del ingeniero de sustentabilidad de productos es desempeñar un papel clave en el apoyo al proceso de introducción de nuevos productos (NPI) e impulsar mejoras continuas de los productos. Esto incluye la gestión de la documentación técnica del producto, la realización de pequeñas revisiones de diseño y la garantía de una colaboración fluida con los socios de fabricación por contrato.",[],Electrónica y Automatización,2025-07-15T00:00:00.000Z,https://www.mykelly.com/es/job/9788674-electrical-engineer-broomfield-co-united-states/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
25379634a48f5dabe5d505e760be11e8,rapidapi1,Ingeniero/A Electrónico/A - Desarrollo De Sistemas,buscojobs España,"None, US","Desarrollador / a de Soluciones Electrónicas

Somos una empresa líder en el desarrollo de soluciones industriales relacionadas con la impresión 3D profesional. Buscamos un / a desarrollador / a de sistemas electrónicos para incorporarse a nuestro equipo de I+D en Lleida.

Nuestra compañía busca a alguien apasionado por el desarrollo de sistemas electrónicos y firmware embebido, con enfoque en soluciones fiables, escalables y optimizadas para entornos industriales exigentes.

Funciones Principales :
• Diseño, desarrollo y validación de sistemas electrónicos y firmware embebido para impresoras 3D profesionales.
• Diseño de esquemáticos y PCBs con Altium Designer.
• Integración de bootloaders y sistemas de actualización seguros por UART, USB, SD o protocolos industriales.
• Control de hardware distribuido en red : CAN, RS485, Modbus.
• Coordinación con producción y proveedores de ensamblaje electrónico.
• Validación y testeo de hardware y firmware en laboratorio.
• Experiencia mínima de 2 años como ingeniero / a electrónico / a.
• Formación en Ingeniería Electrónica Industrial o similar.
• Dominio de C para microcontroladores, diseño de PCBs con Altium, y protocolos de comunicación industrial.
• Nivel alto de inglés (mínimo C1); se valorará catalán y / o español nativo.

Beneficios :
• Entorno innovador y vinculado a tecnología 4.0.
• Horario flexible e intensivo los viernes y en verano.
• Beneficios como retribución flexible, día libre en cumpleaños, jornada de asuntos propios, café y fruta gratuitos, entre otros.
• Cultura colaborativa, evaluaciones 360º y oportunidades reales de crecimiento profesional.

Ubicación : Oficinas en Lleida (modelo presencial con cultura flexible).
Crear una alerta de empleo para esta búsqueda #J-18808-Ljbffr",[],Electrónica y Automatización,2025-07-15T00:00:00.000Z,https://www.recruit.net/job/ingeniero-electronico-desarrollo-de-sistemas-jobs/F1C32EF1FD6F28FA?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
8d7a7a9ea3a97da54abb3d860e08966e,rapidapi1,▷ Buen Salario Ingeniero/A Electrónico/A Junior,Whatjobs,"Camas, US","¡Haz despegar tu carrera con Grupo ISASTUR!¿Te apasiona la tecnología y quieres dar tus primeros pasos profesionales en el sector industrial?¡En Grupo Isastur queremos conocerte!Buscamos un/a Ingeniero/a Junior en Electrónica y Automática para unirse a nuestro equipo, crecer profesionalmente y participar en proyectos innovadores de instrumentación y automatización para nuestros clientes del sector industrial. Ubicación:
Nuestras oficinas se encuentran en Camas, Sevilla. Tus principales funciones serán:
- Estudio y análisis de soluciones técnicas.- Comparativa de soluciones y tecnologías disponibles en el mercado.- Desarrollo de software y aplicaciones adaptadas a las necesidades de cada proyecto.- Realización de pruebas de funcionamiento y puesta en marcha de sistemas.- Diseño y programación de autómatas programables (Rockwell, Siemens, Omron, Schneider, etc.). Requisitos mínimos:
- Grado en Ingeniería Electrónica y Automática.- Grado en Ingeniería Electrónica, Robótica y Mecatrónica.- Grado en Ingeniería Electrónica Industrial.- Doble Grado en Ingeniería Eléctrica e Ingeniería Electrónica Industrial. Te ofrecemos:
Comenzar como ingeniero/a en prácticas con posibilidades de estabilidad en la empresa. Programa formativo y plan de carrera adaptado a tu perfil. Flexibilidad horaria y entorno dinámico. Participación en proyectos de automatización industrial.Si buscas una empresa donde desarrollarte, aprender cada día y construir una sólida carrera profesional, ¡Grupo Isastur es tu lugar! ¡Inscríbete y empieza a construir tu futuro con nosotros!#IngenieríaElectrónica #IngenieríaAutomática #Robótica #Autómatas #Empleo #GrupoISASTUR #OportunidadLaboral #CarreraProfesional #Sevilla",[],Electrónica y Automatización,2025-07-16T00:00:00.000Z,https://www.recruit.net/job/buen-salario-ingeniero-electronico-jobs/518BDA17F05CB8D8?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
377a0417b8b9a4019a688cad15691c2b,rapidapi1,Ingeniero de Diseno y Testing Electronico,RDT,"Plymouth, US","En RDT estamos creciendo, y buscamos personas con inquietud, talento y vision para construir, con nosotros, las soluciones del manana.

Hoy buscamos incorporar a un/a Ingeniero/a de Diseno y Desarrollo de

Producto Electronico que quiera formar parte de proyectos innovadores,

con impacto real y posibilidades de desarrollo profesional.

Que te proponemos?
Un entorno donde tus conocimientos tecnicos se convertiran en soluciones

tangibles, y donde podras asumir responsabilidades reales desde el

primer dia:

Disenaras y mejoraras productos electronicos:
Disenaras hardware (HW) electronico desde la concepcion hasta el prototipo.
Seleccionaras los mejores componentes segun las necesidades del sistema.
Capturaras esquemas y disenaras PCBs (idealmente en Altium).
Participaras en pruebas (EMC, seguridad, ambientales, etc.) y en el diagnostico de incidencias.
Generaras y compartiras conocimiento:
Documentaras los disenos con rigor (Gerbers, BOMs, procedimientos, etc.).
Gestionaras y actualizaras nuestra libreria de componentes.
Seras parte activa en la mejora del conocimiento tecnico compartido dentro del equipo.
Aportaras valor en cada interaccion:
Colaboraras con areas clave como calidad, operaciones, compras o proveedores.
Apoyaras al equipo de ingenieria de producto en la mejora continua del diseno y los procesos.
Impulsaras la innovacion:
Gestionaras pequenos proyectos o tareas dentro de proyectos mas grandes.
Participaras en iniciativas de I+D y aportaras ideas que transformen la forma en que hacemos ingenieria.
Haras que los procesos evolucionen contigo:
Seras parte del cambio y la mejora continua en herramientas, metodologias y procesos.

Que buscamos en ti?
Grado en Ingenieria Electronica (o similar).
Al menos 2 anos de experiencia en diseno y testeo de componentes electronicos.
Experiencia en circuitos de potencia, analogicos y digitales.
Manejo de herramientas de diseno de PCBs y esquemas (preferiblemente Altium).
Conocimiento practico de Xilinx y de certificaciones CE, EMC, climaticas, de seguridad, etc. sera un plus.
Capacidad para elaborar documentacion tecnica.
Ingles B2 o superior.
Y sobre todo, ganas de crecer, aprender y construir tecnologia util y retadora.

Por que RDT?
Porque aqui, las personas estan en el centro de la innovacion. Apostamos por

la formacion, el desarrollo profesional y el trabajo en equipo para que puedas llegar tan lejos como te propongas.
Trabajaras en proyectos con impacto real.
Aprenderas cada dia, rodeado de profesionales con pasion por lo que hacen.
Podras aportar tus ideas en un entorno agil, abierto y colaborativo.

Si estas buscando un lugar donde crecer, innovar y dejar huella, este es tu sitio.
Queremos conocerte!
Apuntate ahora y empieza tu proximo gran proyecto con nosotros.
Employment Type: FULL_TIME",[],Electrónica y Automatización,2025-07-09T00:00:00.000Z,"https://www.ziprecruiter.com/c/RDT/Job/Ingeniero-de-Diseno-y-Testing-Electronico/-in-Plymouth,MI?jid=85d3b154eb406188&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,[],2025-07-18
b79616d725853feda7bc04b5d9d09b64,rapidapi1,Ingeniero Electrónico para Sistemas Automotrices en West Palm Beach,beBeeElectronics,"West Palm Beach, US","OFFER.JSON_DESC

Salary

Aplicar en sus términos

Lugar de trabajo : West Palm Beach, FL

trad._.importantInformation

Únete a nuestro equipo como Ingeniero Electrónico para Sistemas Automotrices, un rol diseñado para aquellos que son apasionados por las tecnologías automotrices de vanguardia. Tendrás la oportunidad de diseñar y desarrollar sistemas electrónicos, como sistemas de cámaras y sistemas de radar/láser, que mejoran el rendimiento del vehículo. Con un enfoque en la colaboración, trabajarás con equipos interdisciplinarios y aplicarás tus habilidades analíticas para resolver problemas electrónicos complejos. Esta dinámica posición ofrece un salario competitivo, seguro de salud integral, un plan de ahorros para la jubilación y generosas vacaciones pagadas. ?

offer.json_desc_2",[],Electrónica y Automatización,2025-07-10T00:00:00.000Z,https://usamotorjobs.com/es/oferta-de-empleo/ingeniero-electronico-para-sistemas-automotrices/west-palm-beach/2e02b95bM3H?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
b7269e59e681f25bfd90d225b970a866,rapidapi1,Ingeniero eléctrico,Kelly Services,"Freeport, US","Kelly is Hiring for an Electrical Engineer with our client onsite at Freeport, TX 77541.

Title: Electrical Engineer

Location: Freeport, TX 77541

Contract length: 12 months

Onsite role

Job Purpose

The Electrical Engineer provides technical expertise to ensure that the facility achieve its Operational Reliability and Asset Capability objectives. Electrical engineer expertise is applied to address immediate and long-term issues in the facility, and to proactively identify and implement preventative programs to ensure plant integrity. The role will develop and implement both short term and long-term electrical reliability programs. This role requires the ability to balance and prioritize activities and workload to support both short term and long-term goals.

Principal Accountabilities
• Focal point for communications with the Utility Electricity power provider for site.
• Coordination with the Electricity provider for any shutdown or outages.
• Maintains reliability of the Electrical Distribution System by monitoring key parameters of the incoming power supply up to the end user.
• Is available for any emergencies that might occur to disruption of power to any of the equipment in the plant during normal hours, silent hours, weekends, and holidays.
• Trains and certifies operators to perform electrical switching and perform Lock Out / Tag Out.
• Supervises high voltage isolation and lock out / tag out.
• Analyzes disturbances in the electrical distribution system by downloading and analyzing disturbance charts from the protective relays.
• Maintains the latest set of relay settings for all electrical equipment in the plant.
• Is the Electrical Safety & Reliability Assessment leader for the facility.
• Is part of the early returnee team after an emergency like hurricanes, storms or freeze events.
• Provides reliability and maintainability input to Engineering capital and expense projects and other improvement activities. Evalúa y cuantifica el impacto de proyectos como reconfiguraciones de equipos, cambios de diseño, calidad de equipos, disciplina operativa, estrategias de PPM, etc. will have on ability to meet business needs.
• Provides expertise on components of the Electrical Distribution System at Facility by implementing preventive maintenance programs for transformers, UPS systems, batteries and battery chargers, transformers, High, Medium and Low Voltage switchgear and MCCs, etc.
• Develops and implements Facility and Equipment Maintenance Strategies for electrical equipment to improve Operational Reliability (OR) and Asset Capability (AC).
• Ensures maintenance repair procedures, repair techniques, and equipment specific training are documented and made available.
• Evaluates effectiveness of the PPM program by showing quantitatively the impact of failures and PPM.
• Uses long term cost of ownership and reliability principles to define spare parts strategy.
• Is knowledgeable in local and federal electrical standards and requirements and is a subject matter expert in these areas to help ensure that fully complies with these standards.","['Is knowledgeable in local and federal electrical standards and requirements and is a subject matter expert in these areas to help ensure that fully complies with these standards', 'The Electrical Engineer provides technical expertise to ensure that the facility achieve its Operational Reliability and Asset Capability objectives', 'Electrical engineer expertise is applied to address immediate and long-term issues in the facility, and to proactively identify and implement preventative programs to ensure plant integrity', 'The role will develop and implement both short term and long-term electrical reliability programs', 'This role requires the ability to balance and prioritize activities and workload to support both short term and long-term goals', 'Focal point for communications with the Utility Electricity power provider for site', 'Coordination with the Electricity provider for any shutdown or outages', 'Maintains reliability of the Electrical Distribution System by monitoring key parameters of the incoming power supply up to the end user', 'Is available for any emergencies that might occur to disruption of power to any of the equipment in the plant during normal hours, silent hours, weekends, and holidays', 'Trains and certifies operators to perform electrical switching and perform Lock Out / Tag Out', 'Supervises high voltage isolation and lock out / tag out', 'Analyzes disturbances in the electrical distribution system by downloading and analyzing disturbance charts from the protective relays', 'Maintains the latest set of relay settings for all electrical equipment in the plant', 'Is the Electrical Safety & Reliability Assessment leader for the facility', 'Is part of the early returnee team after an emergency like hurricanes, storms or freeze events', 'Provides reliability and maintainability input to Engineering capital and expense projects and other improvement activities', 'Evalúa y cuantifica el impacto de proyectos como reconfiguraciones de equipos, cambios de diseño, calidad de equipos, disciplina operativa, estrategias de PPM, etc. will have on ability to meet business needs', 'Provides expertise on components of the Electrical Distribution System at Facility by implementing preventive maintenance programs for transformers, UPS systems, batteries and battery chargers, transformers, High, Medium and Low Voltage switchgear and MCCs, etc', 'Develops and implements Facility and Equipment Maintenance Strategies for electrical equipment to improve Operational Reliability (OR) and Asset Capability (AC)', 'Ensures maintenance repair procedures, repair techniques, and equipment specific training are documented and made available', 'Evaluates effectiveness of the PPM program by showing quantitatively the impact of failures and PPM', 'Uses long term cost of ownership and reliability principles to define spare parts strategy']",Electrónica y Automatización,2025-07-17T19:00:00.000Z,https://www.mykelly.com/es/job/9885426-electrical-engineer-freeport-tx-united-states/?job-search=yes&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
