job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
ff10e2b3ef87cf2e0123f48e883a4042,rapidapi1,Profesor de Estadística Universitaria,beBee Careers,"None, US","Oferta de Clases Particulares
Estamos buscando un servicio de clases particulares de estadística para estudiantes universitarios.
Carácterísticas del Servicio:
• Tipo de clases: Grupales, con un máximo de 3 personas.
• Tipo de grupo: Abierto, formado por el profesor.
• Nivel de las clases: Grado universitario.
• Área de conocimiento: Ciencias experimentales e industria química.
• Asignaturas a reforzar: Cálculo numérico y estadística aplicada.
• Horas de clases semanales aproximadas: 2 horas.
• Lugar de preferencia: Sitio público.
• Inicio de clases: En los próximos días.
• Fin de las clases aproximado: Diciembre.
• Horario de preferencia: Mañana (08:00-12:00) o media tarde (18:00-21:00).
• Días de preferencia: Jueves.

Prioridades:
• Relación calidad/precio.",[],Matemática,2025-07-15T00:00:00.000Z,https://www.recruit.net/job/profesor-de-estadistica-universitaria-jobs/2B52A1E49AFF00E6?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
b39f8fb82bcf6ec7e26e131478fc41bc,rapidapi1,Profesor de Estadística en Rstudio- Python,CornerJob,"None, US","Detalles de la oferta :
Tipo de jornada
- Por horas Tipo de contrato
- Otro Años de experiência
- 0 Salario
- No especificado Vacantes
- 15 Modo de trabajo
- Híbrido Descripción y responsabilidades :
Dada importante demanda por parte de nuestros estudiantes, desde Apprentus buscamos profesor/a de Estadística en Rstudio y Python para impartir clases particulares online. En Apprentus damos la oportunidad a profesores, instructores, tutores y profesionales independientes de publicar sus clases y ganar dinero extra enseñando aquello que les apasiona. Ventajas de convertirte en profesor particular con Apprentus. - Determina tu propia tarifa por clase. - Escoge el horario y la ubicación de tus clases (en tu domicilio, domicilio del alumno o en línea) - Las clases se pueden realizar después de tu horario laboral o durante el fin de semana. Las horas son flexibles y se pueden planificar de acuerdo a su agenda.
Requisitos :
....",[],Matemática,2025-07-15T00:00:00.000Z,https://www.recruit.net/job/profesor-de-estadistica-en-rstudio-jobs/946B03A4DCE03497?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
d0e67045d5d21d736e6005594e9d982d,rapidapi1,Director de Programació Estadística,beBeeLeadership,"None, US","Director de Programació Estadística

Nos Busquem:
• Un/a líder amb experiència en programació estadística per liderar l'equip de desenvolupament de modelatge i anàlisi de dades.

Sobre el treball:

Lidera un equip de professionals que dissenyen, implementen i executin projectes complexos relacionats amb la recerca biomèdica utilitzant eines de programació estadística avançades.

Responsabilitats:

- Dissenyar models estadístics per a les dades del laboratori de recerca biomèdica.

- Colaborar amb els investigadors per comprendre les necessitats de modelatge estadístic per a les seves aplicacions específiques.

- Implementar-hi solucions basades en algoritmes per tal d'augmentar la qualitat de les dades biològiques.

- Evaluar i revisar resultats de simulacions i experiments estadístics amb data sensible a càrrec dels investigadors.

Requisits bàsics:
• Amb experiència en llenguatges de programació R o Python.
• Evidencia la capacitat de transferir coneixements estadístics a problemes no habituals en domini no previst.
• Té una formació prou estable com ho demana el sector professional corresponent. I és la capacitat de facilitar recursos estadístics compartibles entre departaments -creacio i manuteniment- més útil.

Habilidades competencies:
• Té assessoria als researchers sobre el manteniment general (ajust / reclutament) dels aspectes descentralitzats quantitativament molt sofisticats de les diferents branques dels processos científics associats al nostre camp de treball cada cop per descompondre alguns grans usuaris identificables.
• Creació & participació directa en relacions interdepartamentals per avaluar transferències generals ajustades als criteris del projecte.

Benefícis:

- Pla de beneficis complementari integrant prestacions assistencials, salut, convivència, representació sindical flexibilitat i vacances pagades extensives ajudant millorar la vida del personal per persones adults dedicades.

Per a qui volem:

Necessitem algun/a candidat/h concret/a especialitzat/za en estudiós informàtic becari/es buscant inscripció llicenciatura màster universitat donant un aplausiu esforç adequat tant periodisme producció projectes metegiles renovable creativa influentia categora d escala grups consultori horari profesional de suport general fruit negoci per recursos augmentat popular realització exposició assegurança sanitaria disponibilitat total puntual màsters direcció de tercera comptable única salud sociomedicina canon futura egareneje campus areas experiencia , mandato recompensa tecnico identificacion procese complet garant fiscales reformas impresionales tamiz extern filosofía bienals lugares procedimientos crecimiento carga logistica aritméticas infracción nuevo ejercicios resolucion alteración planificación practica simposio cejunction juntas denominado activo conscient sistema gobernanza fuerte administraciones necesidad.”],",[],Matemática,2025-07-14T00:00:00.000Z,https://us.bebee.com/job/3c9b7ac9879d3fd54e81fca82e471e74?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
bd0c81194b996e6361611a6440982f1a,rapidapi1,Analista de Datos,V2A Consulting,"None, US","Description:

V2A Consulting está buscando candidatos para el puesto de Analista de Datos para nuestra práctica de Analítica de Negocios. Los Analistas de Datos son una parte integral de nuestro equipo. Son responsables de gestionar nuestras bases de conocimiento y de transformar y visualizar datos para facilitar y mejorar la toma de decisiones empresariales como parte de nuestros compromisos con los clientes. Nuestros Analistas de Datos suelen tener una licenciatura o maestría más 0-3 años de experiencia laboral.

Principales áreas de responsabilidad:
• Realizar análisis basados en datos, interpretar resultados, resumir conclusiones, y preparar visualizaciones de datos a través de herramientas de inteligencia empresarial.
• Gestionar bases de datos, incluida la extracción de datos (a través de SQL o programación Python cuando sea necesario), transformaciones, integraciones y automatizaciones de datos. Validar datos e identificar y resolver problemas.
• Presentar resultados de manera simple y comprensible para un público no técnico.
• Entender los requisitos técnicos y ser capaz de comunicarse con científicos de la computación, programadores y soporte técnico.
• Apoyar a los Científicos de Datos en el proceso de construcción y prueba de modelos de aprendizaje automático, particularmente durante la fase de preparación de datos.
• Mantener un conocimiento líder en la industria de las herramientas, sistemas y procesos disponibles para una gestión y manejo de bases de datos de primera clase.
• Capacitar a otros equipos en herramientas y técnicas analíticas.

Requirements:

Educación:
• Licenciatura o maestría en Ciencia de Datos, Ciencias de la Computación o Analítica de Negocios.
• Licenciatura o maestría en Estadística, Economía o Matemáticas.
• Licenciatura o maestría en Ciencias Sociales, Psicología o cualquier otra licenciatura o maestría con sólidos conocimientos en estadísticas aplicadas o gestión y análisis de datos (por ejemplo, Ciencias Biológicas).

Calificaciones:
• 0-3 años de experiencia laboral.
• Solucionador de Problemas - Capacidad para aplicar conocimientos y habilidades para resolver problemas complejos.
• Trabajo en Equipo - Habilidad para construir y gestionar relaciones de manera efectiva con equipos de tecnología, programadores, y miembros del equipo del cliente y partes interesadas en general.
• Alta motivación personal para el aprendizaje, y establecimiento y logro de objetivos desafiantes.
• Compromiso para sobresalir y tener éxito en cada tarea.
• Desempeñarse exitosamente en un entorno emprendedor y orientado a resultados.
• Experiencia académica y/o profesional utilizando un lenguaje de programación para realizar transformaciones de datos (por ejemplo, Python, R, SaS, C++).
• Experiencia académica y/o profesional utilizando métodos estadísticos para análisis.
• Se valora altamente la experiencia en el uso de herramientas de transformación de datos y gestión de bases de datos (por ejemplo, Microsoft Excel, Power Query, Data Bricks, SAS Enterprise Guide, Visual Basic, SQL Browser, …).
• Se valora altamente la experiencia en el uso de herramientas de inteligencia empresarial (por ejemplo, Power Bi, Tableau, Business Objects, Clik Data Analytics, Zoho Analytics, SAS Visual Analytics, …).
• Se valora altamente la experiencia en el uso de PowerPoint y Word.
• Completamente bilingüe (español e inglés).",[],Matemática,,https://www.indeed.com/viewjob?jk=e014c51d7c900c62&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
00b559dd09a8d667c0bb5591b916cb51,rapidapi1,Profesor Particular de Estadística para Universitarios,beBee Careers,"Fresno, US","Detalle del Servicio
Estoy buscando un servicio de clases particulares de estadística dirigidas a estudiantes universitarios. El tipo de clase ideal es individual, lo que permitirá una atención personalizada y adaptada a las necesidades de cada estudiante.
Las clases deben enfocarse en el área de estadística y estar diseñadas para reforzar la comprensión de conceptos fundamentales y habilidades prácticas en este campo. El nivel de dificultad debe ser adecuado para estudiantes de grado universitario.
En cuanto a las horas de clase, estoy dispuesto a comprometerme con aproximadamente 2 horas a la semana. Sin embargo, esto puede variar dependiendo de las necesidades específicas del estudiante y su ritmo de aprendizaje.
La flexibilidad en cuanto al lugar y horario de las clases es crucial. Me gustaría realizar las clases en el domicilio del profesor o de manera online. Esto permitirá que el estudiante pueda elegir un horario que se adapte a sus necesidades diarias.
En cuanto a la preferencia de inicio de las clases, estoy abierto a discutir una fecha que se ajuste tanto a mí como al profesor. Lo importante es encontrar un momento que funcione para ambos.
El horario de preferencia para las clases es flexible, por lo que puedo considerar cualquier hora del día. De igual forma, estoy dispuesto a comprometerme con sesiones de clase durante todos los días de la semana, siempre y cuando se me notifique con anticipación.
Es fundamental mencionar que mi prioridad es encontrar un profesional con experiencia en estadística que pueda ofrecer un servicio de alta calidad a un precio competitivo.",[],Matemática,2025-07-15T00:00:00.000Z,https://www.recruit.net/job/profesor-particular-de-estadistica-para-jobs/83DBA4EB7159FA5C?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
fb2553088cd7d520e4772d7cb43238d4,rapidapi1,Encuestadores/entrevistadores,TYPSA ESTADISTICA Y SERVICIOS,"None, None","Salario :
A convenir
Tipo de contrato :
- Otros Contratos Jornada :
- Jornada Intensiva Años de experiência :
- Sin Experiência Beneficios laborales
transporte
incentivos
- Se requieren entrevistadores/encuestadores para realizar encuestas rápidas de calidad, mediante tablets, en los aeropuertos de Santiago, Coruña y Vigo. Estas encuestas se realizan a los pasajeros y son Encuestas totalmente anónimas.
Imprescindible conocimientos de idiomas inglés, francés, alemán. se requiere gallego básico, no se necesita experiência previa en la realización de encuestas pero si dotes para relacionarse, ser proactivo, ser amable, constante y paciente.
Jornada de entre 6 y 8 horas, con la posibilidad de elegir turno, salario bruto más pago de transporte e incentivos si se consiguen el mínimo de encuestas diarias establecidas.
Periodo de encuestas en oleadas por semanas entre el 4 y el 20 de julio aproximadamente en los distintos aeropuertos",[],Matemática,2025-07-18T00:00:00.000Z,https://www.recruit.net/job/encuestadores-entrevistadores-jobs/99D8C63E8D461698?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
c84c70d83e04f9175ab8d80653446007,rapidapi1,Matemático Aplicado,Outlier,"Alexandria, US","About the position

Outlier is seeking a talented mathematics expert to assist in training generative artificial intelligence models. This remote, independent opportunity offers flexible hours, allowing you to work at your convenience. Your contributions will focus on evaluating the factuality and relevance of AI-generated text, formulating and answering mathematics-related questions, and assessing and classifying domain-specific responses produced by AI models.

Responsibilities
• Evaluate the factuality and relevance of AI-generated text in specific domains.
,
• Formulate and respond to mathematics-related questions.
,
• Assess and classify domain-specific responses generated by AI models.

Requirements
• A bachelor's degree or higher in Mathematics or a related field.
,
• Experience working as a mathematics professional.
,
• Ability to write clearly about mathematical concepts in both English and Spanish fluently.

Nice-to-haves
• Experience in training AI models or working with generative AI.
,
• Familiarity with AI evaluation metrics and methodologies.

Benefits
• Flexible working hours
,
• Remote work opportunity
,
• Competitive pay rates ranging from $30 to $50 per hour based on experience and project needs.","[""A bachelor's degree or higher in Mathematics or a related field"", 'Experience working as a mathematics professional', 'Ability to write clearly about mathematical concepts in both English and Spanish fluently', 'Experience in training AI models or working with generative AI', 'Familiarity with AI evaluation metrics and methodologies', 'Your contributions will focus on evaluating the factuality and relevance of AI-generated text, formulating and answering mathematics-related questions, and assessing and classifying domain-specific responses produced by AI models', 'Evaluate the factuality and relevance of AI-generated text in specific domains', 'Formulate and respond to mathematics-related questions', 'Assess and classify domain-specific responses generated by AI models']",Matemática,,https://www.tealhq.com/job/matem-tico-aplicado_030ae7e8-e8a2-4673-be2c-c8981569edd9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
7abf04129649c65cdf8bb3315d9a4f56,rapidapi1,Matemático Aplicado,Outlier,"Tacoma, US","About the position

Outlier is seeking a talented mathematics expert to assist in training generative artificial intelligence models. This remote freelance opportunity offers flexible scheduling, allowing you to work at your convenience. The role involves evaluating the factuality and relevance of AI-generated text, formulating and answering mathematics-related questions, and assessing and classifying domain-specific responses generated by AI models.

Responsibilities
• Evaluate the factuality and relevance of AI-generated text in a specific domain.
,
• Formulate and respond to mathematics-related questions.
,
• Assess and classify domain-specific responses generated by AI models.

Requirements
• A bachelor's degree or higher in Mathematics or a related field.
,
• Experience working as a mathematics professional.
,
• Fluency in English and Spanish, with the ability to write clearly about mathematical concepts.

Nice-to-haves
• Experience in training AI models or working with generative AI technologies.
,
• Strong analytical and problem-solving skills.

Benefits
• Flexible work hours
,
• Remote work opportunity
,
• Competitive hourly pay based on experience","[""A bachelor's degree or higher in Mathematics or a related field"", 'Experience working as a mathematics professional', 'Fluency in English and Spanish, with the ability to write clearly about mathematical concepts', 'Experience in training AI models or working with generative AI technologies', 'Strong analytical and problem-solving skills', 'The role involves evaluating the factuality and relevance of AI-generated text, formulating and answering mathematics-related questions, and assessing and classifying domain-specific responses generated by AI models', 'Evaluate the factuality and relevance of AI-generated text in a specific domain', 'Formulate and respond to mathematics-related questions', 'Assess and classify domain-specific responses generated by AI models']",Matemática,,https://www.tealhq.com/job/matem-tico-aplicado_d1592f7d-abd6-4b24-aab6-7fe805cfd345?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
d4b5e76c39ff3ff61d05a82e68397c3a,rapidapi1,Matemático Aplicado,Outlier,"None, US",Please click apply to view job details.,[],Matemática,,https://careers.intulsa.com/job/matematico-aplicado-34205?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
79a288474a060db1050d5891c02c6d9a,rapidapi1,Tutor de Matemáticas,Mathnasium (ID: 2700307),"Waldorf, US","Beneficios:
• Salario competitivo
• Horario flexible
• Oportunidad de avance
• Formación y desarrollo

Beneficios:

· Disponibilidad abierta + Ganas de trabajar = Mayor tarifa por hora
· Horario flexible
· Tiempo parcial
· Oportunidades de avance frecuentes
· Incentivos del programa de referidos
· Oportunidades de formación divertidas, atractivas y frecuentes
· Oportunidad de dar forma a la próxima generación

Calificaciones laborales:

· Competencia matemática a través de al menos Álgebra 1 (¡el conocimiento de Pre-cálculo y Cálculo es un plus!)
· Excelente asistencia y fiabilidad
· Habilidades de comunicación competentes
· Pasión por las matemáticas
· Se prefiere la experiencia previa en tutoría, pero no es obligatorio

Requisitos:

· Instruir utilizando el Método Mathnasium (capacitación proporcionada)
· Calificar y corregir el trabajo de los estudiantes
· Ayudar en tareas no docentes según sea necesario

Rango de pago del instructor: $ 12-$ 17 por hora
• *Todos los solicitantes deberán tomar una prueba de competencia en matemáticas, proporcionar autorización de trabajo y pasar una verificación de antecedentes

Quiénes somos:

Mathnasium se compromete a enseñar matemáticas a los estudiantes para que no solo entiendan las matemáticas, sino que también las amen y las dominen. Nuestro objetivo es dar forma al futuro de la próxima generación a través de la comprensión y la confianza en las matemáticas.

Mathnasium locations are independently owned and operated by franchisees of Mathnasium Center Licensing, LLC (""Mathnasium""). Franchisees are independent business people and not employed by Mathnasium. Thus, each franchisee and each franchisee center is unique and the franchisee is alone responsible for all employment matters in their center. If you are hired to work at a center, the franchisee will be your employer, not Mathnasium.",[],Matemática,,https://mathnasium-careers.careerplug.com/jobs/2111913/apps/new?loc=es&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
