job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
0ff728d1f7a754d73daa377c60a2a784,rapidapi1,Tecnico/a Sistemas de Informacion (TIC),Veolia Environnement SA,"Avalon, US","Descripcion de la empresa

Con mas de 150 anos de trayectoria, en Agbar seguimos anticipandonos y adaptandonos para dar respuesta a las necesidades de nuestro entorno, con el objetivo de mejorar la calidad de vida de las personas. Con la fuerza de las alianzas, impulsamos soluciones innovadoras para la gestion sostenible del agua y el medio ambiente , en linea con los Objetivos de Desarrollo Sostenible de Naciones Unidas.

Descripcion del empleo

Que estamos buscando?

Actualmente en nuestra filial Aigues de Sabadell (CASSA) estamos buscando un/a Tecnico/a de Sistemas de Informacion para integrarse al Departamento de Transformacion Digital.

Cuales seran tus funciones?
• Gestion de servidores, almacenamiento y BBDD.
• Configuracion y mantenimiento de redes.
• Seguridad perimetral y gestion de firewalls.
• Programacion en lenguajes como Phyton, Java, JavaScript, Desarrollo web y mobil.
• BBDD SQL y no SQL
• Administracion de Servidores Windows y Linux.
• Manejo de Plataformas en la nube.
• Gestion de incidencias con herramientas ITSM.
• Mantenimiento de equipos y actualizacion de Software.
• Maquetacion y preparacion de equipos.
• Control de identidad y acceso.
• Autentificacion multifactor.
• Supervision de sistemas.

Requisitos

Que puedes aportar?
• Grado Universitario en Informatica o CFGS de Informatica.
• 1 ano de experiencia en funciones similares.
• Conocimientos en PYTON, JavaScript, BBDD SQL i No SQL

Informacion adicional

Que podemos ofrecerte?
• Ser parte de una empresa multinacional lider en el sector.
• Flexibilidad horaria.
• Jornada intensiva mas una tarde a la semana.
• 2 dias de teletrabajo a la semana.
• Oportunidades de desarrollo y formacion.

Lo que nos une a los empleados de Agbar es trabajar con pasion y excelencia para contribuir en nuestro dia a dia a proteger el medio ambiente y garantizar el acceso al agua, construyendo, entre todos, un presente verde e inclusivo. Si quieres formar parte de este equipo y acompanarnos en este gran reto, no dudes en apuntarte a la oferta!

Como empresa inclusiva, Veolia esta comprometida con la diversidad y valora todas las solicitudes sin discriminacion.",[],Sistemas de Información,2025-07-16T00:00:00.000Z,"https://www.ziprecruiter.com/c/Veolia-Environnement-SA/Job/Tecnico-a-Sistemas-de-Informacion-(TIC)/-in-Avalon,NJ?jid=10b820706a48b9f3&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,[],2025-07-18
5626246341877efcb6114915aed61ccd,rapidapi1,Freelance – Desarrollador / a Frontend Angular + Sistemas de Información Geográfica (SIG),Recodme,"Granada, US","En ReCodme aceleramos el desarrollo tecnológico de nuestros clientes y colaboradores a través de soluciones especializadas, aportando valor en su continuidad y crecimiento.

Creemos en la cercanía con nuestras personas y en el valor añadido que aportan a nuestro equipo y proyectos. ¡Un ReCoder es un aficionado de la tecnología, es la clave de nuestro éxito, la clave de nuestra Fuerza!

En Recodme buscamos incorporar 2 desarrolladores / as frontend freelance para un proyecto tecnológico con foco en visualización geoespacial, con una duración inicial de 3 meses y posibilidad de continuidad.
• Dominio sólido de Angular (versiones recientes).
• Experiencia en desarrollo frontend con componentes de mapas e integración de librerías geoespaciales.
• Conocimientos en SIG (Sistemas de Información Geográfica) : experiencia trabajando con capas, coordenadas, geolocalización, tiles, etc.
• Experiencia con librerías de visualización.
• Buenas prácticas en desarrollo frontend (componentes, testing básico, responsive, Git).

Muy valorable :
• Conocimientos en ThingsBoard , especialmente para visualización sobre esta plataforma IoT (no excluyente).

Condiciones del proyecto :
• Dedicación : Preferentemente full-time. Se valoran perfiles part-time con buena disponibilidad.
• Modalidad : 100% remoto.

Estás listo para esta fuerza? Presenta tu candidatura.

En Recodme defendemos la igualdad y valoramos la diversidad. Creamos un ambiente seguro, diverso y donde las oportunidades son iguales para todos los colaboradores.

No discriminamos por edad, etnia, orientación sexual, género, discapacidad o cualquier otro factor que no sea el mérito.

Todas las candidaturas con las habilidades necesarias para el puesto son bienvenidas!
Crear una alerta de empleo para esta búsqueda #J-18808-Ljbffr",[],Sistemas de Información,2025-07-16T00:00:00.000Z,https://www.recruit.net/job/freelance-desarrollador-frontend-angular-sistemas-jobs/8095365E1ADCFD9C?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
52a8f24a7b8901a43db315640b9f12ee,rapidapi1,Administrador de Sistemas de Información,beBeeDesarrollador,"None, US","Desarrollador de Soluciones de Base de Datos

Somos una empresa líder en servicios de TI en Centroamérica y el Caribe, experta en tecnologías de información. Nuestro objetivo es brindar soluciones innovadoras a nuestros clientes, aprovechando las últimas tendencias tecnológicas.

Nuestra misión es construir un futuro digital para nuestros clientes, ofreciendo la mejor experiencia posible a través de nuestras soluciones.

Si estás interesado en ser parte de nuestra equipo y desarrollar tus habilidades en base de datos Oracle, te invitamos a considerar esta oportunidad.

Requisitos:
• Bachillerato en ingeniería en sistemas o informática, electrónica, computación.
• Cursos en el manejo y administración de sistemas operativos Microsoft Windows Server, sistemas operativos Unix/linux, administración de bases de datos Oracle 11g o superior, administración de bases de datos Oracle 11g o superior en RAC.
• 3 años de experiencia en desarrollo de soluciones de base de datos.

Beneficios:
• Salario competitivo y beneficios de ley.
• Seguro médico y seguro de vida.

Otros:

Ofrecemos academias en nuestra Universidad Comportiva U-GBM, para que puedas ampliar tus conocimientos, actualizarte y certificarte en diversas tecnologías.",[],Sistemas de Información,2025-07-15T00:00:00.000Z,https://us.bebee.com/job/f0801915665bd54d52db79ff31d812f6?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
6ea0a3278d71398de3f8996936a3aab7,rapidapi1,Ingeniero de Seguridad de Sistemas de Información,"Omega Enterprise Solutions, LLC","Annapolis Junction, US","Beneficios:
• 401(k)
• Igualación de 401(k)
• Salario competitivo
• Seguro dental
• Seguro de enfermedad
• Tiempo libre remunerado
• Permiso por paternidad
• Participación en las utilidades
• Formación y desarrollo
• Seguro de visión

Ingeniero de Seguridad de Sistemas de Información (ISSE)

Omega Enterprise Solutions es una pequeña empresa propiedad de veteranos discapacitados en servicio (SDVOSB) con sede en Maryland con un enfoque especial en la misión del Departamento de Defensa de los EE. UU. (DoD) y la Comunidad de Inteligencia (IC) y las tecnologías habilitadoras. Estamos construyendo un equipo con valores compartidos y pasión por nuestra Visión y Misión. Además de brindar oportunidades de crecimiento profesional que son innovadoras y desafiantes y de misión crítica para nuestros clientes, enfatizamos un enfoque diario centrado en la vida. Estamos comprometidos con el aprendizaje permanente y brindamos un método de gestión de coaching de vida para empoderarlo e inspirarlo a convertirse en la mejor versión de sí mismo en la búsqueda de una vida feliz, saludable y satisfactoria.

Descripción

El Ingeniero de Seguridad de Sistemas de Información (ISSE) proporciona servicios de ingeniería de seguridad y orientación para proyectos, redes y sistemas de tecnología de la información (TI). El ISSE contribuye al diseño, desarrollo, implementación y/o integración de arquitecturas, sistemas o componentes de sistemas de Aseguramiento de la Información (IA). El ISSE emplea la política de IA y las mejores prácticas para la protección de datos y la configuración segura del sistema. El ISSE apoya la implementación de políticas y soluciones de seguridad para lograr la confidencialidad, integridad y disponibilidad. El ISSE apoya proyectos para mejorar la seguridad y lograr la autorización de seguridad a través de procesos aplicables, como el proceso del Marco de Gestión de Riesgos (RMF) del NIST.

Responsabilidades

Dependiendo de la función, el nivel de habilidad y la complejidad del sistema del ISSE, el ISSE puede realizar todas o algunas de estas funciones. En los niveles más bajos, el ISSE puede trabajar bajo supervisión como miembro de un equipo utilizando procesos establecidos para desarrollar, probar o mejorar la seguridad del sistema. En los niveles más altos, el ISSE puede trabajar de forma independiente o en un papel técnico dirigido por un contratista, desarrollando la arquitectura y los requisitos de seguridad del sistema, definiendo procesos y metodologías, y resolviendo cuestiones técnicas complejas o problemas de investigación con la supervisión del gobierno.

Calificaciones/Certificaciones:

Este puesto requiere una autorización de seguridad activa adecuada y un polígrafo.

Se requiere el cumplimiento de DoD 8570.01-M con el Nivel II del Técnico de Aseguramiento de la Información (IAT) o el Arquitecto e Ingeniero de Sistemas de Aseguramiento de la Información (IASAE) Nivel 1.

Una licenciatura en Ciencias de la Computación, Aseguramiento de la Información, Ingeniería de Sistemas de Seguridad de la Información, o una disciplina relacionada de un colegio o universidad acreditada y una certificación técnica como Security + , o un título de asociado en Ciencias de la Computación, Aseguramiento de la Información, Ingeniería de Sistemas de Seguridad de la Información, o una disciplina relacionada de un colegio o universidad acreditada y una certificación técnica como Security + más dos (2) años de experiencia general en TI, o Cuatro (4) años de experiencia general en TI, al menos uno (1) de los cuales debe ser experiencia en seguridad de sistemas de información.

Omega Enterprise Solutions es un empleador que ofrece igualdad de oportunidades. Todos los solicitantes de empleo calificados son considerados para todos los puestos sin distinción de raza, color, religión, origen nacional, sexo, orientación sexual, identidad de género, edad, discapacidad, estado de veterano o cualquier otra clase protegida.",[],Sistemas de Información,,https://omega-enterprise-solutions-llc.careerplug.com/jobs/2588572?loc=es-US&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
a93fe812d59aacc14ac00717f721a35d,rapidapi1,Analista de Datos y Analítica,"LUMA Energy ServCo, LLC","None, US","Resumen del Puesto El analista de datos y análisis es parte clave del equipo de Operaciones del Sistema. Es responsable de proporcionar experiencia analítica en todas las Operaciones del Sistema. El analista es responsable de desarrollar los procesos, análisis e informes que permiten la toma de decisiones basada en datos dentro de Operaciones del Sistema. Esta función trabaja en estrecha colaboración con los puestos de liderazgo dentro del departamento para ayudar a supervisar e impulsar mejoras en las métricas del departamento de Operaciones. El analista proporcionará apoyo analítico experto a través del trabajo de base de datos, la visualización de datos y el análisis estadístico. La analítica impulsará iniciativas dentro del departamento de Operaciones del Sistema dirigidas a: (1) Garantizar el máximo nivel de mejora de los procesos, y (2) Garantizar la consecución de los objetivos de las principales métricas de rendimiento, y (3) Garantizar que se satisfagan las necesidades de información organizativa y externa. Descripción del Puesto Recoger y organizar los datos procedentes de diversos sistemas y fuentes. Analizar, evaluar y manipular los datos para elaborar conclusiones útiles. Supervisar, medir y analizar los indicadores clave de rendimiento (KPI), las métricas y otros datos. Desarrollar informes, presentaciones, casos de negocio, para apoyar la toma de decisiones basada en datos. Trabajar estrechamente con las partes interesadas dentro del departamento para comprender sus necesidades de análisis de datos. Desarrollar o apoyar la implantación de sistemas y herramientas para agilizar el proceso de recogida de datos y facilitar la toma de decisiones. Analizar los procesos existentes para impulsar iniciativas de mejora continua basadas en el análisis y la información de los datos disponibles. Trabajar estrechamente con los grupos de contabilidad, proyectos, regulación y otros grupos dentro de la organización para apoyar los casos de negocio, el análisis de la planificación estratégica y la mejora continua del negocio y la presentación de informes. Seguir todas las políticas y procedimientos de LUMA. Realizar otras tareas según se le asigne. Realizar los trabajos de restauración de tormentas importantes y los simulacros asociados que se le asignen. Descripción Adicional Educación Requerida: Bachillerato en Administración de Empresas, Sistemas de Información, Estadística, Ingeniería industrial o área relacionada. Dominio del inglés y del español con capacidad para leer, escribir y hablar. Preferido: Maestría en un campo o área relacionada. Experiencia Requerida: Mínimo 5 años de experiencia en un puesto similar. Preferido: En empresa de servicios públicos o industria relacionada. Licencias / Certificaciones Sólidos conocimientos con bases de datos, herramientas de análisis de datos y software de visualización de datos (por ejemplo, PowerBI) Requisitos de viaje Viajar: Sí Porcentaje de tiempo: 10%. Se requiere pernoctar: No Demandas físicas Posición estacionaria: Constantemente Empujar/tirar/alcanzar: Rara vez Trepar: N/A - Arrodillarse: Frecuentemente Agarrar: Frecuentemente - Doblar: Rara vez Levantar/ Cargar: 5-10 LBS Visión: 20/20 corregida Audición: Recibir información detallada si se le habla Condiciones de trabajo Mojado o húmedo: N/A Trabajar cerca o sobre piezas mecánicas en movimiento: N/A Trabajar cerca o sobre maquinaria pesada: N/A Trabajar en lugares altos: N/A Expuesto a humos o partículas en el aire: N/A Expuesto a productos químicos tóxicos o cáusticos: N/A Frecuencia de trabajo en condiciones climáticas exteriores: Rara vez Trabajo con electricidad: N/A - Trabajar con explosivos: N/A Trabajar en o cerca de una fuente de radiación: N/A Condiciones de ruido fuerte (más de 87 db): N/A Otros factores ambientales, incluidas las condiciones meteorológicas: N/A - Otros: Traducción realizada con la versión gratuita del traductor Estamos comprometidos con la diversidad e inclusión por lo que ofrecemos igualdad de oportunidad de empleo a nuestros empleados y candidatos, y procuramos un ambiente de trabajo libre de discriminación y hostigamiento. Basamos nuestras decisiones de empleo solamente por cualificaciones, mérito y las necesidades del negocio del momento. LUMA fue creada especialmente para Puerto Rico. Combinamos la experiencia y recursos de nuestras empresas matrices, ATCO y Quanta Services para servirte. Nuestras empresas matrices son compañías líderes en servicios y soluciones en sectores de energía eléctrica en Norteamérica y han llevado su acción a más de 100 países del mundo. Cuentan con una fuerza laboral combinada de aproximadamente 50 mil empleados, al igual que equipos y recursos que estarán disponibles para Puerto Rico. En conjunto, este grupo opera más de 52,000 millas de líneas de transmisión y distribución eléctrica, las cuales cubren 165,000 millas cuadradas de territorio, y ha supervisado más de $ 51 mil millones en programas de recuperación de desastres. Además, han apoyado sobre 300 jurisdicciones estatales, locales y territoriales, con una amplia gama de servicios de manejo de emergencias. En LUMA la gente es primero y la seguridad es el fundamento de nuestra labor.",[],Sistemas de Información,2025-06-26T00:00:00.000Z,https://lumaenergy.wd1.myworkdayjobs.com/es/lumacareers/job/Data---Analytics-Analyst_JR104016?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
f2e8b6602f5bb4480435e57dc8f2f8c8,rapidapi1,"Técnico en Sistemas de Información - Guaynabo, PR","Caribbean Temporary Services, LLC.","None, US","Caribbean Temporary Services is looking for a technically skilled individual to join their team in Guaynabo. The role involves installing, repairing, and maintaining computer systems along with some administrative duties. Candidates should have knowledge of various operating systems and networking fundamentals. The position is full-time, with shifts starting from 7am to 10am, Monday to Friday.","['Candidates should have knowledge of various operating systems and networking fundamentals', 'The role involves installing, repairing, and maintaining computer systems along with some administrative duties', 'The position is full-time, with shifts starting from 7am to 10am, Monday to Friday']",Sistemas de Información,,https://echotalent.net/jobs/7957eb6f456e91ea/t%C3%A9cnico-en-sistemas-de-informaci%C3%B3n-guaynabo-pr?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
17c11382d25709f9f941722a9f203b64,rapidapi1,Administrador de Sistema de información Geográfica​/GIS,KPG Inc,"San Juan, US","Position: Administrador de Sistema de información Geográfica (GIS).

Tipo de puesto:Contrato a término (1,500 horas con posibilidad de extensión)

Modalidad:Presencial (con disponibilidad según necesidad de la agencia)

Descripción del Puesto:

Estamos en búsqueda de un/a Administrador/a de Sistema de Información Geográfica (GIS) altamente calificado/a para brindar soporte técnico especializado. El candidato ideal será responsable de la programación, configuración y gestión de sistemas de información geográfica y bases de datos espaciales en iniciativas de tecnología interagencial.
• Programar y coordinar esfuerzos tecnológicos entre agencias del gobierno de Puerto Rico.
• Configurar y administrar sistemas de información geográfica (GIS) y sus bases de datos.
• Diseñar y mantener infraestructura de datos espaciales, aplicando estándares técnicos e impulsando la interoperabilidad de sistemas.
• Evaluar y optimizar bases de datos geográficos considerando su esquema, estructura, calidad, precisión, acceso y capacidad de consulta.
• Analizar y mantener portales geográficos (UI/UX), seguridad de datos, rendimiento del sistema, visualización e integración.
• Desarrollar protocolos de mantenimiento, recuperación y seguridad para datos espaciales.
• Estar disponible según las necesidades de la agencia para diferentes proyectos en curso.
• Bachillerato en Geografía, Sistemas de Información, Ingeniería, Ciencias de Cómputos o campo relacionado.
• Experiencia comprobada en administración y configuración de plataformas GIS.
• Conocimiento avanzado en bases de datos espaciales, interoperabilidad de sistemas y estándares técnicos de datos.
• Experiencia previa con agencias gubernamentales es altamente valorada.
• Dominio de herramientas y lenguajes como ESRi, ArcGIS, QGIS, SQL, Python, entre otros.
• Excelentes habilidades de comunicación, análisis y documentación técnica.

Beneficios:
• Contrato competitivo con pagos mensuales.
• Oportunidad de impactar directamente en iniciativas gubernamentales de alta relevancia.
• Ambiente profesional y colaborativo.

Tipo de puesto:
Por contrato

Sueldo: A partir de $20.00 la hora

Lugar de trabajo:
Empleo presencial
#J-18808-Ljbffr",[],Sistemas de Información,2025-07-13T00:00:00.000Z,https://www.learn4good.com/jobs/san-juan/texas/software_development/4373762819/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
5509a8e7bc0d9d829abe3e63d0751e9d,rapidapi1,Trabajador General De La Granja / Riego,"Zack Ranch, LLC","Bishop, US","Se requerirá que el trabajador realice una variedad de tareas relacionadas con la producción de alfalfa, pasto de alfalfa, heno de tres y cuatro vías, pasto de huerto y otros cultivos de heno forrajero. Sin embargo, la mayoría de las actividades de trabajo durante el período general del contrato estarán relacionadas con el trabajo agrícola general / riego / producción de cultivos.
El trabajo agrícola general incluirá las siguientes responsabilidades: mantener, conducir, conectar y operar implementos agrícolas / tractores / equipos para labrar el suelo, plantar, cultivar, fertilizar y cosechar cultivos, incluidas empacadoras, vagones de pacas, swathers, montacargas, retroexcavadoras y niveladoras de carreteras; realizar pequeños ajustes mecánicos y reparaciones en la maquinaria agrícola; eliminar el crecimiento indeseable y excesivo de los cultivos o terrenos agrícolas; eliminar las rocas del campo; mantenimiento/reparación de cercas; pintar/reparar/mantener estructuras agrícolas; realizar la limpieza general de las áreas agrícolas; operar vehículos, motocicletas o vehículos todo terreno en el curso de la realización de tareas; a los trabajadores que posean la licencia adecuada se les puede pedir que transporten a otros trabajadores agrícolas.
Los deberes de riego incluirán lo siguiente:
Líneas de ruedas: arranque los motores de gasolina y opere los controles para mover las líneas a través de los campos a intervalos especificados.
Pivotes: sistema de operación, mantenimiento y reparación.
Otras tareas de riego: lubricar, ajustar, reparar y reemplazar piezas como cabezales de rociadores y cadenas de transmisión utilizando herramientas manuales; observar los rociadores giratorios y ajustarlos para garantizar un funcionamiento adecuado y una distribución uniforme del agua; desmontar, dar servicio y almacenar tuberías/líneas principales/líneas de ruedas después de la temporada de riego; reparar sistemas de riego.",[],Sistemas de Información,,https://seasonaljobs.dol.gov/es/jobs/H-300-24302-436167?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
d8283dced9b1e603b237ee0ef3b17129,rapidapi1,ADMINISTRADOR(A) DE SISTEMAS DE LEALTAD,CLARO - PR,"None, US","RESUMEN DE LAS FUNCIONES:

Coordina y administra las actividades relacionadas con la implantación y modificación de las Plataformas, programas e iniciativas relacionadas con lealtad de clientes. Supervisa el rendimiento y garantiza la disponibilidad y fiabilidad del sistema. Vigila la utilización de los recursos del sistema, las tendencias y la planificación de la capacidad del sistema de retención y lealtad. Trabaja dentro de las políticas establecidas de configuración y gestión de cambios para garantizar el buen funcionamiento del sistema de retención y lealtad. Colabora con equipos multifuncionales (soporte técnico, IT, contratista externo) para comprender las necesidades, desafíos y requisitos específicos del sistema dirigido a mejoras y garantizar el buen funcionamiento del sistema de retención y lealtad. Mantiene la información del sistema de retención y lealtad actualizada. Modifica secciones y categorías del sistema de retención y lealtad de acuerdo con los accesos otorgados. Gestiona los proyectos designados desde la planificación hasta la ejecución, asegurando que se completen a tiempo, dentro del presupuesto y con los estándares de calidad deseados. Analiza los resultados obtenidos, propone y desarrolla nuevas ideas y estrategias que ayuden a incrementar la participación de los clientes en los Programas de Lealtad de Clientes. Documenta los planes estratégicos, prepara ¨Business Case¨ y desarrolla planes tácticos que transformen y actualicen las plataformas del área de Retención y Lealtad de Clientes, basados en su funcionalidad y beneficios a obtenerse. Recomienda e implanta prácticas y procedimientos relacionados con la operación de los sistemas bajo su responsabilidad. Asiste a reuniones y prepara informes especiales requeridas por su Gerente y alta gerencia.

REQUISITOS MÍNIMOS:

Bachillerato en Ciencias de Computadora, Tecnología de Información, o su equivalente evaluado en educación y experiencia en las funciones indicadas en el renglón de experiencia.

EXPERIENCIA:

Tres (3) años de experiencia, preferiblemente en la industria de las telecomunicaciones, en cualesquiera o una combinación de las siguientes funciones:
• Desarrollo de estrategias y programas de retención y lealtad de clientes.
• Análisis, diseño y administración de páginas “web” en el internet.
• Análisis, diseño, coordinación e implantación de aplicaciones de sistemas computadorizados.
• Administración de centros de atención a clientes y/o puntos de ventas.

SOMOS UN PATRONO CON IGUALDAD DE OPORTUNIDADES EN EL EMPLEO Y TOMAMOS ACCIÓN AFIRMATIVA PARA RECLUTAR A MUJERES, VETERANOS PROTEGIDOS Y PERSONAS CON IMPEDIMENTOS

Tipo de puesto: Tiempo completo

Sueldo: A partir de $35,000.00 al año

Pregunta(s) de postulación:
• BACHILLERATO EN CIENCIAS DE COMPUTADORA Y/O TÉCNICO DE INFORMACIÓN

Escolaridad:
• Bachelor's (Obligatorio)

Lugar de trabajo: Empleo presencial",[],Sistemas de Información,2025-06-24T00:00:00.000Z,"https://www.glassdoor.com/job-listing/administrador-a-de-sistemas-de-lealtad-claro-pr-JV_IC1141577_KO0,38_KE39,47.htm?jl=1009685303524&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,[],2025-07-18
485ea36875bfbd0bd4ae2ac1e7417c36,rapidapi1,Sr. Quality Engineer,ABB,"Cary, US","En ABB, ayudamos a las industrias a ser más eficientes y limpias. Aquí, el progreso es una expectativa - para usted, su equipo y el mundo. Como líder del mercado mundial, le daremos lo que necesita para lograrlo. No siempre será fácil, crecer requiere agallas. Pero en ABB, nunca correrás solo. Run what runs the world.

Este puesto reporta a:
Director - Software Development

In this role you will be responsible for establishing and enforcing rigorous quality standards for our SaaS product, in the Electrification Service (ELSE) division in the United States, ensuring robust performance and reliability for our customers.

You will improve automated testing coverage using deployment pipelines and modern front-end testing frameworks, establish robust quality metrics and reporting, and drive high-quality production deployments to support scalable and sustainable solutions.

Note: This role will be a hybrid style role. 90% remote, 10% in person.

Target locations: Cleveland OH; Raleigh NC

Your Responsibilities:
• Establish and enforce rigorous quality standards for ABB’s cloud-native SaaS platform, to ensure reliable and high-performing customer experiences.
• Improve automated testing coverage by designing and implementing comprehensive test suites using Azure Pipelines and Cypress for automated end-to-end testing.
• Develop and maintain quality metrics and reporting systems to provide actionable insights into maintaining our high-quality standards.
• Enhance production deployment quality through robust testing strategies, continuous integration practices, and deployment pipeline optimization.
• Collaborate with development team to integrate quality assurance processes into the software development lifecycle (SDLC).
• Identify, analyze, and resolve quality issues by conducting root cause analysis and implementing preventive measures to minimize defects.
• Stay current with industry trends in quality assurance and testing, proactively suggesting improvements to development team practices to enhance efficiency and reliability.

Your Background:
• 5+ years of experience in quality assurance and software testing, working as a Quality Engineer, and recent experience with cloud-native SaaS products and Azure-based technologies
• Sound knowledge of automated testing tools (e.g., Cypress) and Agile/DevOps methodologies and best practices
• Knowledge of Azure Pipelines, CI/CD processes, and quality management platforms (e.g., Azure DevOps).
• Strong problem-solving skills, attention to detail, and effective collaboration with cross-functional teams.
• A bachelor’s degree in computer science, engineering, or a related field.
• Fluency in English, with excellent written and verbal communication skills.

More About Us:

We value people from different backgrounds. Apply today for your next career step within ABB and visit www.abb.com to learn about the impact of our solutions across the globe. #MyABBStory

We look forward to receiving your application. If you want to discover more about ABB, take another look at our website www.abb.com.

ABB is an Equal Employment Opportunity and Affirmative Action employer for protected Veterans and Individuals with Disabilities at ABB.

All qualified applicants will receive consideration for employment without regard to their- sex (gender identity, gender expression, sexual orientation), marital status, citizenship, age, race and ethnicity, inclusive of traits historically associated with race or ethnicity, including but not limited to hair texture and protective hairstyles, color, religious creed, national origin, pregnancy, physical or mental disability, genetic information, protected Veteran status, or any other characteristic protected by federal and state law.

For more information regarding your (EEO) rights as an applicant, please visit the following websites: https://www.eeoc.gov/sites/default/files/2023-06/22-088_EEOC_KnowYourRights6.12ScreenRdr.pdf

As an Equal Employment Opportunity and Affirmative Action Employer for Protected Veterans and Individuals with Disabilities, applicants may request to review the plan of a particular ABB facility between the hours of 9:00 A.M. - 5:00 P.M. EST Monday through Friday by contacting an ABB HR Representative at 1-888-694-7762.

Protected Veterans and Individuals with Disabilities may request a reasonable accommodation if you are unable or limited in your ability to use or access ABB's career site as a result of your disability. You may request reasonable accommodations by calling an ABB HR Representative at 1-888-694-7762 or by sending an email to US-AskHR@abb.com. Resumes and applications will not be accepted in this manner.

MyBenefitsABB.com

Valoramos a las personas de diferentes orígenes. ¿Podría ser ésta su historia? Presente su candidatura hoy mismo o visite www.abb.com para saber más sobre nosotros y conocer el impacto de nuestras soluciones en todo el mundo.","['5+ years of experience in quality assurance and software testing, working as a Quality Engineer, and recent experience with cloud-native SaaS products and Azure-based technologies', 'Sound knowledge of automated testing tools (e.g., Cypress) and Agile/DevOps methodologies and best practices', 'Knowledge of Azure Pipelines, CI/CD processes, and quality management platforms (e.g., Azure DevOps)', 'Strong problem-solving skills, attention to detail, and effective collaboration with cross-functional teams', 'A bachelor’s degree in computer science, engineering, or a related field', 'Fluency in English, with excellent written and verbal communication skills', 'No siempre será fácil, crecer requiere agallas', 'In this role you will be responsible for establishing and enforcing rigorous quality standards for our SaaS product, in the Electrification Service (ELSE) division in the United States, ensuring robust performance and reliability for our customers', 'You will improve automated testing coverage using deployment pipelines and modern front-end testing frameworks, establish robust quality metrics and reporting, and drive high-quality production deployments to support scalable and sustainable solutions', 'Establish and enforce rigorous quality standards for ABB’s cloud-native SaaS platform, to ensure reliable and high-performing customer experiences', 'Improve automated testing coverage by designing and implementing comprehensive test suites using Azure Pipelines and Cypress for automated end-to-end testing', 'Develop and maintain quality metrics and reporting systems to provide actionable insights into maintaining our high-quality standards', 'Enhance production deployment quality through robust testing strategies, continuous integration practices, and deployment pipeline optimization', 'Collaborate with development team to integrate quality assurance processes into the software development lifecycle (SDLC)', 'Identify, analyze, and resolve quality issues by conducting root cause analysis and implementing preventive measures to minimize defects', 'Stay current with industry trends in quality assurance and testing, proactively suggesting improvements to development team practices to enhance efficiency and reliability', 'visite www.abb.com para saber más sobre nosotros y conocer el impacto de nuestras soluciones en todo el mundo']",Sistemas de Información,2025-07-07T00:00:00.000Z,https://careers.abb/global/es/job/JR00001802/Sr-Quality-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],2025-07-18
