job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
a96c479c5695fa2ae6fa48275817dbfd,rapidapi2,Ayudante de Electricidad en Todo Valladolid en El***ri**dad ***ente,Kämpe,"Valladolid, Castile and León, Spain","Aprender una profesión mientras trabajas es posible. Desarrolla habilidades, gana experiencia y construye tu futuro. ¡Inscríbete ahora!

Requisitos:

Provincia: Palencia
Zona: Todo Valladolid
Carnet de Conducir: En progreso
Experiencia en trabajo relacionado: No
Formación relacionada: No
Disponibilidad para viajar nivel nacional: No
PRLs: PRLs 20hs Electricidad, Trabajos en Alturas
Disponibilidad de incorporación: Inmediata
Show more Show less",,Electricidad,2025-08-28T12:11:00,https://es.linkedin.com/jobs/view/ayudante-de-electricidad-en-todo-valladolid-en-el-ri-dad-ente-at-k%C3%A4mpe-4292180019,,[],2025-08-28
3b3d2b93ac6aad5141140e5d9cbf12c1,rapidapi2,Ayudante de Electricidad en Todo Madrid en ** in****acio*** e***tr**as,Kämpe,"Madrid, Community of Madrid, Spain","Aprender una profesión mientras trabajas es posible. Desarrolla habilidades, gana experiencia y construye tu futuro. ¡Inscríbete ahora!

Requisitos:

Provincia: Madrid
Zona: Todo Madrid
Carnet de Conducir: No
Experiencia en trabajo relacionado: No
Formación relacionada: No
Disponibilidad para viajar nivel nacional: No
PRLs: PRLs 20hs Electricidad
Disponibilidad de incorporación: Inmediata
Show more Show less",,Electricidad,2025-08-28T12:10:57,https://es.linkedin.com/jobs/view/ayudante-de-electricidad-en-todo-madrid-en-in-acio-e-tr-as-at-k%C3%A4mpe-4292175618,,[],2025-08-28
e2bb62a456480e962636bc67acda4d36,rapidapi2,Técnico/a en Automatización y Electricidad Industrial,WALT HR by evolus,"Bilbao, Autonomous Community of the Basque Country, Spain","Tareas
Desde Walt HR, buscamos un/a Técnico/a en Automatización y Electricidad Industrial para el departamento de Electricidad / Automatización de empresa industrial con proyección internacional ubicada en Erandio. 

Tu misión principal será la fabricación de armarios eléctricos, interpretación de esquemas, programación de autómatas y gestión de materiales eléctricos. También estarás implicado en puestas en marcha nacionales e internacionales de los sistemas diseñados. 

Funciones: 

-Fabricación de cuadros eléctricos y armarios de control.

-Interpretación y modificación de esquemas eléctricos.

-Gestión de materiales eléctricos: recepción y realización de pedidos.

-Cableado en campo de elementos y armarios (ocasionalmente).

-Participación en puestas en marcha:

oNacionales: hasta 1 semana.

oInternacionales: hasta 2-3 semanas.

-Programación de PLCs y sistemas de automatización.

Requisitos
-Formación: Ciclo Formativo Grado Medio o Superior en Automatización, Robótica, Electricidad Industrial o similar.

-Experiencia de 2 años en funciones similares.

-Conocimientos de electricidad industrial, automatización, programación de PLCs, interpretación de esquemas eléctricos, etc.

-Valorable buen nivel de inglés

-Persona metódica, resolutiva y con capacidad de trabajo en equipo

-Disponibilidad para viajar en la frecuencia indicada

Beneficios
-Contrato indefinido con incorporación inmediata

-Jornada completa con horario de oficina (flexibilidad para viajes)

-Participación en proyectos nacionales e internacionales

-Entorno técnico con desarrollo profesional
Show more Show less",,Electricidad,2025-08-28T09:33:20,https://es.linkedin.com/jobs/view/t%C3%A9cnico-a-en-automatizaci%C3%B3n-y-electricidad-industrial-at-walt-hr-by-evolus-4290701218,,[],2025-08-28
d1f1dc3f08f267bb700069fd18db863e,rapidapi2,Comercial - Electricidad Industrial,LHH,"Igualada, Catalonia, Spain","¿Tienes formación técnica y/o conocimientos en sistemas eléctricos industriales y experiencia en ventas? Si, además, estás en búsqueda de un nuevo proyecto en una sólida compañía, ¡sigue leyendo!

Desde LHH colaboramos con una importante empresa de la zona de la Catalunya Central, especialista en la distribución de productos eléctricos y de automatización para el sector industrial en la incorporación de un/a Comercial Externo/a. para su equipo de la delegación de Igualada

Funciones principales:

Gestión de cartera de clientes existente a nivel comarcal local ( Anoia)
Detectar y buscar nuevas opciones de negocio
Realizar el primer filtro de pedidos y derivarlos al departamento de administración.
Seguimiento de la venta y satisfacción del cliente.

Requisitos:

Al menos 2 años de experiencia como comercial en venta B2B dentro del sector industrial o de la construcción, a nivel electricidad y automatización industrial
Formación técnica en sistemas eléctricos industriales, conocimientos básicos de variadores de frecuencia, PLC, HMI
Buenas dotes comunicativas.

Beneficios:

Estabilidad laboral y recorrido profesional en una sólida empresa referente en su sector
Formación continua a cargo de la empresa.
Salario compuesto por un fijo en torno a los 35k según perfil + variable por objetivo
Horario de 8h a 13h y de 15h a 18.30h, viernes intensivo de 8h a 14h (agosto intensivo)
Coche de empresa
Show more Show less",,Electricidad,2025-08-28T07:22:42,https://es.linkedin.com/jobs/view/comercial-electricidad-industrial-at-lhh-4292135092,,[],2025-08-28
790cb1ad27b4fd16b5fa22fdd7f53d94,rapidapi2,ESTUDIANTE DE ELECTRONICA O ELECTRICIDAD,ROLI S.A.,"Montevideo, Montevideo, Uruguay","Buscamos una persona para el Mantenimiento de Sistemas de Alarma de Intrusos e Incendio y CCTV.

Requisitos

Ser una persona honesta y responsable (excluyente)
Bachillerato completo o similar (excluyente)
Estudios en electrónica o electricidad
Se valorara Experiencia en Mantenimiento o Instalación de Sistemas de Alarma
Disponibilidad para viajar al interior del país (excluyente)
Se valorarán conocimientos de Sistemas Operativos y Redes

Se ofrece, buen ambiente laboral, remuneración acorde, estabilidad laboral y la oportunidad de incorporarse a una empresa de larga trayectoria y liderazgo. 
Show more Show less","['Honesty', 'Responsibility', 'Electronics', 'Electricity', 'Alarm Systems Maintenance', 'CCTV', 'Travel Availability', 'Operating Systems Knowledge', 'Networking Knowledge']",Electricidad,2025-08-28T02:21:32,https://uy.linkedin.com/jobs/view/estudiante-de-electronica-o-electricidad-at-roli-s-a-4292316915,,[],2025-08-28
405db931d26caffa885a7a78e8d28574,rapidapi2,Proyectista Semi Senior en Electricidad o Electrónica,JoffreHR,"Rosario, Santa Fe, Argentina","Para nuestros amigos de Fourtech Soluciones Industriales S.R.L. estamos reclutando Proyectistas Semi Senior en Electricidad o Electrónica. 

Si te gusta trabajar por proyectos para grandes empresas nacionales y multinacionales de primera línea y ser parte de un equipo de ingeniería multidisciplicario, entonces esta posición vacante es para vos. Chequeá los requisitos y POSTULÁ AHORA. 

Podrás diseñar y modificar planos eléctricos
Redatarás planos y planillas para el tendido de campo
Participarás en la selección de equipos y materiales para control automático como PLC, Periferia des-centralizada, redes y elementos de tableros con su listado de materiales
Supervisarás, realizarás el seguimiento seguimiento y definición de obras eléctricas en campo.
Relevarás tableros eléctricos y P&ID de procesos industriales en campo.

Buscamos un perfil que:
Maneje AutoCAD, E-Plan, Microsoft Visio y softwares de programación de PLC
Tenga licencia de conducir (deberá viajar conociendo las plantas industriales más importante de la zona)
Tenga una tecnicatura en Electricidad o en Electrónica o esté estudiando alguna de las dos especialidades en Ingeniería.

El datazo: la empresa ofrece flexibilidad horaria y prepaga

¡Esperamos tu postulación! 

Recibimos tus consultas a joffrehr@gmail y también podés ver esta vacante y otras en @joffrehr en Linkedin y en Instagram.
Show more Show less","['AutoCAD', 'E-Plan', 'Microsoft Visio', 'PLC Programming', 'Electrical Design', 'Project Management']",Electricidad,2025-08-27T14:52:12,https://ar.linkedin.com/jobs/view/proyectista-semi-senior-en-electricidad-o-electr%C3%B3nica-at-joffrehr-4289875792,,[],2025-08-28
ecaf8d4b9e8cbdfa3a84300822fa3643,rapidapi2,OFICIAL DE 1ª ELECTRICIDAD,Instalaciones Ubeda,"Cerdanyola del Vallès, Catalonia, Spain","Instalaciones Ubeda en Cerdanyola del Valles, es una empresa dedicada a instalaciones, necesita incorporar un OFICIAL DE 1ª CON EXPERIENCIA a partir de septiembre para trabajar en rehabilitación de viviendas, locales comerciales e industriales y en proyectos de vivienda de obra nueva

Tareas
Oficial de 1ª con conocimientos y experiencia. 


Experiencia en instalaciones eléctricas en viviendas y edificios residenciales.

Conocimiento de normativas de seguridad eléctrica y estándares de calidad.

Habilidad para interpretar planos y esquemas eléctricos.

Resolución de problemas y trabajo bajo presión.

Trabajo en equipo y comunicación efectiva.

Imprescindible, papeles en regla y carnet de conducir, se valorará curso de PRL.


Requisitos
-OFICIAL DE 1ª

-Disponibilidad para incorporación en Septiembre.

-Capacidad para trabajar de manera autónoma, así como de trabajo en equipo.

-Carnet de conducir

Beneficios

Alta en Seguridad Social y con posibilidad de incorporación con contrato laboral indefinido.

Salario según Convenio, se valorará e incentivara según experiencia y aptitud en el puesto de trabajo. 

Incorporación inmediata


Buscamos personas con aptutid positiva y ganas de trabajar.
Show more Show less",,Electricidad,2025-08-27T08:32:23,https://es.linkedin.com/jobs/view/oficial-de-1%C2%AA-electricidad-at-instalaciones-ubeda-4289831418,,[],2025-08-28
33747c4c82991b04e0cf3321b952daee,rapidapi2,"🛠️Técnico/a de Taller – Electricidad, Mecánica y Soldadura",GTG Ingenieros - Seguridad Industrial y laboral,"Nigrán, Galicia, Spain","🛠️ Buscamos Técnico/a de Taller – Electricidad, Mecánica y Soldadura

En GTG Ingenieros seguimos creciendo y queremos incorporar a nuestro equipo a un/a Técnico/a polivalente con conocimientos en electricidad, mecánica y/o soldadura, un perfil técnico y con ganas de aprender para formar parte de nuestro taller técnico en Nigrán (Pontevedra).

🚀 ¿Qué harás?
Montaje, mantenimiento y reparación de equipos industriales.
Trabajos de electricidad, mecánica y/o soldadura en nuestros proyectos técnicos.
Colaborar con el equipo en el taller y dar soporte en instalaciones en campo.
Desplazarte puntualmente por toda España para ejecutar trabajos en cliente.

✅ Requisitos
Formación y/o experiencia en electricidad, mecánica y soldadura (un perfil mixto será muy valorado).
Disponibilidad para viajar a nivel nacional.
Actitud proactiva, capacidad de trabajo en equipo y ganas de aprender.

🌍 Ofrecemos
Incorporación a una empresa en crecimiento y con proyectos innovadores en el sector industrial.
Trabajo en un equipo dinámico y multidisciplinar.
Estabilidad laboral y posibilidades de desarrollo profesional.
Ubicación principal: Nigrán (Pontevedra).

Si te apasiona la técnica, disfrutas trabajando con las manos y quieres formar parte de un equipo en constante evolución… ¡Queremos conocerte!
Show more Show less","['Electricity', 'Mechanics', 'Welding', 'Teamwork', 'Proactive Attitude', 'Learning']",Electricidad,2025-08-27T06:36:17,https://es.linkedin.com/jobs/view/%F0%9F%9B%A0%EF%B8%8Ft%C3%A9cnico-a-de-taller-%E2%80%93-electricidad-mec%C3%A1nica-y-soldadura-at-gtg-ingenieros-seguridad-industrial-y-laboral-4289805822,,[],2025-08-28
494b9e58dac7a03b1c82ac3d0e406612,rapidapi2,Supervisión de Electricidad e Instrumentación en Obra,EIA21 - Estudios e Ingeniería Aplicada XXI,"Villaluenga de la Sagra, Castile-La Mancha, Spain","Desde EIA21, empresa de ingeniería con más de 40 años de experiencia en la prestación de servicios industriales, buscamos incorporar a una persona para llevar a cabo la supervisión de Electricidad e instrumentación de un proyecto en Villaluenga de la Sagra - Toledo, con una duración estimada de 20 meses.

Funciones: 

Verificación de pruebas, ensayos y puesta en marcha de instalaciones.
Supervisión de la actividad y mediciones de contratistas según la documentación técnica.
Seguimiento de la planificación de obra y control de plazos de ejecución.
Elaboración de informes técnicos de avance y seguimiento.
Velar por el cumplimiento de la normativa de seguridad y medio ambiente en obra.


Requisitos

Amplia experiencia demostrada enjho servicios de construcción y puesta en marcha de plantas.
Muy valorable experiencia en proyectos de Biometano
Show more Show less","['Electricity Supervision', 'Instrumentation', 'Project Management', 'Technical Reporting', 'Safety Compliance', 'Environmental Compliance', 'Contractor Management', 'Construction Oversight']",Electricidad,2025-08-27T06:16:05,https://es.linkedin.com/jobs/view/supervisi%C3%B3n-de-electricidad-e-instrumentaci%C3%B3n-en-obra-at-eia21-4289809455,,[],2025-08-28
aada43e57ae2ec2ce21e050f9054970f,rapidapi2,Práctica de Ingeniería en Electricidad y Automatización Industrial,Laboratorio Instituto Sanitas®,"Santiago, Santiago Metropolitan Region, Chile","Company Description: Instituto Sanitas S.A

Job Description: Laboratorio farmacéutico con más de 100 años de servicio y comprometidos con el desarrollo de productos de calidad está en búsqueda de un practicante que se pueda incorporar al equipo de Mantención.

Para esto buscamos estudiantes de Ingeniería en Electricidad y Automatización Industrial o carreras similares.

Principales Funciones

Asegurar el óptimo funcionamiento de la planta de producción, utilizando los recursos técnicos disponibles para garantizar la confiabilidad de los equipos de producción y los sistemas de apoyo críticos.
Ejecutar y/o coordinar labores de mantenimiento eléctrico e industrial en sistemas electromecánicos, hidráulicos, electroneumáticos, automatizados y otros mecanismos industriales.
Implementar sistemas de automatización y control industrial.
Utilizar equipos y herramientas para la medición de variables eléctricas y de automatización.
Diseñar, instalar y mantener sistemas electromecánicos y automatizados.
Instalar máquinas eléctricas industriales de acuerdo con las especificaciones técnicas de los proyectos.
Realizar tareas de mantenimiento en instalaciones y equipos de la compañía.

Requisitos

Estar estudiando Ingeniería en Electricidad y Automatización Industrial o carreras similares.
Contar con seguro escolar
Disponibilidad para trabajar de manera presencial en Quilicura.

Jornada: de Lunes a Miércoles de 7:45 a 17:30, Jueves 7:45 a 16:30 y Viernes de 7:45 a 16:15

Beneficios

Buses de acercamiento
Desayuno en el casino de la empresa
Almuerzo en el casino de la empresa
Práctica remunerada

¡Postula y sé parte del equipo Sanitas! 
Show more Show less","['Electricity', 'Industrial Automation', 'Maintenance', 'Electromechanical Systems', 'Hydraulic Systems', 'Pneumatic Systems', 'Automation', 'Control Systems', 'Electrical Measurement', 'System Design', 'Installation', 'Technical Specifications']",Electricidad,2025-08-26T20:09:42,https://cl.linkedin.com/jobs/view/pr%C3%A1ctica-de-ingenier%C3%ADa-en-electricidad-y-automatizaci%C3%B3n-industrial-at-laboratorio-instituto-sanitas%C2%AE-4291657912,,[],2025-08-28
