job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
732f425ab34423e066afea94c8f14e2e,rapidapi2,Electricista,Luzco,"Boadilla del Monte, Community of Madrid, Spain","En Luzco, empresa fabricante de iluminación, crecemos año tras año y buscamos incrementar el número de nuestro equipo de instaladores

Tareas
Funciones:


Conexionado de luminarias

Replanteo y apoyo técnico en instalaciones

Apoyo en obra para colocación de elementos lumínicos


Requisitos
Estudios mínimos Formación Profesional Grado Medio – Electricidad y Electrónica

Conocimientos en electricidad y electrónica.

Disponibilidad para viajar será valorable.
Show more Show less","['Electricity', 'Electronics', 'Installation', 'Technical Support', 'Travel Availability']",Electricidad,2025-08-28T14:03:07,https://es.linkedin.com/jobs/view/electricista-at-luzco-4290728290,,[],2025-08-28
9aab4908cddff56592b934eaed5bc379,rapidapi2,Electricista,EnergíaSolarCanarias,"Agüimes, Spain","🔌 Se buscan Electricistas / Técnicos de Mantenimiento (2 plazas)
En Energía Solar Canarias, empresa en crecimiento dentro del sector energético, buscamos incorporar 2 profesionales con experiencia demostrable en electricidad.
📋 Requisitos
Experiencia demostrable en electricidad (mantenimiento, instalaciones o reparaciones).
Conocimientos en fotovoltaica (valorables, no imprescindibles).
Capacidad de trabajo en equipo y responsabilidad.
Carnet de conducir B (deseable).
💡 Ofrecemos
Incorporación inmediata.
Contrato estable tras periodo de prueba.
Formación continua en energía solar y nuevas tecnologías.
Posibilidades reales de crecimiento dentro de la empresa.
📍 Zona de trabajo
Polígono Industrial de Arinaga - Gran Canaria.
Si cumples el perfil y quieres crecer en una empresa innovadora, envíanos tu CV actualizado a:
📧carlaisari@energiasolarcanarias.es
Show more Show less",,Electricidad,2025-08-28T13:02:51,https://es.linkedin.com/jobs/view/electricista-at-energ%C3%ADasolarcanarias-4290713590,,[],2025-08-28
2dfad96f8ff3d35d41fb8886c74fcaa3,rapidapi2,Oficial 1ª Electricista,Ajuntament de Girona,"Girona, Catalonia, Spain","Ofertes de feina

Borsa de treball

El Servei Municipal D’Ocupació (SMO) Gestiona Ofertes De Feina Per Empreses Que Ofereixen Llocs De Treball, Que Trobareu Relacionades En Aquest Espai. A Aquests Efectes, Cal Que Tingueu En Compte El Següent

Únicament es valoraran les candidatures que arribin per aquest canal.
Si no heu trobat cap oferta de feina que encaixi amb el vostre perfil, podeu donar-vos d’alta a la borsa de treball, i us podrem informar de novetats que et puguin interessar.
Si sou empresa, publiqueu la vostra oferta de treball. Us podem oferir suport en la definició dels perfils laborals, el reclutament laboral i la preselecció de candidatures.
Si sou una empresa també podeu registrar-vos i iniciar sessió a l'aplicació de la borsa de treball per a fer un seguiment de les persones candidates de les ofertes de feina que heu publicat i consultar els seus currículums. En iniciar sessió també podeu donar d'alta ofertes de feina.
Les ofertes que es publiquen no són per treballar a l’Ajuntament de Girona. En cas que vulgueu participar en un procés d’oferta pública, heu de consultar-la a través del web de les ofertes públiques d'ocupació, presentar la sol·licitud al registre d'entrada de l'Ajuntament de Girona i seguir les indicacions de les bases de la convocatòria que us interessi i de les notificacions que es vagin publicant a l'e-tauler.
Show more Show less",[],Electricidad,2025-08-28T10:38:16,https://es.linkedin.com/jobs/view/oficial-1%C2%AA-electricista-at-ajuntament-de-girona-4290397916,,[],2025-08-28
4edfc34dca58c730a5a9d3db9ed9a745,rapidapi2,Oficial electricista,The Adecco Group,"Seville, Andalusia, Spain","Empresa especializada en instalaciones eléctricas y de datos requiere incorporar en su empresa un/a Oficial de electricidad
Centro de trabajo ubicado en Sevilla, flexibilidad para desplazamiento por distintos centros de Andalucía

Funciones principales:
Conexión de cuadros eléctricos
Instalaciones eléctricas en obra nueva y reformas
Cableado estructurado
Montaje de redes de datos
Canalizaciones y tendido de cable

Condiciones laborales:
Desplazamientos por Andalucía con vehículo de empresa
Dietas cubiertas por la empresa
Plus de desplazamiento
Seguro médico privado

Horario:
De Lunes a Jueves de 8:00h a 17:45h
Viernes: 7:00h a 14:00h

Beneficios del puesto (Se ofrece)
Contrato estable directamente con la empresa
Salario variable

Requisitos
Experiencia demostrable en instalaciones eléctricas y de datos
Disponibilidad para viajar
Carnet de conducir B
Capacidad de trabajo en equipo y autonomía
Show more Show less",,Electricidad,2025-08-28T09:32:57,https://es.linkedin.com/jobs/view/oficial-electricista-at-the-adecco-group-4292159604,,[],2025-08-28
8478ece0616be5bdacb35c1e303c33b8,rapidapi2,OFICIAL ELECTRICISTA CUADRISTA,Grupo Osmos,"Tarrío, Galicia, Spain","¿Tienes experiencia en el montaje de cuadros eléctricos y te gustaría formar parte de una empresa reconocida por su excelencia técnica?

En Osmos Sistemas Eléctricos estamos buscando un/a Oficial Electricista Cuadrista para incorporarse a nuestro equipo de taller en Culleredo (A Coruña).

¿Quiénes somos?

En Osmos llevamos más de 20 años creciendo junto a nuestros clientes, ofreciendo soluciones eléctricas precisas y fiables. Nuestra experiencia, rigor técnico y compromiso con la calidad nos han convertido en un socio estratégico para algunos de los proyectos más exigentes del mundo.Fabricamos cuadros eléctricos a medida que cumplen los estándares más altos exigidos para instalaciones punteras en sectores como la ciencia, la industria, la distribución global y el retail de primer nivel. Nuestros clientes confían en nosotros por una razón clara: nuestro equipo lo hace posible.

Tareas
¿Cómo será tu día a día con nosotros?

Formarás parte del equipo de montaje de cuadros eléctricos en el taller de nuestras instalaciones centrales de Culleredo (A Coruña). Tus principales funciones serán:


Montaje y cableado de cuadros eléctricos.

Interpretación de esquemas eléctricos diseñados por nuestro equipo de Oficina Técnica.Trabajo coordinado con el Responsable de Taller, asegurando la calidad, el orden y la precisión.


Requisitos
¿Qué buscamos en ti?


Experiencia en montaje de cuadros eléctricos.

Capacidad para interpretar esquemas eléctricos con autonomía.

Atención al detalle, responsabilidad y compromiso con el trabajo bien hecho.Ganas de integrarte en un equipo técnico con alto nivel profesional.


Beneficios
¿Qué te ofrecemos?


Contrato inicial de 3 meses con conversión a indefinido.

Salario comprendido entre 24.000-26.000€ brutos, en función de tu experiencia.

Horario de lunes a viernes, durante todo el año, de 07:00 a 15:00

Seguro médico a cargo de la empresa a partir de los 6 meses.

Incorporación a una empresa consolidada, en expansión y muy reconocida en su sector.

Proyectos técnicamente exigentes que te permitirán crecer como profesional.

Trabajo en un equipo unido, colaborativo y con alto nivel técnico.


¿Crees que no cumples todos los requisitos, pero sí tienes muchas ganas?

Si tienes experiencia en cuadros eléctricos, motivación y compromiso, queremos conocerte. La actitud y el deseo de mejorar cada día son aspectos que también valoramos.

¿Te ves trabajando en una empresa donde la calidad y el detalle marcan la diferencia?

Envíanos tu candidatura. ¡Estamos deseando conocerte!
Show more Show less","['Electrical Panel Assembly', 'Electrical Wiring', 'Electrical Schematics Interpretation', 'Attention to Detail', 'Responsibility', 'Team Collaboration']",Electricidad,2025-08-28T09:31:17,https://es.linkedin.com/jobs/view/oficial-electricista-cuadrista-at-osmos-sistemas-el%C3%A9ctricos-4290396859,,[],2025-08-28
16a5f4396f9c2318e4471c46ea9a12b7,rapidapi2,Electricista,Grupo Intermedio,"Mungia, Autonomous Community of the Basque Country, Spain","Intermedio, con sede en Mungia, somos una empresa especializada en arquitectura efímera, marketing presencial y eventos. Tras 28 años de experiencia, Grupo Intermedio ha ido creciendo hasta convertirse en un referente en el mercado tanto nacional como internacional.

Tareas
Funciones y Responsabilidades:


.-Cablear, conectar mecanismos y cuadros de protección.

-Conexión de cuadros de protección.

Montaje y mantenimiento de Instalaciones Eléctricas


Requisitos

formacion UF0887: Montaje y Mantenimiento de Instalaciones Eléctricas de Interior

Experiencia de más de 5 años en las tareas descritas.

Disponibilidad para viajar.

Carne de conducir.


Beneficios
Estamos muy bien situados en Munguia con unas instalaciones muy completas, que consta de carpintería, almacén, vestuarios, cocina, baños, zona de ocio, maquinas de Agua, cafes y snacks y una cocina.
Show more Show less","['Electrical Wiring', 'Connection of Protection Panels', 'Installation Maintenance', 'Electrical Installations']",Electricidad,2025-08-28T09:02:39,https://es.linkedin.com/jobs/view/electricista-at-grupo-intermedio-4290393879,,[],2025-08-28
764cdfc64b3f897f9d71ad032f724c5a,rapidapi2,Tecnólogo Electricista Junior (3636),Ingeomega,"Sopetrán, Antioquia, Colombia","Sopetrán - Antioquia

Se requiere Tecnólogo Electricista (titulado o en proceso) para trabajar en proyectos de redes de distribución de energía eléctrica, realizando recepción y digitalización de información técnica, actualización de datos y planos en sistemas de información, revisión de pedidos de instalación de servicios y visitas técnicas de acompañamiento en campo bajo supervisión. No se requiere experiencia, se valorará la disposición al aprendizaje.

Para el personal que no sea de la zona, se brinda campamento y alimentación.

Datos de la Vacante

$1.777.896
Presencial
Sopetrán - Antioquia

Requisitos

Certificado de estudio
Manejo básico de AutoCAD
Manejo básico de herramientas ofimáticas

Salario

$1.777.896 
Show more Show less","['Electricity', 'Technical Information', 'Data Updating', 'AutoCAD', 'Office Tools']",Electricidad,2025-08-28T08:11:51,https://co.linkedin.com/jobs/view/tecn%C3%B3logo-electricista-junior-3636-at-ingeomega-4292156019,,[],2025-08-28
32afb6795d2605086418a6d8a5e4d034,rapidapi2,Técnico Electricista - Sector Industrial,"Celemi Montajes Eléctricos, S.L.","La Rambla, Andalusia, Spain","Descripción de la empresa Celemi Montajes Eléctricos es una empresa de montajes eléctricos con un amplio historial, en todo el mundo. Si deseas formar parte de nuestro equipo humano te estamos esperando...

Descripción del puesto Como Técnico Electricista en Celemi Montajes Eléctricos, S.L., serás responsable de la instalación, mantenimiento y reparación de sistemas eléctricos en el sector industrial, redes aéreas y subterráneas de alta y baja tensión, etc. Tus tareas diarias incluirán la inspección y el diagnóstico de problemas eléctricos, así como la implementación de soluciones adecuadas. 

Este es un puesto de tiempo completo y se realizará de manera presencial en nuestras instalaciones ubicadas en La Rambla (Córdoba).

Requisitos
Dominio de electricidad y experiencia en trabajos eléctricos.
Conocimientos y experiencia en instalaciones de alta y baja tensión.
Conocimientos y experiencia en instalaciones industriales.
Conocimientos y experiencia en mantenimiento y reparación de sistemas eléctricos.
Capacidad para realizar diagnósticos y resolver problemas eléctricos de manera eficaz.
Titulación eléctrica y aptitudes en el ámbito eléctrico será muy valorada.
Habilidades adicionales como la capacidad de trabajar en equipo, buena comunicación y una orientación hacia la seguridad serán muy apreciadas.
Formación PRL
Formación en Alturas
Show more Show less","['Electricity', 'High Voltage Installations', 'Low Voltage Installations', 'Industrial Installations', 'Maintenance', 'Repair', 'Problem Diagnosis', 'Teamwork', 'Communication', 'Safety Orientation', 'PRL Training', 'Height Training']",Electricidad,2025-08-28T07:57:56,https://es.linkedin.com/jobs/view/t%C3%A9cnico-electricista-sector-industrial-at-celemi-montajes-el%C3%A9ctricos-s-l-4290378830,,[],2025-08-28
04c927fcb92903ebd657a2bcc91fa0f3,rapidapi2,"electromecánico, mecánico de mantenimiento  electricista , mantenimiento planta",Messina Market & Catering,"Medellín, Antioquia, Colombia","multinacional requiere hombres técnicos, tecnólogos en mecánica, mantenimiento industrial, electromecánica o afines con un año de experiencia en plantas de alimentos o bebidas especialmente con experiencia en temas eléctricos, mantenimiento de maquinas industriales

lunes a sábado tres turnos rotativos, disponibilidad el domingo

Salario a $1800.000 prestaciones + auxilio de transporte legal $200.000+ recargos+ prestaciones de ley+ casino 
Show more Show less",,Electricidad,2025-08-28T07:43:25,https://co.linkedin.com/jobs/view/electromec%C3%A1nico-mec%C3%A1nico-de-mantenimiento-electricista-mantenimiento-planta-at-messina-market-catering-4292356770,,[],2025-08-28
b6595adb716c49d424cdaa3aab9a368c,rapidapi2,"TÉCNICO/A ELECTRICISTA, ELECTRÓNICO/A O DE AUTOMATIZACIÓN",Grupo IMAGA,"Alginet, Valencian Community, Spain","Buscamos incorporar a nuestro equipo un/a técnico/a con formación en electricidad, electrónica o automatización

Funciones Principales

Instalar, reparar y mantener instalaciones eléctricas de baja tensión.

Requisitos

Cursos PRL de 20 horas

Experiencia en mantenimiento e instalación

Capacidad para trabajar solo/a y en equipo

Interpretación de planos

Disponibilidad para viajar

Carné de conducir 
Show more Show less","['Electricity', 'Electronics', 'Automation', 'Maintenance', 'Installation', 'Teamwork', 'Interpretation of Plans', 'Travel Availability', 'Driving License']",Electricidad,2025-08-28T02:37:34,https://es.linkedin.com/jobs/view/t%C3%A9cnico-a-electricista-electr%C3%B3nico-a-o-de-automatizaci%C3%B3n-at-grupo-imaga-4292325718,,[],2025-08-28
