job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
548a14b443f615ecdaafffe1861ecec7,rapidapi2,Docente de estadistica para no estadísticos,Cliente Anonimo,"Lima, Lima, Peru","El docente requiere: 

• Formación profesional en Estadística o Ingenierías o menciones afines a las carreras señaladas. 
• Contar con estudios de especialización o diplomado o maestría en Estadística o en temas relacionados. 
• Experiencia como docente, capacitador o ponente en el dictado de al menos cinco (05) capacitaciones en temas relacionados a la materia a contratar o similares en los últimos cinco (05) años.

36 horas de dictado
Disponibilidad inmediata 
Show more Show less",,Matemática,2025-08-22T16:17:30,https://pe.linkedin.com/jobs/view/docente-de-estadistica-para-no-estad%C3%ADsticos-at-cliente-anonimo-4289926304,,[],2025-08-28
f8e6bd12f42c538d51905e7f28959550,rapidapi2,Laureato in Matematica per Lezioni di Analisi I e Analisi II,Letuelezioni,"Rome, Lazio, Italy","Letuelezioni, portale leader per fare lezioni private in Italia, cerca un insegnante per lezioni e ripetizioni di Matematica (Analisi I e Analisi II).

Se sei un tutor o, semplicemente, ti piace insegnare ed hai bisogno di entrate extra per le tue spese, candidati sulla nostra piattaforma per trovare i tuoi studenti sin dal primo giorno!

Compiti

Prepara un programma specifico per aiutare l'apprendimento dello studente;
Comincia a dare lezioni provate da subito;
Serietà, puntualità e professionalità con gli studenti.

Requisiti

Non è richiesta esperienza;
Laurea in Matematica;
Passione per l'insegnamento e la matematica.

Vantaggi

Dai lezioni private a centinaia di studenti;
Registrati gratuitamente;
Impartisci lezioni online o a domicilio;
Decidi tu quanto guadagnare a lezione;
Nessuna commissione;
Più di 50.000 studenti visitano Letuelezioni ogni giorno. Riceverai costantemente richieste dagli alunni.

Che aspetti? Candidati ora a questa offerta di lavoro per cominciare subito a dare lezioni private! 
Show more Show less","['Mathematics', 'Teaching', 'Analysis I', 'Analysis II', 'Program Preparation', 'Professionalism', 'Punctuality', 'Passion for Teaching']",Matemática,2025-08-27T10:44:15,https://it.linkedin.com/jobs/view/laureato-in-matematica-per-lezioni-di-analisi-i-e-analisi-ii-at-letuelezioni-4291578059,,[],2025-08-28
b41d27b780e2f06645e320de7be55ce2,rapidapi2,Insegnante di Matematica per Ripetizioni - Scuole Superiori,Letuelezioni,"Valdagno, Veneto, Italy","Stiamo cercando un insegnante privato innovativo ed energico che si unisca al nostro eccellente team di tutor. Unisciti al nostro team di insegnanti professionisti che supportano i nostri studenti in tutte le fasi della loro istruzione.

In Letuelezioni ti offriamo l'opportunità di entrare a far parte del nostro team di insegnanti per supportare gli studenti che hanno bisogno di aiuto nei loro studi.

Stiamo assumendo insegnanti con conoscenze di matematica per dare ripetizioni alle scuole superiori, quindi se sei disponibile a dare lezioni benvenuto/a a bordo!

REQUISITI:

Non è richiesta alcuna esperienza previa;
Conoscenza di base della matematica.

VANTAGGI:

Orario flessibile;
Possibilità di lavorare smart working / telelavoro / lavoro da casa;
Retribuzione: da 15€ a 30€/ora.
Show more Show less","['Mathematics', 'Teaching', 'Tutoring']",Matemática,2025-08-27T10:44:07,https://it.linkedin.com/jobs/view/insegnante-di-matematica-per-ripetizioni-scuole-superiori-at-letuelezioni-4291579002,,[],2025-08-28
69dd4502afcf434f1f5ca57140effbf1,rapidapi2,Laureato in Matematica per Lezioni di Analisi I e Analisi II,Letuelezioni,"Rome, Lazio, Italy","Letuelezioni, portale leader per fare lezioni private in Italia, cerca un insegnante per lezioni e ripetizioni di Matematica (Analisi I e Analisi II).

Se sei un tutor o, semplicemente, ti piace insegnare ed hai bisogno di entrate extra per le tue spese, candidati sulla nostra piattaforma per trovare i tuoi studenti sin dal primo giorno!

Compiti

Prepara un programma specifico per aiutare l'apprendimento dello studente;
Comincia a dare lezioni provate da subito;
Serietá, puntualitá e professionalitá con gli studenti.

Requisiti

Non è richiesta esperienza;
Laurea in Matematica;
Passione per l'insegnamento e la matematica.

Vantaggi

Dai lezioni private a centinaia di studenti;
Registrati gratuitamente;
Impartisci lezioni online o a domicilio;
Decidi tu quanto guadagnare a lezione;
Nessuna commissione;
Più di 50.000 studenti visitano Letuelezioni ogni giorno. Riceverai costantemente richieste dagli alunni.

Che aspetti? Candidati ora a questa offerta di lavoro per cominciare subito a dare lezioni private! 
Show more Show less","['Mathematics', 'Teaching', 'Analysis I', 'Analysis II']",Matemática,2025-08-25T16:44:18,https://it.linkedin.com/jobs/view/laureato-in-matematica-per-lezioni-di-analisi-i-e-analisi-ii-at-letuelezioni-4290818410,,[],2025-08-28
1e9e65a732873de7c0643cc0832dee12,rapidapi2,Docente di Matematica e Fisica,Istituti De Amicis - Milano,"Gorgonzola, Lombardy, Italy","I Licei Santagostino di Gorgonzola (MI), che comprendono il Liceo Scientifico a indirizzo sportivo e il Liceo Linguistico Internazionale, sono alla ricerca di un/una docente di Matematica e Fisica per l’Anno Scolastico 2025/2026. 
Offriamo un contratto full time a tempo determinato in un ambiente educativo dinamico e stimolante, attento sia alla formazione accademica sia alla crescita personale degli studenti. 
Show more Show less","['Mathematics', 'Physics', 'Teaching', 'Education']",Matemática,2025-08-25T15:49:55,https://it.linkedin.com/jobs/view/docente-di-matematica-e-fisica-at-istituti-de-amicis-milano-4288590073,,[],2025-08-28
3f9131c5b301f46ca1608bd5ae391206,rapidapi2,Atendente de plantao matematica,Netvagas,"São Paulo, São Paulo, Brazil","Somos feitos por quem acredita no que faz

A transformação que a educação promove nas pessoas também se reflete em quem trabalha com ela. É isso que nos move todos os dias: promover conquistas por meio do amor à educação.

Trabalhar aqui é fazer parte de um ambiente dinâmico, colaborativo e com propósito, no qual seguimos #JuntosNaMesmaDireção, unindo talento e compromisso em soluções educacionais inovadoras.

Com ética, responsabilidade e foco em resultados, atuamos ao lado de estudantes e Escolas Associadas, inspirando conquistas todos os dias.

Se você vê na educação um caminho de transformação, pode ser que a sua próxima jornada seja por aqui.

Principais Responsabilidades

Atender estudantes em todas as áreas da Matemática, de forma presencial;
Revisar provas e resoluções;
Corrigir provas, quando necessário;
Elaborar questões, quando necessário;
Apoiar em ações internas.

Requisitos e Qualificações:

Formação completa ou em andamento em Matemática ou áreas afins;
Diferencial: experiência como monitor, instrutor ou plantonista;
Show more Show less",,Matemática,2025-08-24T13:35:42,https://br.linkedin.com/jobs/view/atendente-de-plantao-matematica-at-netvagas-4290487523,,[],2025-08-28
46c4bf0f7fc47ece89c7a02200a98095,rapidapi2,Tutor/Profesor de Matematica,Tutor Doctor,"Antofagasta, Antofagasta Region, Chile","Company Description: Tutor Doctor

Job Description: ¡Únete a nuestro equipo de tutores!

Estamos buscando tutores calificados y apasionados para realizar clases personalizadas de Matematica. Si tienes experiencia en enseñanza y una pasión por compartir tus conocimientos, ¡queremos conocerte!

Requisitos

Experiencia en enseñanza o tutoría
Conocimientos sólidos en Matematica
Habilidades de comunicación efectivas
Paciencia y empatía con los estudiantes

Ofrecemos

Oportunidad de trabajar con estudiantes motivados
Flexibilidad horaria
Apoyo continuo para tu desarrollo profesional

Si estás interesado en unirte a nuestro equipo, envíanos tu CV y una breve descripción de tu experiencia y habilidades. ¡queremos conocerte!"" 
Show more Show less","['Teaching', 'Tutoring', 'Mathematics', 'Communication', 'Patience', 'Empathy']",Matemática,2025-08-21T20:06:21,https://cl.linkedin.com/jobs/view/tutor-profesor-de-matematica-at-tutor-doctor-4289350550,,[],2025-08-28
dba5cbad5234f75b69ddfc0bcd5fd71d,rapidapi2,Maestras (os) de Matematica del Nivel secundario y de Informatica,Tu Empleo RD,"Santo Domingo Este, Santo Domingo, Dominican Republic","Necesitamos maestras (os) de Matematica del Nivel secundario y de Informatica Santo Domingo Este

Cel 829-643-6324 
Show more Show less",,Matemática,2025-08-21T14:48:39,https://do.linkedin.com/jobs/view/maestras-os-de-matematica-del-nivel-secundario-y-de-informatica-at-tu-empleo-rd-4289285555,,[],2025-08-28
9c598d483f7b77ccd9b5589bd5cf0eff,rapidapi2,ANALISTA MATEMATICO_PARMA,Jobbit,"Parma, Emilia-Romagna, Italy","Etjca S.p.a.

Etjca SpA, agenzia per il lavoro, (Aut. Min. Prot. N. 1309-SG del 23/02/2005), filiale di Parma, ricerca e seleziona n.1

ANALISTA MATEMATICO

Descrizione e Caratteristiche Della Posizione

Alle direttive del team leader, il/la neo assunto/a, inserito/a in un team di valutazione e certificazione per il settore gaming, nel ruolo di Analista Matematico, sarà coinvolto/a in attività di analisi approfondita delle prestazioni di giochi da casinò. Sarà inoltre chiamato/a ad esaminare e interpretare il codice sorgente dei dispositivi di gioco, con l'obiettivo di comprenderne a fondo il funzionamento logico e matematico.

Ruolo e Responsabilità

Il/la candidato/a che desideriamo incontrare si occuperà principalmente di:

Analisi matematica e statistica delle performance di slot machine, tramite calcoli esatti o simulazioni Monte Carlo
Studio e comprensione del codice sorgente di dispositivi di gioco
Redazione di report tecnici dettagliati
Collaborazione con il team per lo sviluppo e la verifica di modelli di gioco

Riporto gerarchico: Team Leader

Relazioni Di Funzione

Interne: team di progetto

Esterne: clienti acquisiti e prospect

Requisiti Richiesti Per Partecipare Alle Selezioni

Laurea in Matematica, Fisica, Informatica, Ingegneria Informatica
Inglese fluente (scritto e parlato)
Esperienza di almeno 3/5 anni in Simulazioni Monte Carlo (anche in altri settori)
Ottima conoscenza di programmazione, preferibilmente in C++
Attitudine al lavoro in team e buone doti comunicative

Soft Skills

Capacità di lavorare sia in autonomia che in un team
Capacità di identificare e stabilire le priorità
Mentalità orientata alla soluzione, con capacità di pensiero flessibile
Abilità nella comunicazione scritta e verbale
Orientamento ai processi e attenzione ai dettagli

Sede di lavoro: limitrofi Parma

Orario di lavoro: full time

Tipologia contrattuale: tempo indeterminato con assunzione in qualità di dipendente.

Pacchetto retributivo a budget: RAL intorno a 40-50K in base alla seniority

L'offerta è rivolta a candidati ambosessi nel rispetto del D.lgs 198/2006 e ss.mm.ii. e dei Decreti legislativi n. 215 e 216 del 2003 sulla parità di trattamento. Si invitano i candidati a prendere visione dell'informativa privacy https://etjca.it/informativa-per-candidati (art.13 e 14, Reg EU 679/2016) pubblicata sul sito www.etjca.it.

Etjca S.p.A. (Aut. Min. Prot. N. 1309-SG del 23/02/2005)

Settore: Informatica

Ruolo: IT/Technology

Percentuale di occupazione: Full-time

Tipo di occupazione: Contratto a tempo indeterminato

Livello di istruzione: Laurea Triennale 
Show more Show less",,Matemática,2025-08-28T00:07:04,https://it.linkedin.com/jobs/view/analista-matematico-parma-at-jobbit-4292095265,,[],2025-08-28
37ae1d953a5a60b5ecadc439d4789a7c,rapidapi2,DOCENTE INVESTIGADOR MATEMATICO/ AMBATO,INSTITUCIÓN DE EDUCACIÓN SUPERIOR,"Ambato, Tungurahua, Ecuador","MISION

Profesores Universitarios, con experiencia en el campo profesional, competentes tanto en su área de especialización como en la docencia. Los candidatos deben estar comprometidos con la formación continua y la evaluación periódica de su desempeño, implementando prácticas pedagógicas innovadoras orientadas a la sociedad del conocimiento y al desarrollo social sostenible. Los docentes deberán impartir conocimientos teórico-prácticos, participar en actividades de gestión académica, y desarrollar competencias blandas y digitales para la educación presencial y virtual.

FUNCIONES

Desarrollar modelos matemáticos para la comprensión y resolución de problemas complejos en ciencias, ingeniería y sociedad.
Diseñar e implementar programas de enseñanza para las modalidades presencial, semipresencial y virtual.
Investigar en áreas de frontera como análisis numérico, optimización, teoría de grafos, probabilidad, estadística y matemáticas computacionales. 
Publicar resultados de investigación en revistas de alto impacto Q1 y contribuir al posicionamiento académico del centro. 
Participar en proyectos interdisciplinarios aportando métodos cuantitativos y modelos rigurosos. 
Formar y acompañar a estudiantes e investigadores en el desarrollo de competencias matemáticas avanzadas. 
Diseñar y aplicar herramientas computacionales de simulación, modelado y análisis de datos masivos (Big Data, IA, Machine Learning). 
Contribuir a la solución de problemas sociales y productivos mediante la aplicación de modelos matemáticos. 


Requisitos


FORMACION REQUERIDA

Título de tercer nivel Licenciatura o Ingeniería en Matemáticas, Matemática Aplicada, Estadística o afines. 
Título de cuarto nivel Maestría en Matemática Pura, Matemática Aplicada, Estadística, Ciencias Computacionales o afines. 
Título de quinto nivel (PhD) Doctorado en Matemáticas, Matemática Aplicada, Estadística o áreas afines. 

Beneficios

De ley y propios de la Institucion

Universidad de excelencia con presencia en la Sierra del Ecuador. 
Show more Show less","['Mathematical Modeling', 'Teaching', 'Research', 'Data Analysis', 'Simulation Tools', 'Interdisciplinary Collaboration', 'Quantitative Methods', 'Soft Skills Development', 'Digital Competencies', 'Innovative Pedagogy', 'Problem Solving', 'Big Data', 'Machine Learning', 'Statistics', 'Graph Theory', 'Numerical Analysis']",Matemática,2025-08-21T00:00:00,https://ec.linkedin.com/jobs/view/docente-investigador-matematico-ambato-at-instituci%C3%B3n-de-educaci%C3%B3n-superior-4286733416,,[],2025-08-28
