carrera,pais,numero_de_ofertas
Administracion De Empresas,United States,4271
Administracion De Empresas,Puerto Rico,229
Administracion De Empresas,Colombia,142
Administracion De Empresas,Brazil,110
Administracion De Empresas,Mexico,72
Administracion De Empresas,Peru,67
Administracion De Empresas,Chile,59
Administracion De Empresas,Spain,41
Administracion De Empresas,Argentina,33
Administracion De Empresas,Canada,20
Administracion De Empresas,China,20
Administracion De Empresas,Guatemala,10
Administracion De Empresas,Ecuador,7
Administracion De Empresas,Venezuela,7
Administracion De Empresas,Costa Rica,6
Administracion De Empresas,El Salvador,6
Administracion De Empresas,Honduras,6
Administracion De Empresas,Bolivia,5
Administracion De Empresas,Dominican Republic,5
Administracion De Empresas,France,4
Administracion De Empresas,India,4
Administracion De Empresas,Panama,4
Administracion De Empresas,Italy,1
Administracion De Empresas,Singapore,1
Agroindustria,United States,1464
Agroindustria,Puerto Rico,145
Agroindustria,Peru,24
Agroindustria,Chile,14
Agroindustria,Canada,6
Agroindustria,Brazil,3
Agroindustria,Mexico,3
Agroindustria,Argentina,2
Agroindustria,Colombia,2
Agroindustria,Guatemala,2
Agroindustria,China,1
Agroindustria,Dominican Republic,1
Agroindustria,France,1
Agroindustria,Singapore,1
Ciencia De Datos,United States,3972
Ciencia De Datos,Puerto Rico,314
Ciencia De Datos,Mexico,47
Ciencia De Datos,Canada,45
Ciencia De Datos,India,41
Ciencia De Datos,Spain,40
Ciencia De Datos,United Kingdom,35
Ciencia De Datos,Colombia,34
Ciencia De Datos,Argentina,18
Ciencia De Datos,Peru,15
Ciencia De Datos,Chile,13
Ciencia De Datos,Germany,12
Ciencia De Datos,France,10
Ciencia De Datos,Guatemala,10
Ciencia De Datos,Brazil,8
Ciencia De Datos,Singapore,6
Ciencia De Datos,Netherlands,5
Ciencia De Datos,Uruguay,5
Ciencia De Datos,Belgium,4
Ciencia De Datos,Italy,4
Ciencia De Datos,Poland,4
Ciencia De Datos,Bolivia,3
Ciencia De Datos,China,3
