job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
c1dfb720296fabc3fc85f4323f415bf9,jooble,Y-Risk San Francisco Managing Director,"the hartford financial services group, inc","San Francisco, CA","&nbsp;...having every opportunity to achieve your goals - and to help others accomplish theirs, too. Join our team as we help shape the future. 
 <b>Y-</b>Risk, as an underwriting company of The Hartford, partners with brokers to provide robust insurance solutions for our clients. We have...&nbsp;",[],Electrónica y Automatización,2025-07-11T00:00:00.0000000,https://jooble.org/away/3376423806077387775,,[],2025-07-11
3986a6cd6e97e20ac01d26123f0dee22,jooble,Instructor(a) Barbería y Estilismo,NUC University,Puerto Rico,"&nbsp;...Job Description 
 Job Description  Descripción: 
 Impartirá enseñanza a grupo(s) de estudiantes en el área de  Barbería <b>y </b>Estilismo  a través de programas de estudios conducentes a Diplomas. En horario diurno y/o nocturno. 
 Requisitos: 
 Diploma en Barbería y Estilismo...&nbsp;",[],Electrónica y Automatización,2025-07-01T00:00:00.0000000,https://jooble.org/away/-5746826927952497520,,[],2025-07-11
2b8b1051fa01f35d2247f5a599cd9e4f,jooble,F&I / Financiamiento y Seguros,AutoGrupo,Puerto Rico,&nbsp;...encarga de completar el proceso de cierre del financiamiento de un auto. Brinda al cliente las mejores alternativas de financiamiento <b>y </b>seguros en el mercado. Enfatiza la importancia de los beneficios de protección adicional para el vehículo adquirido. Completa la documentaci...&nbsp;,[],Electrónica y Automatización,2025-07-01T00:00:00.0000000,https://jooble.org/away/2481279625338179673,,[],2025-07-11
ffad0c1d70fe20b7f752a5476f5c00d7,jooble,Instructor(a) Panadería y Repostería Internacional,NUC University,Puerto Rico,"&nbsp;...Job Description 
 Job Description  Descripción: 
 Impartirá enseñanza a grupo(s) de estudiantes en el área de  Panadería <b>y </b>Repostería Internacional  a través de programas de estudios conducentes a Diplomas y Grados Asociados. 
 Requisitos: 
 Diploma o grado mayor en...&nbsp;",[],Electrónica y Automatización,2025-06-26T00:00:00.0000000,https://jooble.org/away/5393588617547232562,,[],2025-07-11
aa1f0d61315179d4d0f3d41b3f997092,jooble,Técnico de Producción y Montaje,Mate LLC,Puerto Rico,"&nbsp;...LLC es una empresa de Producción de Exhibidores, Eventos e Impresión a nivel corporativo, establecida desde febrero de 2019. Diseñamos <b>y </b>construimos Booth Corporativos. Nos dedicamos a la producción de Eventos, desde su creación hasta su implementación. Trabajamos con...&nbsp;",[],Electrónica y Automatización,2025-06-29T00:00:00.0000000,https://jooble.org/away/2353498399531448595,,[],2025-07-11
fd0e212f8ea38ca6c675b919ca833eb8,jooble,Servicios al Huésped y Ventas,Cracker Barrel,"Camarillo, CA","Join to apply for the Servicios al Huésped <b>y </b>Ventas role at Cracker Barrel ¿POR QUÉ CRACKER BARREL? ¿Cómo es trabajar en Cracker Barrel? Se siente como ... Cuidado más allá de la mesa: en Cracker Barrel, le brindamos atención, para que pueda brindar atención a nuestros...&nbsp;",[],Electrónica y Automatización,2025-07-11T00:00:00.0000000,https://jooble.org/jdp/2469865020766598641,,[],2025-07-11
f45e80c11f54b44d22d45c901f09d749,jooble,Analista de Nómina y Comisiones,H & H Solar LLC,Puerto Rico,"&nbsp;...Job Description 
 Job Description  Descripción de Puesto 

 Puesto: Analista de Nómina <b>y </b>Comisiones Clasificación: No-Exento 

 Supervisor: Senior Staff Accountant Fecha revisión: septiembre 2024 


 Descripción General 

 El Analista de Nómina y Comisiones es...&nbsp;",[],Electrónica y Automatización,2025-06-22T00:00:00.0000000,https://jooble.org/away/-2349000355599712949,,[],2025-07-11
d3988cd7af912637e0b7945deff870d0,jooble,Coordinador/a Infantes y Andarines,Instituto Nueva Escuela,Puerto Rico,"&nbsp;...Job Description 
 Job Description  Breve Descripción 
 Es responsable del diseño e implementación del currículo de Infantes <b>y </b>Andarines, de los facilitadores y consultores académicos de este nivel. 

 Requisitos y Experiencia 
# Credencial AMS o AMI en el nivel de...&nbsp;",[],Electrónica y Automatización,2025-06-17T00:00:00.0000000,https://jooble.org/away/5047243118692974854,,[],2025-07-11
23bfbe956eef9d155f3135e0b70a950b,jooble,Instructor(a) de Gerencia y Embalsamamiento,NUC University,Puerto Rico,"&nbsp;...Job Description 
 Job Description  Descripción: 
 Impartirá enseñanza a grupo(s) de estudiantes en el área de  Gerencia Funeraria <b>y </b>Embalsamamiento  a través de programas de estudios conducentes a Diplomas y Grados Asociados. 
 Requisitos: 
 Diploma en Embalsamamiento...&nbsp;",[],Electrónica y Automatización,2025-06-24T00:00:00.0000000,https://jooble.org/away/-6063490439632808534,,[],2025-07-11
504cdc55ed394f300b8edbf793cc3968,jooble,Electronica Mechanical Engineer Teacher,,China,"&nbsp;...<b>Electronica </b>Mechanical Engineer Teacher 
 Posted 1Days ago 
 Job Profile 
12Kper month						
 Job Requirements 
Number of Positions：1
Education Requirements：PhD 
Experience：unlimited 
Age Requirements：22-58						
 Job Description 
Electronica Mechanical Engineer...&nbsp;",[],Electrónica y Automatización,2025-06-18T05:32:29.3100000,https://jooble.org/jdp/-916095222914098910,,[],2025-07-11
84062b609b65aac2ce3373939cc245df,jooble,Personal de Mantenimiento y Facilidades,COREPLUS SERVICIOS CLINICOS Y PATOLOGICOS LLC,Puerto Rico,"&nbsp;...Job Description 
 Job Description 
 Personal de Mantenimiento <b>y </b>Facilidades 
 HORARIO: MARTES A SABADO 1:00PM - 9:00PM 
$12.00 POR HORA 

¿Quiénes somos?

 Por más de 26 años, CorePlus ha brindado a Puerto Rico servicios de laboratorio de anatomía patológica y...&nbsp;",[],Electrónica y Automatización,2025-06-25T00:00:00.0000000,https://jooble.org/away/-4736915708673635368,,[],2025-07-11
