job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date,date_posted_norm,job_uid_cross
928ebcb320397bba5a9a5386c3e67195,jooble,Lider Mecánico y Tuberías Proyecto,AtkinsRéalis,"Greenlawn, NY","&nbsp;...Otros afines a la responsabilidad del cargo.

Requisitos:
Formación Académica: Profesional Titulado(a) en Ingeniería Mecánica o <b>Mecatrónica.</b>
Manejo de Software: Ms Office intermedio, Fathom intermedio, Hammer intermedio.
Nivel de Inglés: Intermedio
Experiencia: 15 años...&nbsp;",[],[],2025-06-07T00:00:00.0000000,https://jooble.org/jdp/-4043999977824455286,,[],2025-06-11,2025-06-07,390a975de421e4924a345866f3db7063d022acd6e69b4f566be50a3864615e91
4922dae8e05e036a4763f9e3291f86a3,jooble,Internship in Automation (12 months),Hologic,United States,"&nbsp;...durante los próximos 12 - 18 meses.
**Requisitos:**
+ Estar actualmente matriculado en la Universidad en la Carrera de **Ingeniería <b>Mecatrónica,</b> Eléctrica o Electrónica.**
+ Mantenerse como estudiante activo en la Universidad durante el tiempo de la práctica profesional, o...&nbsp;",[],[],2025-05-21T00:00:00.0000000,https://jooble.org/jdp/4241410559729600805,,[],2025-06-11,2025-05-21,0e399beeb1f0d21feb42890639473f5fd787eabd9725c90c5c49a8672c2db30c
aa907c3f4eb1ce073135c3159679bee5,jooble,Tecnico de Mantenimiento,Carrier World,Delaware State,"&nbsp;...Industriales. 
 Escolaridad:  Carrera Tecnica de los ramos de: Electromecanico, Mecánico, Electrico, Industrial, Mecatrónica / <b>Automatizacion </b>o afin 

 Conocimientos: 
-Equipos HVAC 
-Prensas 
-Lineas de Ensamble 
-Cadenas y Conveyors 
-Manejo de Personal 
-...&nbsp;",[],Mecatrónica,2025-06-27T18:41:42.8100000,https://jooble.org/jdp/996896430076084630,,[],2025-07-18,2025-06-27,ed170c8c2ac1c63ad5a57921bd80f6bbd79328081173d6dc7e82ebedfa54c01e
70bef1695cf7c3ae8ffdc7a99ce9a2bb,jooble,Coordinador(a) Clinico de Record Medico Electronico,Liga Puertorriquena Con,Puerto Rico," Job Description 
 Job Description  Resume 
 Instala, mantiene y administra los sistemas medulares de la red de informática del Hospital Oncológico para asegurar el funcionamiento. Organiza planes de mantenimiento y mejoras para los componentes críticos de los sistemas...",[],Mecatrónica,2025-07-10T02:50:37.6830000,https://jooble.org/jdp/6745671128803464559,,[],2025-07-18,2025-07-10,3874ee86fcb1759015f8b64d967507ea9f1bb9cf02e26da17eedb7a779866cbb
581360b63e279e5df10a2faa2f8ced64,jooble,Director Project Controls,KAI Enterprises,"Saint Louis, MO","&nbsp;...Job Description 
 Director of Project <b>Controls </b>
 Office Location: St. Louis, MO, Dallas-Ft. Worth, TX, Atlanta, GA 
 Level: 15+ Years of Experience 
 Department: Project Controls 
 Reports to: Finance/Controller 

 Position Summary: 
 The Director of Project Controls...&nbsp;",[],Mecatrónica,2025-07-14T00:00:00.0000000,https://jooble.org/jdp/-5066223131223358185,,[],2025-07-18,2025-07-14,20e1269ba87293db9adcb68360641a989ffba767270250b34bfc598a614f8ac7
8345bdd5d2b1949439b84e3ca0d5cd2b,jooble,Document Control Administrator,DPS Group Global,"Albany, NY","&nbsp;...complex challenges and deliver more impact together. 

 Role description: 

 Arcadis DPS Group is seeking a Construction Document <b>Controls </b>/ Project Admin to join our onsite team in Albany, NY. The Project Admin will be responsible for performing administrative tasks...&nbsp;",[],Mecatrónica,2025-07-14T00:00:00.0000000,https://jooble.org/jdp/-5563030463990469441,,[],2025-07-18,2025-07-14,c80856de81154d493c5e9ba74545709744213721022e9522dc7e6b9e726024f8
ee7b3860dd256861abe929a2753690c7,jooble,"Supervisor, Material Controls",Rheem Manufacturing,"Montgomery, AL","&nbsp;...Job Description 
 Job Description 
 The  Supervisor, Materials <b>Control </b> provides guidance and support to the Material Planning Department. Responsible for the direct supervision of hourly employees and working leaders. Must ensure that materials are received within Company...&nbsp;",[],Mecatrónica,2025-07-14T00:00:00.0000000,https://jooble.org/jdp/-5422699295781705039,,[],2025-07-18,2025-07-14,cfb2bc5ddb6bf26b8335e3c54933b397d0d161280745c9a9cc79acf7f58f224e
a136f7780f5ecac0cfdbcad03cd0be01,jooble,Controller,Velocity Machine Inc,"De Pere, WI","&nbsp;...other duties and special projects as assigned or directed.

Qualifications:

Knowledge of finance, accounting, budgeting and cost <b>control </b>principles including Generally Accepted Accounting Principles. Knowledge of automated financial and accounting reporting systems. Knowledge...&nbsp;",[],Mecatrónica,2025-07-16T00:00:00.0000000,https://jooble.org/jdp/4638663243423464653,,[],2025-07-18,2025-07-16,a6e6f1872af0f975ff2ab05639e3f5e94733c765a7a2ffbda6dc9a3cfaa247e0
ad2b629559bb05b5ab2919bd0c0422e8,jooble,Controller,Robert Half,"Moorestown, NJ","&nbsp;...organization? At Robert Half, we're excited to share an incredible opportunity for the right professional. We are searching for a <b>Controller </b>to lead all aspects of financial operations. This includes ensuring accurate financial reporting, strict compliance with...&nbsp;",[],Mecatrónica,2025-07-15T00:00:00.0000000,https://jooble.org/jdp/-949785095422355414,,[],2025-07-18,2025-07-15,42b4ecfdcb5b1c35602ccea51b3e75ea4c556d5e53b0730b96d3ed4882ab7d3c
51ece7438d443503b1a46316e0c05f13,jooble,Controller,Robert Half,"Rochester, MN","&nbsp;...Job Description 
 Job Description  Our client is partnering with Robert Half to identify an experienced <b>Controller </b>to join our executive leadership team in Rochester, Minnesota. This pivotal role involves overseeing all financial operations, ensuring regulatory compliance...&nbsp;",[],Mecatrónica,2025-07-15T00:00:00.0000000,https://jooble.org/jdp/4593184704706562022,,[],2025-07-18,2025-07-15,5b77201f33bdc3084259ca4092e0a834c5c07bdb366ad475983b8e45e83f387d
76356b1aeefcd2636a1f7f09479fac68,jooble,Controller,SAGA Diagnostics,"Morrisville, NC","&nbsp;...<b>Controller </b>
 
  Raleigh/Durham, NC area 
 
  Reports To: CFO 
 can offer relocation - this role is required onsite in NC 

 We are seeking a highly motivated and experienced Controller to join our dynamic and growing team at SAGA Diagnostics, a cutting-edge cancer...&nbsp;",[],Mecatrónica,2025-07-09T12:18:45.0370000,https://jooble.org/jdp/3993551870987199464,,[],2025-07-18,2025-07-09,bd594427be1a442fb9c950b545bbbb84cecffbcb8a09680d86e5e61bd90b3d9e
623b6b4a0aabff9aecd4c7c12f72cca5,jooble,Controller,Robert Half,"West Chester, PA","&nbsp;...successful company? At Robert Half, we're thrilled to present a fantastic job opportunity for the right professional. We’re seeking a  <b>Controller </b>who will oversee all aspects of financial operations, ensuring accuracy in reporting, strict adherence to compliance standards,...&nbsp;",[],Mecatrónica,2025-07-12T00:00:00.0000000,https://jooble.org/jdp/-4082706162221990173,,[],2025-07-18,2025-07-12,71ee7b574ec81e85d7513ab8d612920ff7fe04bc2081d07c3fcc4f151dc8b508
6e4672cc3ee76b4372c54b2e44f4f1fa,jooble,Controller,Valco Companies,"New Holland, PA","&nbsp;...their contributions are an integral part of the company's overall success. 
 About the Role 
 We are seeking a highly skilled  <b>Controller </b> to join our team. This key leadership role reports directly to the CFO and is responsible for overseeing all aspects of the company...&nbsp;",[],Mecatrónica,2025-07-12T00:00:00.0000000,https://jooble.org/jdp/5753380578140034022,,[],2025-07-18,2025-07-12,bc150f34f92f4faf303089c643ab28fce4e77843ddfcd6c258941fa8c063f168
2cb01aa24c7cbce9d6137d39afa4ceb9,jooble,Controller,Robert Half,"Arlington, TX","&nbsp;...Job Description 
 Job Description  Robert Half client is looking for a dedicated and detail-oriented <b>Controller/</b>CFO to lead the financial operations of a construction company based in Arlington, Texas. This role involves overseeing accounting functions, managing financial...&nbsp;",[],Mecatrónica,2025-07-11T00:00:00.0000000,https://jooble.org/jdp/5921867710212667141,,[],2025-07-18,2025-07-11,7d09a1d982e9739a76e6788ae0322cc80ce98d5d35f265decf508863aa497a32
bfe1ad9789a175141141ed92dae32154,jooble,Controller,Jobot,"Draper, UT","&nbsp;...Competitive Compensation: $175K–$210K base salary, plus 401(k), health benefits, and long-term growth opportunity. 
 Job Details 

 The <b>Controller </b>will be responsible for overseeing all aspects of accounting operations, financial reporting, internal controls, and audit...&nbsp;",[],Mecatrónica,2025-07-14T00:00:00.0000000,https://jooble.org/jdp/-9022838251040566053,,[],2025-07-18,2025-07-14,3149e0f6d1e30a76679fcc83c1c9d2e041efb16a5877941501b9ecb90d8d7c66
c55dcdd73088caad27b7d9d104620956,jooble,Controller,Gables Search Group,"Phoenix, AZ","&nbsp;...Join this Dynamic Finance Team as <b>Controller!</b>
 Are you ready to play a pivotal role in shaping the financial future of a growing company? We're seeking a strategic and hands-on Controller to join our innovative team and drive our financial excellence to new heights....&nbsp;",[],Mecatrónica,2025-07-09T00:00:00.0000000,https://jooble.org/jdp/-3818905349347832368,,[],2025-07-18,2025-07-09,284280d447a53c90eb7b201979d647bc2fc118b2a7dc5c1a26c9d6f3ff919ca3
