job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
aa907c3f4eb1ce073135c3159679bee5,jooble,Tecnico de Mantenimiento,Carrier World,Delaware State,"&nbsp;...Industriales. 
 Escolaridad:  Carrera Tecnica de los ramos de: Electromecanico, Mecánico, Electrico, Industrial, Mecatrónica / <b>Automatizacion </b>o afin 

 Conocimientos: 
-Equipos HVAC 
-Prensas 
-Lineas de Ensamble 
-Cadenas y Conveyors 
-Manejo de Personal 
-...&nbsp;",[],Mecatrónica,2025-06-27T18:41:42.8100000,https://jooble.org/jdp/996896430076084630,,[],2025-07-18
70bef1695cf7c3ae8ffdc7a99ce9a2bb,jooble,Coordinador(a) Clinico de Record Medico Electronico,Liga Puertorriquena Con,Puerto Rico," Job Description 
 Job Description  Resume 
 Instala, mantiene y administra los sistemas medulares de la red de informática del Hospital Oncológico para asegurar el funcionamiento. Organiza planes de mantenimiento y mejoras para los componentes críticos de los sistemas...",[],Mecatrónica,2025-07-10T02:50:37.6830000,https://jooble.org/jdp/6745671128803464559,,[],2025-07-18
581360b63e279e5df10a2faa2f8ced64,jooble,Director Project Controls,KAI Enterprises,"Saint Louis, MO","&nbsp;...Job Description 
 Director of Project <b>Controls </b>
 Office Location: St. Louis, MO, Dallas-Ft. Worth, TX, Atlanta, GA 
 Level: 15+ Years of Experience 
 Department: Project Controls 
 Reports to: Finance/Controller 

 Position Summary: 
 The Director of Project Controls...&nbsp;",[],Mecatrónica,2025-07-14T00:00:00.0000000,https://jooble.org/jdp/-5066223131223358185,,[],2025-07-18
8345bdd5d2b1949439b84e3ca0d5cd2b,jooble,Document Control Administrator,DPS Group Global,"Albany, NY","&nbsp;...complex challenges and deliver more impact together. 

 Role description: 

 Arcadis DPS Group is seeking a Construction Document <b>Controls </b>/ Project Admin to join our onsite team in Albany, NY. The Project Admin will be responsible for performing administrative tasks...&nbsp;",[],Mecatrónica,2025-07-14T00:00:00.0000000,https://jooble.org/jdp/-5563030463990469441,,[],2025-07-18
ee7b3860dd256861abe929a2753690c7,jooble,"Supervisor, Material Controls",Rheem Manufacturing,"Montgomery, AL","&nbsp;...Job Description 
 Job Description 
 The  Supervisor, Materials <b>Control </b> provides guidance and support to the Material Planning Department. Responsible for the direct supervision of hourly employees and working leaders. Must ensure that materials are received within Company...&nbsp;",[],Mecatrónica,2025-07-14T00:00:00.0000000,https://jooble.org/jdp/-5422699295781705039,,[],2025-07-18
a136f7780f5ecac0cfdbcad03cd0be01,jooble,Controller,Velocity Machine Inc,"De Pere, WI","&nbsp;...other duties and special projects as assigned or directed.

Qualifications:

Knowledge of finance, accounting, budgeting and cost <b>control </b>principles including Generally Accepted Accounting Principles. Knowledge of automated financial and accounting reporting systems. Knowledge...&nbsp;",[],Mecatrónica,2025-07-16T00:00:00.0000000,https://jooble.org/jdp/4638663243423464653,,[],2025-07-18
ad2b629559bb05b5ab2919bd0c0422e8,jooble,Controller,Robert Half,"Moorestown, NJ","&nbsp;...organization? At Robert Half, we're excited to share an incredible opportunity for the right professional. We are searching for a <b>Controller </b>to lead all aspects of financial operations. This includes ensuring accurate financial reporting, strict compliance with...&nbsp;",[],Mecatrónica,2025-07-15T00:00:00.0000000,https://jooble.org/jdp/-949785095422355414,,[],2025-07-18
51ece7438d443503b1a46316e0c05f13,jooble,Controller,Robert Half,"Rochester, MN","&nbsp;...Job Description 
 Job Description  Our client is partnering with Robert Half to identify an experienced <b>Controller </b>to join our executive leadership team in Rochester, Minnesota. This pivotal role involves overseeing all financial operations, ensuring regulatory compliance...&nbsp;",[],Mecatrónica,2025-07-15T00:00:00.0000000,https://jooble.org/jdp/4593184704706562022,,[],2025-07-18
76356b1aeefcd2636a1f7f09479fac68,jooble,Controller,SAGA Diagnostics,"Morrisville, NC","&nbsp;...<b>Controller </b>
 
  Raleigh/Durham, NC area 
 
  Reports To: CFO 
 can offer relocation - this role is required onsite in NC 

 We are seeking a highly motivated and experienced Controller to join our dynamic and growing team at SAGA Diagnostics, a cutting-edge cancer...&nbsp;",[],Mecatrónica,2025-07-09T12:18:45.0370000,https://jooble.org/jdp/3993551870987199464,,[],2025-07-18
623b6b4a0aabff9aecd4c7c12f72cca5,jooble,Controller,Robert Half,"West Chester, PA","&nbsp;...successful company? At Robert Half, we're thrilled to present a fantastic job opportunity for the right professional. We’re seeking a  <b>Controller </b>who will oversee all aspects of financial operations, ensuring accuracy in reporting, strict adherence to compliance standards,...&nbsp;",[],Mecatrónica,2025-07-12T00:00:00.0000000,https://jooble.org/jdp/-4082706162221990173,,[],2025-07-18
